onet_code,Title,Job Family,pc1,pc2,xi,chi,xi_unw,chi_unw,x_w,y_w,x_unw,y_unw,shift_xy,shift_chi,chi_wm,r,rt,rle_mean,sector,zone,sector_zone,n_core,n_supp,tightness,z,n_tasks,z_p,z_subset,z_units,tight_med,tight_std
11-1011.00,Chief Executives,Management,-0.19566116,-0.027802626,6.280587990673996,0.4292847757506676,3.2826323500834977,0.43033644803957094,-0.4268144979633277,-0.04598698750313379,-0.42606337001677125,-0.060493497512263225,0.014525943199567818,-0.0010516722889034602,0.4803381638821777,0.4292847757506675,1685.77,7.2413,35,Z2,35-Z2,20,11,0.23516521574597557,0.31674440467663295,31,0.8,all,chi,0.21875080567177613,0.11305025763566788
11-1011.03,Chief Sustainability Officers,Management,-0.20875996,0.16126391,0.7576755328736705,0.5754459886541374,2.4836333693759745,0.5752219298677231,-0.4570766089153747,0.3495984259697962,-0.45513962535085617,0.35175018128812685,0.002895160838222862,0.00022405878641418298,0.600234407277268,0.5754459886541373,1737.05,7.7037,4,Z2,04-Z2,18,0,0.18069865127005677,0.27733693620091315,18,0.8,all,chi,0.17659517658360557,0.11021827916757648
11-1021.00,General and Operations Managers,Management,-0.12463918,-0.05912253,5.97518822726219,0.2981753056962452,3.584457197724179,0.3000403493705457,-0.2731372420467608,-0.11960167195377491,-0.27109480592138085,-0.12857611540580915,0.009203922022704094,-0.001865043674300626,0.4107884320384183,0.29817530569624506,763.58,3.6732,34,Z1,34-Z1,9,8,0.3110701239288658,0.47608065037390956,17,0.8,all,chi,0.28527770582383666,0.16944611879179844
11-2011.00,Advertising and Promotions Managers,Management,-0.1638049,-0.013470283,0.009337281277652947,0.35816791738303677,3.2243683109469043,0.35759121783200704,-0.35653941716822635,-0.034115994018103266,-0.3563668437267982,-0.029566057613041215,0.004553207977107495,0.0005766995510296247,0.41226402727936723,0.35816791738303666,1073.27,5.207000000000001,0,Z2,00-Z2,13,8,0.19823978623833963,0.27636567105143595,21,0.8,all,chi,0.18065281603656053,0.10166111622823323
11-2021.00,Marketing Managers,Management,-0.14204676,0.05195582,0.4661374683400255,0.32910062348106295,2.789766916711032,0.32877242516029104,-0.30784113437781013,0.11636604470638058,-0.30863350524185235,0.11329901582938247,0.0031677306890774836,0.0003281983207718553,0.38323470214780175,0.3291006234810629,997.34,6.680499999999999,2,Z1,02-Z1,12,8,0.2516008272665512,0.38035518979727445,20,0.8,all,chi,0.2143851324214009,0.12944806751043075
11-2022.00,Sales Managers,Management,-0.11248431,-0.06748749,5.868856017359868,0.2854204665160432,3.6821839582957647,0.2847814515867662,-0.24782618934657344,-0.14158750855987268,-0.2441729039179911,-0.14656080021656934,0.006170909521720496,0.0006390149292769265,0.33678817727634897,0.28542046651604314,1357.15,5.6666,33,Z1,33-Z1,15,2,0.20028873647735135,0.25724096244128253,17,0.8,all,chi,0.19124849617302964,0.12055810388468041
11-2033.00,Fundraising Managers,Management,-0.1935267,-0.0145297395,0.03444129065492237,0.4250626130946841,3.2162482731886586,0.42245347364887187,-0.4240129352771732,-0.029853907089638504,-0.4212767562402214,-0.03150923752989219,0.00319793598883485,0.0026091394458121475,0.4614674002154531,0.425062613094684,1206.1,5.786299999999999,0,Z2,00-Z2,14,2,0.18149007052961985,0.22032739135065738,16,0.8,all,chi,0.15903578457770562,0.09628761862462282
11-3012.00,Administrative Services Managers,Management,-0.13306381,-0.053803075,6.088788017202681,0.31362460789453334,3.5265669516719806,0.3121700858486933,-0.2996974974425019,-0.0924218843332104,-0.2893217594463315,-0.11723089187436755,0.026891314474052158,0.0014545220458399566,0.4150540910930059,0.3136246078945333,413.77,3.963203679632037,34,Z1,34-Z1,5,3,0.2925532782326093,0.4044660555214949,8,0.8,all,chi,0.2981121754603079,0.12043482859564837
11-3013.00,Facilities Managers,Management,-0.07168807,-0.043106876,5.846615760012924,0.18323434143253628,3.684556048991586,0.18150782385174544,-0.15703881407797374,-0.09441204771213717,-0.155403609901474,-0.0937806384547831,0.0017528748811922045,0.0017265175807907873,0.32621896093192504,0.18323434143253622,860.82,4.341765823417659,33,Z1,33-Z1,10,1,0.2523932505280251,0.35128461504666847,11,0.8,all,chi,0.2759776664176732,0.15088191410449306
11-3013.01,Security Managers,Management,-0.17260799,0.07268701,0.509330393101042,0.4078582647174208,2.7426117331839692,0.40777056976258835,-0.37492822728593844,0.1605527591869081,-0.37574319430936237,0.15841050941999607,0.0022920308272584506,8.769495483235135e-05,0.46219486768997003,0.4078582647174207,2745.0,6.05,2,Z2,02-Z2,28,0,0.23226329506024748,0.33056477183062305,28,0.8,all,chi,0.2128669390786371,0.11402424814084476
11-3021.00,Computer and Information Systems Managers,Management,-0.14571077,0.04127952,0.35463026347672627,0.32996818430130087,2.8649087374018882,0.32966851093766397,-0.319718682392933,0.08160249248659042,-0.3171300870491854,0.09005462226911387,0.008839644999336328,0.00029967336363684316,0.43674771798872725,0.3299681843013008,1462.82,5.550855085508551,2,Z1,02-Z1,16,1,0.2846755040335872,0.3598586147634342,17,0.8,all,chi,0.25731685123191,0.15695585500067896
11-3031.00,Financial Managers,Management,-0.13079973,-0.08127361,5.801954381668267,0.34863822620530976,3.696938676569969,0.3350945958851309,-0.29047813682889156,-0.19279798960570224,-0.28473592822376953,-0.1766743879852639,0.01711559198156289,0.013543630320178801,0.41745028513779314,0.3486382262053097,476.42,5.51024897510249,33,Z2,33-Z2,6,11,0.30597461833000494,0.4877932999638388,17,0.8,all,chi,0.28188162615425555,0.1870437570740664
11-3031.01,Treasurers and Controllers,Management,-0.166153,-0.03916805,6.165338672910372,0.3738799918493832,3.373089452623851,0.3714733652970857,-0.3646568150246874,-0.0825327544756968,-0.3615639670242337,-0.0852288617478898,0.004103011476596457,0.002406626552297342,0.4423681993375212,0.37387999184938303,1483.5,6.8,35,Z2,35-Z2,16,6,0.21544591296006327,0.29539621503220254,22,0.8,all,chi,0.1993521165859449,0.13997956738758854
11-3031.03,Investment Fund Managers,Management,-0.16898505,0.08422336,0.5782123045461909,0.41392957493259996,2.6780830931789272,0.41119700396482245,-0.36839206605376773,0.18874580438388358,-0.3678111638534816,0.18384211654132335,0.004937975478226911,0.0027325709677774035,0.46728169439698863,0.41392957493259985,1277.51,7.407159284071593,3,Z2,03-Z2,15,5,0.24841227465632368,0.3915688443349587,20,0.8,all,chi,0.2292938314962073,0.14588715901808294
11-3051.00,Industrial Production Managers,Management,-0.042297218,0.06654479,1.109176839094664,0.16366402208234337,2.1338227269044205,0.1720355328843131,-0.08781522007549308,0.13811009828127152,-0.09182360343488889,0.14548075620858533,0.008390097462923489,-0.008371510801969795,0.3039578942234183,0.16366402208234332,1056.34,3.8117811781178124,6,Z1,06-Z1,12,1,0.2993918114512855,0.4361929358164621,13,0.8,all,chi,0.2585457063946861,0.14636541969048308
11-3051.01,Quality Control Systems Managers,Management,-0.042182222,0.2116424,1.4671263850443703,0.47182052683615844,1.7672329871692716,0.4702070196157364,-0.09761870319865676,0.4616115231769703,-0.09177301561926525,0.4611641301099421,0.0058627829426200866,0.001613507220421917,0.5177073147239555,0.4718205268361583,2254.43,6.0,8,Z2,08-Z2,26,1,0.24703871787510082,0.35663826287569744,27,0.8,all,chi,0.2228074149370075,0.11310256797925039
11-3051.02,Geothermal Production Managers,Management,0.036293056,0.1584592,1.898689014996247,0.35463487081599326,1.3459403761404647,0.3534330706915135,0.07848486963517308,0.3458410282731447,0.07880353731600559,0.34453582972590424,0.0013435372486558892,0.001201800124479735,0.386471896214341,0.3546348708159932,1148.65,4.057005700570056,10,Z2,10-Z2,13,4,0.24721102293294106,0.31543720465466535,17,0.8,all,chi,0.25362900568932967,0.08752790975964872
11-3051.03,Biofuels Production Managers,Management,0.059463914,0.13590935,2.104250593122506,0.3189782403813215,1.1577711935420947,0.32277201200802674,0.13260176253282274,0.29011013496593496,0.1295548474906779,0.2956303658749841,0.0063052867153897095,-0.0037937716267053,0.38005582845386837,0.31897824038132144,1272.71,4.9751,12,Z1,12-Z1,14,0,0.26069063357527794,0.3392055522616822,14,0.8,all,chi,0.2643621169437874,0.08921900915535205
11-3051.04,Biomass Power Plant Managers,Management,0.039735958,0.13226065,1.9584990570440075,0.2983093092393765,1.2801804065191764,0.30048458507426873,0.08329040875601466,0.2864457222374422,0.08610156595506649,0.28788453624212046,0.0031579725359539177,-0.002175275834892354,0.3604737510819742,0.2983093092393764,1205.17,5.1278999999999995,11,Z1,11-Z1,13,6,0.3132215989504607,0.40611241168818596,19,0.8,all,chi,0.30553030903004597,0.12474480318618233
