job_family,within_family_occupation_spread__mean_dist_to_family_center,within_family_occupation_spread__median_dist_to_family_center,n_occupations_in_family_used,n_occupations_in_family_total,family_directionality__xi_concentration_R
Architecture and Engineering,0.04654327552058329,0.044388106534572425,51,51,0.47654294783999007
"Arts, Design, Entertainment, Sports, and Media",0.04847272460200786,0.04575914879028302,37,37,0.2624715247995232
Building and Grounds Cleaning and Maintenance,0.05014065833415596,0.04689551730102511,8,8,0.595959674631159
Business and Financial Operations,0.04681889677806265,0.04531680124664458,43,43,0.80309911369477
Community and Social Service,0.03078917429104474,0.03207164139306196,14,14,0.9834203039887304
Computer and Mathematical,0.04072204999214383,0.03309669859095983,30,30,0.797878277036983
Construction and Extraction,0.056684359565278536,0.048541180782240054,61,61,0.9159949095833366
Educational Instruction and Library,0.028146757602072477,0.0216090030754304,61,61,0.955832407253206
"Farming, Fishing, and Forestry",0.05161742553388757,0.04466462019643762,12,12,0.7532870434417556
Food Preparation and Serving Related,0.040784492629687474,0.041057729864937845,16,16,0.49639513726648116
Healthcare Practitioners and Technical,0.052988315484945474,0.048556493239820406,82,82,0.7615752209654604
Healthcare Support,0.05444493320025684,0.05268514870207375,19,19,0.5236170253532112
"Installation, Maintenance, and Repair",0.052160122801191935,0.044264502487773735,50,50,0.9387974902381059
Legal,0.030116100820820273,0.031995242149032446,7,7,0.9590025445127491
"Life, Physical, and Social Science",0.05224664081685053,0.04950872067698404,57,57,0.7304004271686148
Management,0.0561050682889213,0.054542389705703735,52,52,0.6849398623125962
Office and Administrative Support,0.055099960082762696,0.056832932626412216,50,50,0.37873214148280526
Personal Care and Service,0.050147117538425996,0.04686963712317517,29,29,0.6450266585278749
Production,0.04848205362045629,0.04883212072516892,106,106,0.9489623935510231
Protective Service,0.038797686773000696,0.03742967889668928,25,25,0.5235819873608375
Sales and Related,0.04081298445540885,0.034528380785013545,21,21,0.7056636781512009
Transportation and Material Moving,0.06475390793702869,0.06290448872006028,47,47,0.7254642808485989
