occupation_id_onet,n_tasks_used,within_occupation_task_spread__mean_dist_to_occ_center,within_occupation_task_spread__median_dist_to_occ_center,within_occupation_task_spread__rt_weighted_mean_dist_to_occ_center,occupation_title,job_family,nearest_neighbor_sanity__share_of_10_nearest_occupations_in_same_job_family
11-1011.00,31,0.09004881499248532,0.08376219624950387,0.0897747864870662,Chief Executives,Management,0.2
11-1011.03,18,0.07141470465199207,0.0630129495921615,0.07136997954086868,Chief Sustainability Officers,Management,0.0
11-1021.00,17,0.08219816504338637,0.07313595752734527,0.07790483135045419,General and Operations Managers,Management,0.0
11-2011.00,21,0.0815388155550616,0.0816906494033594,0.08355695520401839,Advertising and Promotions Managers,Management,0.2
11-2021.00,20,0.10120641005589101,0.09249429597251592,0.10065933101264254,Marketing Managers,Management,0.1
11-2022.00,17,0.0911520242263747,0.0998452814172291,0.09097241284121253,Sales Managers,Management,0.1
11-2033.00,16,0.09583313543688324,0.0966682001481762,0.09587092931719987,Fundraising Managers,Management,0.1
11-3012.00,8,0.10605651037803576,0.09615040158561669,0.10658641503508189,Administrative Services Managers,Management,0.1
11-3013.00,11,0.12708980415356244,0.12724450373386395,0.12657299194743613,Facilities Managers,Management,0.0
11-3013.01,28,0.0945835628028582,0.09344660121229631,0.09379356669545029,Security Managers,Management,0.1
11-3021.00,17,0.09748921679391084,0.09564199983380388,0.09841140654214754,Computer and Information Systems Managers,Management,0.0
11-3031.00,17,0.09263200359386689,0.08411106280995174,0.10124543277351578,Financial Managers,Management,0.3
11-3031.01,22,0.07904481253106853,0.06915519964828928,0.07262517819768087,Treasurers and Controllers,Management,0.3
11-3031.03,20,0.07295816412564404,0.06173367273679069,0.07242659236707522,Investment Fund Managers,Management,0.1
11-3051.00,13,0.08265796079370777,0.07939583428903975,0.07377697838111376,Industrial Production Managers,Management,0.0
11-3051.01,27,0.07979897728022849,0.057393195369371194,0.07975894786068304,Quality Control Systems Managers,Management,0.0
11-3051.02,17,0.10304377495436179,0.09318649925860749,0.1011646350599727,Geothermal Production Managers,Management,0.0
11-3051.03,14,0.0843568235706507,0.08994556082804164,0.08386326671435033,Biofuels Production Managers,Management,0.0
11-3051.04,19,0.11148754989284963,0.11400882473402438,0.11003288993560507,Biomass Power Plant Managers,Management,0.1
11-3051.06,18,0.10399172326780877,0.08835981915859345,0.09930162957662406,Hydroelectric Production Managers,Management,0.1
11-3061.00,18,0.09646948873468315,0.0769157126875414,0.0972923118553691,Purchasing Managers,Management,0.0
11-3071.04,30,0.0768208144259888,0.07520197939082986,0.07580195594704602,Supply Chain Managers,Management,0.0
11-3111.00,22,0.07525248384294958,0.06879008511068935,0.0705733817260955,Compensation and Benefits Managers,Management,0.2
11-3121.00,26,0.08376691505324471,0.0691189183854051,0.08421016549607782,Human Resources Managers,Management,0.2
11-3131.00,12,0.06794721153166375,0.05269994406418495,0.06822255741599925,Training and Development Managers,Management,0.0
11-9021.00,25,0.09761375910108677,0.08852112213861982,0.09627443658958677,Construction Managers,Management,0.1
11-9031.00,17,0.055941525084115616,0.05537152359764801,0.055804691953512085,"Education and Childcare Administrators, Preschool and Daycare",Management,0.1
11-9032.00,32,0.08187214660103409,0.06767358456834056,0.08255070967463694,"Education Administrators, Kindergarten through Secondary",Management,0.0
11-9033.00,27,0.07114969714292713,0.06617613405008738,0.07382613400251553,"Education Administrators, Postsecondary",Management,0.0
11-9041.00,19,0.08249243262891938,0.0806976866325083,0.08143943241889683,Architectural and Engineering Managers,Management,0.1
11-9041.01,18,0.07861106698705425,0.07046333096516522,0.08049619388533474,Biofuels/Biodiesel Technology and Product Development Managers,Management,0.0
11-9051.00,28,0.0987497997250556,0.09179022961795985,0.09896969241026299,Food Service Managers,Management,0.0
11-9071.00,19,0.07581660177383791,0.05628031961218766,0.06627351995072636,Gambling Managers,Management,0.1
11-9072.00,17,0.1146957951911268,0.10343411989800645,0.10449691876605918,"Entertainment and Recreation Managers, Except Gambling",Management,0.1
11-9081.00,24,0.0851328480660102,0.07943111774316669,0.08273889177574616,Lodging Managers,Management,0.1
11-9111.00,18,0.08557597851352841,0.07812916849323823,0.08490890776208304,Medical and Health Services Managers,Management,0.1
11-9121.00,16,0.08850435113458244,0.08987735211381057,0.08697647590522041,Natural Sciences Managers,Management,0.3
11-9121.01,33,0.08330439895665502,0.06932691636653168,0.0825096430696298,Clinical Research Coordinators,Management,0.1
11-9121.02,21,0.09123061595681403,0.08617965871049914,0.09100748950716422,Water Resource Specialists,Management,0.1
11-9131.00,13,0.09995475408867317,0.08912374119087041,0.08564006781934089,Postmasters and Mail Superintendents,Management,0.1
11-9141.00,27,0.08973021539975662,0.07549434338168193,0.09087741531330143,"Property, Real Estate, and Community Association Managers",Management,0.0
11-9151.00,16,0.06369193757396946,0.06112974647423891,0.06331341791050749,Social and Community Service Managers,Management,0.0
11-9161.00,23,0.083743101187609,0.07092947914587758,0.0829356534223334,Emergency Management Directors,Management,0.2
11-9171.00,23,0.07925836316226678,0.07202152000564471,0.07980226894212109,Funeral Home Managers,Management,0.1
11-9179.01,24,0.09244513274644371,0.07666634028011879,0.09421887740157256,Fitness and Wellness Coordinators,Management,0.5
11-9179.02,21,0.09739542196081363,0.08372765984186886,0.09840578761392949,Spa Managers,Management,0.1
11-9199.01,27,0.07457501390660913,0.0795188659414038,0.07513719820373826,Regulatory Affairs Managers,Management,0.1
11-9199.02,29,0.06596029034806758,0.06353171279542938,0.06638268406002981,Compliance Managers,Management,0.2
11-9199.08,27,0.07578581795542295,0.07112815783529781,0.07668363812307669,Loss Prevention Managers,Management,0.0
11-9199.09,16,0.09511995943613662,0.09797289087810822,0.09508881465290586,Wind Energy Operations Managers,Management,0.0
11-9199.10,15,0.08859398546557778,0.08799731971933356,0.08911019701006423,Wind Energy Development Managers,Management,0.1
11-9199.11,23,0.07438030053286404,0.0790663890145425,0.07499729995452994,Brownfield Redevelopment Specialists and Site Managers,Management,0.1
