Job Family,n_tasks_used,rt_sum_used,pc1,pc2,xi,r,chi,sector,zone,sector_zone,xi_concentration_R,n_occ_used
Architecture and Engineering,,,-0.023167886861557102,0.024294508057519527,2.3324618136051383,0.0335704349597498,0.0917093574402411,13,Z1,13-Z1,0.47654294783999007,51
"Arts, Design, Entertainment, Sports, and Media",,,0.019854602090445442,0.011851757811983077,0.5381572398435921,0.023122919093484334,0.06316832220817717,3,Z1,03-Z1,0.2624715247995232,37
Building and Grounds Cleaning and Maintenance,,,-0.0622113142363618,-0.00873113665829541,3.2810283620005456,0.0628210185078305,0.1716175333445119,18,Z1,18-Z1,0.595959674631159,8
Business and Financial Operations,,,0.06548730262791455,-0.013740511153209246,6.076366023778264,0.06691329055002102,0.18279700241930735,34,Z1,34-Z1,0.80309911369477,43
Community and Social Service,,,0.14383959258511564,0.026603935897024072,0.1828888200497355,0.146279177603188,0.39961261749988547,1,Z2,01-Z2,0.9834203039887304,14
Computer and Mathematical,,,0.05642130838271496,-0.0036112410444644233,6.219267579490821,0.056536758852083535,0.1544498852128393,35,Z1,35-Z1,0.797878277036983,30
Construction and Extraction,,,-0.13583873290122583,-0.03299945325878266,3.3799072518484343,0.1397895749746352,0.38188400338390344,19,Z2,19-Z2,0.9159949095833366,61
Educational Instruction and Library,,,0.13039402635885644,0.03875067774934057,0.28886891015637745,0.1360302067046411,0.3716139771290825,1,Z2,01-Z2,0.955832407253206,61
"Farming, Fishing, and Forestry",,,-0.06795640020573901,0.005166159095397387,3.065716927438574,0.06815248732600683,0.18618230082857543,17,Z1,17-Z1,0.7532870434417556,12
Food Preparation and Serving Related,,,-0.026090880017997815,-0.02727159447738598,3.9491135136010524,0.037742202975615334,0.10310599750711825,22,Z1,22-Z1,0.49639513726648116,16
Healthcare Practitioners and Technical,,,0.06918809842971749,0.0028016387687936194,0.04047096343101688,0.0692447986791144,0.18916633044982648,0,Z1,00-Z1,0.7615752209654604,82
Healthcare Support,,,0.037449973755921954,0.010686961668006126,0.27797793697656525,0.03894498278357143,0.10639181026057244,1,Z1,01-Z1,0.5236170253532112,19
"Installation, Maintenance, and Repair",,,-0.13924458233362383,0.0029459752539106204,3.1204389701113207,0.13927574260962317,0.38048029097792024,17,Z2,17-Z2,0.9387974902381059,50
Legal,,,0.0888129586074569,-0.00778009152580571,6.1958075017547865,0.08915307869479196,0.24355274427399187,35,Z1,35-Z1,0.9590025445127491,7
"Life, Physical, and Social Science",,,0.05988383635550663,0.017117615163022674,0.2784223557852848,0.062282313745737165,0.17014587330671935,1,Z1,01-Z1,0.7304004271686148,57
Management,,,0.0639440736994639,0.006232747154060899,0.09716491210142254,0.06424711431939122,0.17551341168756174,0,Z1,00-Z1,0.6849398623125962,52
Office and Administrative Support,,,0.02113606802863695,-0.0021672010475898974,6.1810067186628626,0.021246885232707496,0.05804328107855635,35,Z1,35-Z1,0.37873214148280526,50
Personal Care and Service,,,0.019080299695508913,-0.041144188716783915,5.146612034461343,0.04535308260342142,0.12389777101431262,29,Z1,29-Z1,0.6450266585278749,29
Production,,,-0.13667118608597847,0.004961207628764775,3.105308266642157,0.13676120315090778,0.37361094900205927,17,Z2,17-Z2,0.9489623935510231,106
Protective Service,,,0.025396325040770877,-0.01322524604776068,5.803072430598492,0.028633554767096163,0.07822254647784024,33,Z1,33-Z1,0.5235819873608375,25
Sales and Related,,,0.030248717152139306,-0.024880083285445626,5.594864506700978,0.039166355889217436,0.10699656814642311,32,Z1,32-Z1,0.7056636781512009,21
Transportation and Material Moving,,,-0.07330903929489818,0.0012773585720714724,3.1241701182983235,0.0733201669887799,0.20029962108070037,17,Z1,17-Z1,0.7254642808485989,47
