onet_code,Title,Job Family,pc1,pc2,xi,r,chi,sector,zone,sector_zone,n_tasks_used,RT_sum_used
11-1011.00,Chief Executives,Management,0.10446732619926935,0.05784579360068217,0.5056958376436387,0.11941339154599567,0.3262193481131113,2,Z1,02-Z1,31,2253.62
11-1011.03,Chief Sustainability Officers,Management,0.11029007090032457,-0.011352458780733588,6.180613806471093,0.11087280126147654,0.3028877455261113,35,Z1,35-Z1,18,1737.05
11-1021.00,General and Operations Managers,Management,0.06076393553548906,0.06772872736931765,0.8395489818161822,0.09099140823631882,0.24857478289872165,4,Z1,04-Z1,17,1179.65
11-2011.00,Advertising and Promotions Managers,Management,0.08397507924577055,0.004573487679067322,0.05440868714890886,0.08409952867813246,0.22974720897557713,0,Z1,00-Z1,21,1528.67
11-2021.00,Marketing Managers,Management,0.06287228034348144,0.04260244582510802,0.5955357447207884,0.07594663933230085,0.20747474679020253,3,Z1,03-Z1,20,1460.42
11-2022.00,Sales Managers,Management,0.06406293710648635,-0.01982976208194648,5.983003342450836,0.06706175791713358,0.18320259284001722,34,Z1,34-Z1,17,1480.95
11-2033.00,Fundraising Managers,Management,0.13585675126405317,-0.019626462358854513,6.139713508469054,0.13726709324796801,0.3749929643316909,35,Z2,35-Z2,16,1312.07
11-3012.00,Administrative Services Managers,Management,0.0779251642426133,-0.004668254431946676,6.223349926158674,0.07806486931827689,0.21326143114974178,35,Z1,35-Z1,8,599.98
11-3013.00,Facilities Managers,Management,0.018920445411757247,0.006169383726012657,0.3151990905778707,0.019900868074987976,0.05436616552178738,1,Z1,01-Z1,11,902.26
11-3013.01,Security Managers,Management,0.07775014834397691,0.014261668375551637,0.18141278170849465,0.07904733235451165,0.21594537176206652,1,Z1,01-Z1,28,2745.0
11-3021.00,Computer and Information Systems Managers,Management,0.0818696776182593,-0.01446980925860667,6.108249921071423,0.08313855599719162,0.22712197676776166,34,Z1,34-Z1,17,1528.4
11-3031.00,Financial Managers,Management,0.08347813178254213,0.009972953840369754,0.11890430801847147,0.08407174492185597,0.22967130795021215,0,Z1,00-Z1,17,979.29
11-3031.01,Treasurers and Controllers,Management,0.08940478875332541,0.048794517273424126,0.4995903767985118,0.10185342982920717,0.27824818516414285,2,Z1,02-Z1,22,1739.83
11-3031.03,Investment Fund Managers,Management,0.094960453303519,-0.04781931482727294,5.816685111824491,0.10632109180289515,0.2904531628285185,33,Z1,33-Z1,20,1569.01
11-3051.00,Industrial Production Managers,Management,0.016478908852397063,0.07558255847083073,1.3561303515362648,0.0773581125801435,0.21133067849793707,7,Z1,07-Z1,13,1093.75
11-3051.01,Quality Control Systems Managers,Management,0.02293307311206179,-0.05357055552886188,5.116874823474635,0.05827289474561947,0.15919274622777763,29,Z1,29-Z1,27,2321.39
11-3051.02,Geothermal Production Managers,Management,-0.0212515954328837,-0.03005886018505935,4.09698087793736,0.036812571005947266,0.10056638338843363,23,Z1,23-Z1,17,1352.27
11-3051.03,Biofuels Production Managers,Management,-0.02839279251027921,0.019312709539016357,2.5442808823551877,0.03433848302226207,0.09380754873209285,14,Z1,14-Z1,14,1272.71
11-3051.04,Biomass Power Plant Managers,Management,-0.04749641435898295,0.019639049297782683,2.7495156994909,0.05139651383392593,0.1404075122657553,15,Z1,15-Z1,19,1574.84
11-3051.06,Hydroelectric Production Managers,Management,-0.04322208841665359,0.035318116757198634,2.4564928005203956,0.05581682809307723,0.15248314312596747,14,Z1,14-Z1,18,1531.04
11-3061.00,Purchasing Managers,Management,0.039682363257170394,-0.03368717089078761,5.579318293477228,0.05205300602558084,0.14220094976912376,31,Z1,31-Z1,18,1684.21
