onet_code,xi,chi,ability,value,value_norm01_global
11-1011.00,0.0432880374740697,0.428554446147045,Speech Clarity,4.75,1.0
11-1011.03,0.7319711650522066,0.5689972886910015,Speech Clarity,3.75,0.9101941747572815
11-1021.00,6.009418790413957,0.2249623046912035,Speech Clarity,3.62,0.8786407766990292
11-2011.00,6.186037763263066,0.3534879230816969,Speech Clarity,3.88,0.9417475728155339
11-2021.00,0.5228602622859758,0.329644241090433,Speech Clarity,3.88,0.9417475728155339
11-2022.00,5.913709870277248,0.2702259567642287,Speech Clarity,4.0,0.970873786407767
11-2033.00,6.22221580559785,0.4352335646664907,Speech Clarity,3.88,0.9417475728155339
11-3012.00,5.92454583752824,0.3144911988944552,Speech Clarity,3.5,0.8495145631067961
11-3013.00,5.98552485495477,0.161412467670889,Speech Clarity,3.62,0.8786407766990292
11-3013.01,0.5435556012825746,0.4130590289308359,Speech Clarity,3.62,0.8786407766990292
11-3021.00,0.3670887892730913,0.3243190125393295,Speech Clarity,3.25,0.7888349514563107
11-3031.00,0.051494081126868,0.2822642132868055,Speech Clarity,4.0,0.970873786407767
11-3031.01,6.148192677012326,0.3595297959650215,Speech Clarity,3.75,0.9101941747572815
11-3031.03,0.5340934561205879,0.3991306703008781,Speech Clarity,3.75,0.9101941747572815
11-3051.00,1.3134581371015273,0.1989424541118191,Speech Clarity,3.75,0.9101941747572815
11-3051.01,1.4841349685704164,0.4914131197576318,Speech Clarity,3.62,0.8786407766990292
11-3051.02,1.8948787588329048,0.3841222058814747,Speech Clarity,3.38,0.8203883495145631
11-3051.03,2.075153839565387,0.3588160067798626,Speech Clarity,3.88,0.9417475728155339
11-3051.04,2.180300758593517,0.3643382047763537,Speech Clarity,3.75,0.9101941747572815
11-3051.06,1.8995174726333008,0.3619763582343961,Speech Clarity,3.75,0.9101941747572815
11-3061.00,6.1840020285821184,0.1570309886772475,Speech Clarity,3.75,0.9101941747572815
11-3071.04,1.392188541483666,0.2250395021546922,Speech Clarity,3.25,0.7888349514563107
11-3111.00,0.0771132916733985,0.3880709943179223,Speech Clarity,3.88,0.9417475728155339
11-3121.00,6.206172350305481,0.3682831964217108,Speech Clarity,4.5,1.0
11-3131.00,0.2840099047546617,0.4198800825372232,Speech Clarity,4.88,1.0
11-9021.00,1.2297930293988537,0.2799142353404707,Speech Clarity,3.75,0.9101941747572815
11-9031.00,6.194234097715824,0.5442641815596887,Speech Clarity,3.88,0.9417475728155339
11-9032.00,6.114996342299024,0.5494181131424678,Speech Clarity,4.5,1.0
11-9033.00,6.00315216044644,0.5891736908121812,Speech Clarity,4.12,1.0
11-9041.00,0.937107716436116,0.4452235315242326,Speech Clarity,4.0,0.970873786407767
