ability,theta_rad,theta_deg,intensity_norm01
Arm-Hand Steadiness,0.0,0.0,0.20250411731289142
Arm-Hand Steadiness,0.008726646259971648,0.5,0.2044971569417766
Arm-Hand Steadiness,0.017453292519943295,1.0,0.206392442195532
Arm-Hand Steadiness,0.026179938779914945,1.5000000000000002,0.20818377296754023
Arm-Hand Steadiness,0.03490658503988659,2.0,0.20986516088514684
Arm-Hand Steadiness,0.04363323129985824,2.5,0.21143085774139728
Arm-Hand Steadiness,0.05235987755982989,3.0000000000000004,0.21287538304857365
Arm-Hand Steadiness,0.061086523819801536,3.5,0.2141935505349564
Arm-Hand Steadiness,0.06981317007977318,4.0,0.2153804934114939
Arm-Hand Steadiness,0.07853981633974483,4.5,0.2164316882417892
Arm-Hand Steadiness,0.08726646259971647,5.0,0.21734297725696408
Arm-Hand Steadiness,0.09599310885968812,5.5,0.2181105889665034
Arm-Hand Steadiness,0.10471975511965978,6.000000000000001,0.21873115692703246
Arm-Hand Steadiness,0.11344640137963143,6.5,0.21920173654306774
Arm-Hand Steadiness,0.12217304763960307,7.0,0.2195198197870049
Arm-Hand Steadiness,0.1308996938995747,7.499999999999999,0.2196833477398586
Arm-Hand Steadiness,0.13962634015954636,8.0,0.21969072086942928
Arm-Hand Steadiness,0.14835298641951802,8.5,0.21954080697850614
Arm-Hand Steadiness,0.15707963267948966,9.0,0.21923294677227895
Arm-Hand Steadiness,0.16580627893946132,9.5,0.21876695701118093
Arm-Hand Steadiness,0.17453292519943295,10.0,0.21814313123275741
Arm-Hand Steadiness,0.1832595714594046,10.5,0.21736223804368937
Arm-Hand Steadiness,0.19198621771937624,11.0,0.2164255170006387
Arm-Hand Steadiness,0.2007128639793479,11.5,0.2153346721159496
Arm-Hand Steadiness,0.20943951023931956,12.000000000000002,0.21409186304128197
Arm-Hand Steadiness,0.2181661564992912,12.5,0.21269969399880245
Arm-Hand Steadiness,0.22689280275926285,13.0,0.21116120054546134
Arm-Hand Steadiness,0.23561944901923448,13.5,0.20947983427100028
Arm-Hand Steadiness,0.24434609527920614,14.0,0.20765944554450397
Arm-Hand Steadiness,0.2530727415391778,14.500000000000002,0.20570426443743295
Arm-Hand Steadiness,0.2617993877991494,14.999999999999998,0.20361887996300618
Arm-Hand Steadiness,0.27052603405912107,15.5,0.20140821778245296
Arm-Hand Steadiness,0.2792526803190927,16.0,0.19907751653794417
Arm-Hand Steadiness,0.2879793265790644,16.5,0.19663230297983847
Arm-Hand Steadiness,0.29670597283903605,17.0,0.19407836606222476
Arm-Hand Steadiness,0.30543261909900765,17.5,0.1914217301855312
Arm-Hand Steadiness,0.3141592653589793,18.0,0.18866862776819981
Arm-Hand Steadiness,0.32288591161895097,18.5,0.18582547133108804
Arm-Hand Steadiness,0.33161255787892263,19.0,0.1828988252783533
Arm-Hand Steadiness,0.34033920413889424,19.5,0.17989537755714635
Arm-Hand Steadiness,0.3490658503988659,20.0,0.1768219113755164
Arm-Hand Steadiness,0.35779249665883756,20.5,0.17368527715357557
Arm-Hand Steadiness,0.3665191429188092,21.0,0.17049236487726058
Arm-Hand Steadiness,0.3752457891787809,21.5,0.16725007701703914
Arm-Hand Steadiness,0.3839724354387525,22.0,0.1639653021657432
Arm-Hand Steadiness,0.39269908169872414,22.5,0.16064488954047154
Arm-Hand Steadiness,0.4014257279586958,23.0,0.15729562448330117
Arm-Hand Steadiness,0.41015237421866746,23.5,0.15392420508450885
Arm-Hand Steadiness,0.4188790204786391,24.000000000000004,0.15053722004024653
Arm-Hand Steadiness,0.4276056667386107,24.5,0.14714112784427172
Arm-Hand Steadiness,0.4363323129985824,25.0,0.14374223740053702
Arm-Hand Steadiness,0.44505895925855404,25.5,0.1403466901303134
Arm-Hand Steadiness,0.4537856055185257,26.0,0.1369604436341991
Arm-Hand Steadiness,0.4625122517784973,26.5,0.1335892569559678
Arm-Hand Steadiness,0.47123889803846897,27.0,0.1302386774818611
Arm-Hand Steadiness,0.4799655442984406,27.5,0.12691402949574604
Arm-Hand Steadiness,0.4886921905584123,28.0,0.12362040439764813
Arm-Hand Steadiness,0.49741883681838395,28.500000000000004,0.12036265258063795
Arm-Hand Steadiness,0.5061454830783556,29.000000000000004,0.11714537694898973
Arm-Hand Steadiness,0.5148721293383273,29.500000000000004,0.11397292804902417
Arm-Hand Steadiness,0.5235987755982988,29.999999999999996,0.11084940077318167
Arm-Hand Steadiness,0.5323254218582705,30.5,0.10777863258770386
Arm-Hand Steadiness,0.5410520681182421,31.0,0.10476420322489816
Arm-Hand Steadiness,0.5497787143782138,31.5,0.1018094357723626
Arm-Hand Steadiness,0.5585053606381855,32.0,0.09891739908380408
Arm-Hand Steadiness,0.5672320068981571,32.5,0.0960909114292172
Arm-Hand Steadiness,0.5759586531581288,33.0,0.09333254529622831
Arm-Hand Steadiness,0.5846852994181004,33.5,0.0906446332493606
Arm-Hand Steadiness,0.5934119456780721,34.0,0.08802927474985087
Arm-Hand Steadiness,0.6021385919380436,34.5,0.08548834383543907
Arm-Hand Steadiness,0.6108652381980153,35.0,0.08302349755725404
Arm-Hand Steadiness,0.619591884457987,35.5,0.0806361850695145
Arm-Hand Steadiness,0.6283185307179586,36.0,0.07832765726723011
Arm-Hand Steadiness,0.6370451769779303,36.5,0.07609897686740069
Arm-Hand Steadiness,0.6457718232379019,37.0,0.07395102883033579
Arm-Hand Steadiness,0.6544984694978736,37.5,0.07188453101961643
Arm-Hand Steadiness,0.6632251157578453,38.0,0.06990004500185644
Arm-Hand Steadiness,0.6719517620178169,38.5,0.0679979868907462
Arm-Hand Steadiness,0.6806784082777885,39.0,0.0661786381438299
Arm-Hand Steadiness,0.6894050545377601,39.5,0.06444215622502747
Arm-Hand Steadiness,0.6981317007977318,40.0,0.06278858505101366
Arm-Hand Steadiness,0.7068583470577035,40.5,0.061217865145149555
Arm-Hand Steadiness,0.7155849933176751,41.0,0.05972984342867324
Arm-Hand Steadiness,0.7243116395776468,41.5,0.058324282585237384
Arm-Hand Steadiness,0.7330382858376184,42.0,0.057000869941568666
Arm-Hand Steadiness,0.7417649320975901,42.5,0.05575922581396159
Arm-Hand Steadiness,0.7504915783575618,43.0,0.05459891127744273
Arm-Hand Steadiness,0.7592182246175333,43.5,0.053519435321688444
Arm-Hand Steadiness,0.767944870877505,44.0,0.05252026136509195
Arm-Hand Steadiness,0.7766715171374766,44.5,0.05160081310568702
Arm-Hand Steadiness,0.7853981633974483,45.0,0.05076047969488906
Arm-Hand Steadiness,0.7941248096574199,45.5,0.04999862022714937
Arm-Hand Steadiness,0.8028514559173916,46.0,0.049314567545574485
Arm-Hand Steadiness,0.8115781021773633,46.5,0.048707631370285914
Arm-Hand Steadiness,0.8203047484373349,47.0,0.0481771007627311
Arm-Hand Steadiness,0.8290313946973066,47.5,0.04772224594525245
Arm-Hand Steadiness,0.8377580409572782,48.00000000000001,0.04734231950092991
Arm-Hand Steadiness,0.8464846872172498,48.5,0.047036556983991944
Arm-Hand Steadiness,0.8552113334772214,49.0,0.046804176975893494
Arm-Hand Steadiness,0.8639379797371931,49.5,0.046644380626461784
Arm-Hand Steadiness,0.8726646259971648,50.0,0.04655635072327058
Arm-Hand Steadiness,0.8813912722571364,50.5,0.04653925033560457
Arm-Hand Steadiness,0.8901179185171081,51.0,0.04659222108199367
Arm-Hand Steadiness,0.8988445647770797,51.5,0.04671438107232058
Arm-Hand Steadiness,0.9075712110370514,52.0,0.046904822576927366
Arm-Hand Steadiness,0.9162978572970231,52.50000000000001,0.04716260947596753
Arm-Hand Steadiness,0.9250245035569946,53.0,0.04748677454247513
Arm-Hand Steadiness,0.9337511498169663,53.5,0.0478763166122641
Arm-Hand Steadiness,0.9424777960769379,54.0,0.04833019769285067
Arm-Hand Steadiness,0.9512044423369096,54.5,0.04884734006213056
Arm-Hand Steadiness,0.9599310885968813,55.0,0.04942662340557826
Arm-Hand Steadiness,0.9686577348568529,55.5,0.05006688203829869
Arm-Hand Steadiness,0.9773843811168246,56.0,0.05076690225539969
Arm-Hand Steadiness,0.9861110273767962,56.5,0.051525419850911275
Arm-Hand Steadiness,0.9948376736367679,57.00000000000001,0.052341117841906294
Arm-Hand Steadiness,1.0035643198967394,57.5,0.05321262443063248
Arm-Hand Steadiness,1.0122909661567112,58.00000000000001,0.05413851123340367
Arm-Hand Steadiness,1.0210176124166828,58.5,0.0551172918007787
Arm-Hand Steadiness,1.0297442586766545,59.00000000000001,0.056147420449240565
Arm-Hand Steadiness,1.038470904936626,59.5,0.057227291420233764
Arm-Hand Steadiness,1.0471975511965976,59.99999999999999,0.058355238378087766
Arm-Hand Steadiness,1.0559241974565694,60.5,0.05952953425410508
Arm-Hand Steadiness,1.064650843716541,61.0,0.060748391439978
Arm-Hand Steadiness,1.0733774899765127,61.50000000000001,0.06200996232977649
Arm-Hand Steadiness,1.0821041362364843,62.0,0.06331234020606054
Arm-Hand Steadiness,1.090830782496456,62.50000000000001,0.06465356046226867
Arm-Hand Steadiness,1.0995574287564276,63.0,0.06603160215044589
Arm-Hand Steadiness,1.1082840750163994,63.50000000000001,0.06744438984064458
Arm-Hand Steadiness,1.117010721276371,64.0,0.0688897957759728
Arm-Hand Steadiness,1.1257373675363425,64.5,0.07036564230531109
Arm-Hand Steadiness,1.1344640137963142,65.0,0.07186970457416526
Arm-Hand Steadiness,1.1431906600562858,65.5,0.0733997134529919
Arm-Hand Steadiness,1.1519173063162575,66.0,0.07495335868160866
Arm-Hand Steadiness,1.160643952576229,66.5,0.07652829220798155
Arm-Hand Steadiness,1.1693705988362009,67.0,0.07812213169974908
Arm-Hand Steadiness,1.1780972450961724,67.5,0.07973246420727072
Arm-Hand Steadiness,1.1868238913561442,68.0,0.08135684995775688
Arm-Hand Steadiness,1.1955505376161157,68.5,0.08299282626109875
