ability,theta_max_rad,theta_max_deg,resultant_R,n_used
Speech Clarity,0.06131374745694903,3.5130189554141635,0.7444034750575297,878
Speech Recognition,0.07585047375003773,4.3459120199450005,0.6922172861241565,878
Memorization,0.3155083307772957,18.07729575475658,0.5223334988589036,878
Oral Expression,0.3692296851648135,21.15530263088796,0.7531308724017004,878
Written Expression,0.4407723514039786,25.254395461505197,0.720840115912097,878
Oral Comprehension,0.47969948253771083,27.484755784020365,0.7289698619903296,878
Written Comprehension,0.5091075054158753,29.16971137876336,0.7036435207250183,878
Fluency of Ideas,0.5617538744390118,32.186126130477355,0.6785507352377452,878
Originality,0.5665768647438427,32.462463119576675,0.6454919034294775,878
Problem Sensitivity,0.5763696309950881,33.02354729553119,0.6260869730985882,878
Inductive Reasoning,0.5963377592893904,34.16763677157047,0.7035772016364189,878
Deductive Reasoning,0.6406913185667118,36.708908524544306,0.6978962437729742,878
Speed of Closure,0.7483420313589664,42.87684002911548,0.4861292814708179,878
Category Flexibility,0.8461846952559207,48.48281172672799,0.6651986196038661,878
Information Ordering,0.8587124032840202,49.20059652371025,0.5951684608002545,878
Near Vision,0.8606101206131995,49.309327717381066,0.3216650887620359,878
Number Facility,0.872527643275399,49.99215146817661,0.5908460793584756,878
Mathematical Reasoning,0.8871262752884055,50.82859146918645,0.6222904189164188,878
Flexibility of Closure,1.0708586983213042,61.35568386868378,0.5120446579869966,878
Far Vision,1.9146228739212727,109.69981003489725,0.15536085762394977,878
Selective Attention,1.94604637830491,111.50024421359052,0.15125701252998475,878
Perceptual Speed,2.28638032906638,130.9999432172359,0.3799817595792096,878
Visualization,2.5087946428259125,143.7433446989556,0.45856810768745954,878
Visual Color Discrimination,2.681248830064936,153.6242417871105,0.4051664887293185,878
Hearing Sensitivity,3.051958540627869,174.86434362688289,0.5204015066455645,878
Finger Dexterity,3.194665471824935,183.0408484917386,0.5245086177835984,878
Auditory Attention,3.2207115124570014,184.53317669298224,0.5049173355269261,878
Control Precision,3.2224078064213257,184.63036717795154,0.6625964168759113,878
Depth Perception,3.224794733830606,184.76712804450742,0.725933785186964,878
Spatial Orientation,3.2270701131891952,184.89749767854573,0.4653222583774631,878
Glare Sensitivity,3.240668908142572,185.67665123583805,0.5475119125716221,878
Sound Localization,3.254907736610889,186.49247601228333,0.5375123242907494,878
Rate Control,3.2555557200838527,186.5296027304784,0.6938896759531585,878
Reaction Time,3.2560453807277754,186.5576582187688,0.6881198524244926,878
Arm-Hand Steadiness,3.2612716091165215,186.85709904821542,0.505267046233228,878
Night Vision,3.2782879029031564,187.83206086514429,0.49043061753937756,878
Wrist-Finger Speed,3.2791353576364353,187.88061644468954,0.5849743785284482,878
Response Orientation,3.3154648641208224,189.9621438380381,0.5697691120454265,878
Peripheral Vision,3.3173047524900365,190.06756167636925,0.5045669186744396,878
Multilimb Coordination,3.3549748476626964,192.22589914361882,0.6336665419369002,878
Manual Dexterity,3.3580195450737875,192.40034745516874,0.5928035229262377,878
Extent Flexibility,3.448761950395084,197.5995043029445,0.650013127509701,878
Gross Body Equilibrium,3.4586428413302266,198.16563765135723,0.5330096374834815,878
Speed of Limb Movement,3.4933252604687963,200.15279389130103,0.555522278625299,878
Static Strength,3.525623820021206,202.00336503800605,0.6324643086509595,878
Dynamic Strength,3.54412044918011,203.06314382402985,0.5588726802204924,878
Trunk Strength,3.572816969852782,204.7073333452839,0.5949396076694858,878
Gross Body Coordination,3.5856018211039062,205.43985136367587,0.49297911460779154,878
Stamina,3.6233793623436306,207.60434503709348,0.5149249055654369,878
Explosive Strength,3.6802056740931364,210.86025286563483,0.3386462603593178,878
Dynamic Flexibility,3.6869646862699126,211.24751573704165,0.5192433895907034,878
Time Sharing,5.831640285417336,334.12837599288014,0.09917930199268639,878
