ability,p5,p95,n_used
__GLOBAL__,0.0,8225.501905330519,45656
Speech Clarity,880.3053322426858,10293.437219254905,878
Speech Recognition,898.2360993619609,10213.730495944474,878
Memorization,614.8923485540548,7762.321175821706,878
Oral Expression,1063.540661320852,11753.638971558259,878
Written Expression,844.1793124089772,10721.003190084191,878
Oral Comprehension,1081.0433054214761,12069.5536315174,878
Written Comprehension,964.6247117688773,11240.0273243261,878
Fluency of Ideas,762.851751390331,9612.272884941616,878
Originality,746.6919030845903,9460.469457581248,878
Problem Sensitivity,969.8873932518616,11282.842706901252,878
Inductive Reasoning,887.9554717700495,10834.295050386978,878
Deductive Reasoning,929.6666968813821,10985.23283143671,878
Speed of Closure,619.9141664204164,7632.585122414172,878
Category Flexibility,892.6487269753611,9841.838064181255,878
Information Ordering,940.2764122327958,10345.305286582938,878
Near Vision,999.7433732509185,11681.879316537481,878
Number Facility,611.3820800276362,7695.499060287354,878
Mathematical Reasoning,533.2801038240123,7755.22650746327,878
Flexibility of Closure,768.5294723049354,9258.85148673277,878
Far Vision,789.6899418570387,9449.311551193381,878
Selective Attention,781.9691116355287,9700.723840311104,878
Perceptual Speed,732.2381322765351,8714.678563409696,878
Visualization,725.3885363423126,9470.278903651904,878
Visual Color Discrimination,628.5533458402454,7854.050276252662,878
Hearing Sensitivity,511.2422525859156,7154.274516294331,878
Finger Dexterity,401.8995130350466,8540.372272324155,878
Auditory Attention,540.586456240104,8113.065953641305,878
Control Precision,0.0,8495.442013084461,878
Depth Perception,84.70099935201895,7067.136852041877,878
Spatial Orientation,0.0,3752.929061868574,878
Glare Sensitivity,0.0,3532.753510482572,878
Sound Localization,0.0,3232.346945389148,878
Rate Control,0.0,6389.583661568583,878
Reaction Time,0.0,7262.074085243206,878
Arm-Hand Steadiness,0.0,8301.3256133057,878
Night Vision,0.0,2823.9534478086885,878
Wrist-Finger Speed,128.22473546315047,5383.972274321701,878
Response Orientation,0.0,6008.212546355008,878
Peripheral Vision,0.0,3163.275746891682,878
Multilimb Coordination,0.0,7941.121888066894,878
Manual Dexterity,0.0,7838.757893494712,878
Extent Flexibility,0.0,6906.062780891549,878
Gross Body Equilibrium,0.0,4459.911289756984,878
Speed of Limb Movement,0.0,4295.260627591198,878
Static Strength,0.0,7057.914251714568,878
Dynamic Strength,0.0,5366.847062711707,878
Trunk Strength,375.5114256483559,8115.52616704667,878
Gross Body Coordination,0.0,5244.767806343434,878
Stamina,0.0,5608.773271965438,878
Explosive Strength,0.0,2864.694693685024,878
Dynamic Flexibility,0.0,1271.4931993682644,878
Time Sharing,693.1703999128484,8034.569414852161,878
