onet_code,xi,chi,ability,value,value_norm01_global
11-1011.00,0.0433035801831192,0.4287505464956168,Speech Clarity,4.75,1.0
11-1011.03,0.732096029429244,0.5689760041705043,Speech Clarity,3.75,0.9101941747572815
11-1021.00,6.007615683350592,0.2240491408582009,Speech Clarity,3.62,0.8786407766990292
11-2011.00,6.186102434004539,0.3534797688792016,Speech Clarity,3.88,0.9417475728155339
11-2021.00,0.5229740902854406,0.3296503324119372,Speech Clarity,3.88,0.9417475728155339
11-2022.00,5.913720083281847,0.2702162985214765,Speech Clarity,4.0,0.970873786407767
11-2033.00,6.222246875649881,0.4352317519781654,Speech Clarity,3.88,0.9417475728155339
11-3012.00,5.92452485453443,0.3145018020162946,Speech Clarity,3.5,0.8495145631067961
11-3013.00,5.985404088814467,0.1614334976656468,Speech Clarity,3.62,0.8786407766990292
11-3013.01,0.5435295046867468,0.4130528420930592,Speech Clarity,3.62,0.8786407766990292
11-3021.00,0.3670773944145555,0.3243295729907653,Speech Clarity,3.25,0.7888349514563107
11-3031.00,0.0515159830035767,0.2822558739494258,Speech Clarity,4.0,0.970873786407767
11-3031.01,6.148165771531114,0.3595269992372665,Speech Clarity,3.75,0.9101941747572815
11-3031.03,0.5341012725388751,0.3991261370174889,Speech Clarity,3.75,0.9101941747572815
11-3051.00,1.3134835919246792,0.1989493809389516,Speech Clarity,3.75,0.9101941747572815
11-3051.01,1.484115002856005,0.4914072481261543,Speech Clarity,3.62,0.8786407766990292
11-3051.02,1.8948485586556505,0.3841004002886786,Speech Clarity,3.38,0.8203883495145631
11-3051.03,2.075131576919265,0.3588226288163271,Speech Clarity,3.88,0.9417475728155339
11-3051.04,2.180309482899524,0.3643240184489,Speech Clarity,3.75,0.9101941747572815
11-3051.06,1.899580734847213,0.3619547728992088,Speech Clarity,3.75,0.9101941747572815
11-3061.00,6.1839087718956725,0.1570291386209303,Speech Clarity,3.75,0.9101941747572815
11-3071.04,1.392304629126777,0.2250197200666636,Speech Clarity,3.25,0.7888349514563107
11-3111.00,0.0771189833725487,0.3880726179377382,Speech Clarity,3.88,0.9417475728155339
11-3121.00,6.2061629072293165,0.3682755116910413,Speech Clarity,4.5,1.0
11-3131.00,0.2840037764268779,0.419892708972293,Speech Clarity,4.88,1.0
11-9021.00,1.2298152392625172,0.2799187859648356,Speech Clarity,3.75,0.9101941747572815
11-9031.00,6.194239750969961,0.5442735627955397,Speech Clarity,3.88,0.9417475728155339
11-9032.00,6.114995876800583,0.54943462147533,Speech Clarity,4.5,1.0
11-9033.00,6.003149249424346,0.5891900942827812,Speech Clarity,4.12,1.0
11-9041.00,0.9371711606702172,0.44523211726353,Speech Clarity,4.0,0.970873786407767
11-9041.01,1.4881732198162256,0.5500899625312768,Speech Clarity,3.62,0.8786407766990292
11-9051.00,5.430613747222995,0.1948792490867169,Speech Clarity,3.0,0.7281553398058253
11-9071.00,5.21996017604575,0.2507920329047121,Speech Clarity,3.75,0.9101941747572815
11-9072.00,5.398041680397013,0.2846322780815878,Speech Clarity,3.5,0.8495145631067961
11-9081.00,5.370121315804535,0.3992326127462852,Speech Clarity,3.88,0.9417475728155339
11-9111.00,0.1088691499914925,0.4312762941235935,Speech Clarity,4.0,0.970873786407767
11-9121.00,0.730617130439629,0.5258198864532079,Speech Clarity,4.75,1.0
11-9121.01,0.378843369393196,0.4717407770464392,Speech Clarity,3.75,0.9101941747572815
11-9121.02,1.1511848840830197,0.5199197554845376,Speech Clarity,3.88,0.9417475728155339
11-9131.00,5.335781027988919,0.3459746228517175,Speech Clarity,3.12,0.7572815533980582
11-9141.00,6.016459002194258,0.1938888356879003,Speech Clarity,3.5,0.8495145631067961
11-9151.00,0.0112323294333142,0.5411718646335724,Speech Clarity,4.25,1.0
11-9161.00,0.4692016898808171,0.4770773478086679,Speech Clarity,4.25,1.0
11-9171.00,5.69965921411014,0.2931374810522878,Speech Clarity,3.5,0.8495145631067961
11-9179.01,0.0431991964113843,0.3642241077449518,Speech Clarity,3.5,0.8495145631067961
11-9179.02,5.664013305189718,0.2719286928600413,Speech Clarity,3.62,0.8786407766990292
11-9199.01,0.7266870872780097,0.4696439713428902,Speech Clarity,3.75,0.9101941747572815
11-9199.02,0.6305221329559496,0.4635548398244378,Speech Clarity,3.62,0.8786407766990292
11-9199.08,0.5700905603507949,0.2332617622718454,Speech Clarity,3.88,0.9417475728155339
11-9199.09,1.932376289229504,0.106773508517115,Speech Clarity,4.0,0.970873786407767
11-9199.10,1.325590662089233,0.3393217614375103,Speech Clarity,3.62,0.8786407766990292
11-9199.11,1.194838172245129,0.4708859207422839,Speech Clarity,3.75,0.9101941747572815
13-1011.00,5.984861094357954,0.4061325436424897,Speech Clarity,3.62,0.8786407766990292
13-1021.00,4.375675098643665,0.072275568522872,Speech Clarity,3.25,0.7888349514563107
13-1022.00,0.4111210249663552,0.1263399225463133,Speech Clarity,3.38,0.8203883495145631
13-1023.00,0.5519672994589703,0.1791552274555412,Speech Clarity,3.25,0.7888349514563107
13-1031.00,0.5397585348714181,0.2613486237269785,Speech Clarity,3.5,0.8495145631067961
13-1032.00,2.330738328078347,0.2499769282556154,Speech Clarity,3.12,0.7572815533980582
13-1041.01,1.1179510882679415,0.3506210689533605,Speech Clarity,3.62,0.8786407766990292
13-1041.03,0.306665107746731,0.4419911185928981,Speech Clarity,3.75,0.9101941747572815
13-1041.04,1.1011200333773397,0.3718922944304091,Speech Clarity,3.88,0.9417475728155339
13-1041.06,6.156176603417534,0.2408383500388677,Speech Clarity,3.38,0.8203883495145631
13-1041.07,0.7931419393303871,0.4281756686609639,Speech Clarity,3.88,0.9417475728155339
13-1041.08,4.916318882647535,0.1430143538241261,Speech Clarity,3.0,0.7281553398058253
13-1051.00,1.323994350066832,0.2679881982857331,Speech Clarity,3.25,0.7888349514563107
13-1071.00,6.173350680948285,0.3394056951264002,Speech Clarity,3.88,0.9417475728155339
13-1074.00,4.753662748813396,0.2844755914452154,Speech Clarity,3.12,0.7572815533980582
13-1075.00,0.1889832378433405,0.3247879067027708,Speech Clarity,3.88,0.9417475728155339
13-1081.00,0.5237673862473098,0.2398263034610563,Speech Clarity,3.88,0.9417475728155339
13-1081.01,1.4398723529504172,0.3175068888724129,Speech Clarity,3.75,0.9101941747572815
13-1081.02,1.3539591125701709,0.1351931770394504,Speech Clarity,3.25,0.7888349514563107
13-1111.00,0.9452315849779698,0.3954034208380686,Speech Clarity,4.0,0.970873786407767
13-1121.00,6.101126736643305,0.3580749223011698,Speech Clarity,3.62,0.8786407766990292
13-1131.00,6.028644130775312,0.4050003433840111,Speech Clarity,4.12,1.0
13-1141.00,0.2907746790411946,0.3970202066096218,Speech Clarity,3.38,0.8203883495145631
13-1151.00,0.0825071347154697,0.3769462147348427,Speech Clarity,4.5,1.0
13-1161.00,0.6830473873748182,0.427569218758734,Speech Clarity,3.62,0.8786407766990292
13-1161.01,0.5294064979725018,0.3041741106843768,Speech Clarity,3.75,0.9101941747572815
13-1199.04,0.811038660390926,0.4300548819181491,Speech Clarity,3.75,0.9101941747572815
13-1199.05,0.841792186444849,0.5293511632993624,Speech Clarity,3.62,0.8786407766990292
13-1199.06,5.11282495246621,0.1438941881863638,Speech Clarity,3.0,0.7281553398058253
13-1199.07,1.206396721271174,0.3871698495390712,Speech Clarity,3.38,0.8203883495145631
13-2022.00,1.572882311512627,0.150249130203599,Speech Clarity,3.25,0.7888349514563107
13-2023.00,1.1189123833351924,0.2453831169681448,Speech Clarity,3.12,0.7572815533980582
13-2031.00,0.4266768179090852,0.3587682028460746,Speech Clarity,3.12,0.7572815533980582
13-2041.00,0.6580968919837611,0.3066545293039934,Speech Clarity,3.12,0.7572815533980582
13-2052.00,0.0898822189598714,0.4501347922661486,Speech Clarity,3.88,0.9417475728155339
13-2053.00,0.8503205982789885,0.2781608506386099,Speech Clarity,3.12,0.7572815533980582
13-2061.00,0.6284663821260887,0.4341633488855268,Speech Clarity,3.88,0.9417475728155339
13-2071.00,6.0866348690633325,0.4088398255616727,Speech Clarity,3.5,0.8495145631067961
13-2072.00,6.114461603181803,0.2719772962674615,Speech Clarity,3.62,0.8786407766990292
13-2081.00,6.221169404087604,0.2369000378150587,Speech Clarity,3.12,0.7572815533980582
13-2082.00,5.788788427890041,0.2092545714239019,Speech Clarity,3.0,0.7281553398058253
13-2099.01,1.104694091650563,0.5507385547878879,Speech Clarity,3.5,0.8495145631067961
13-2099.04,0.6563156318776671,0.3650407741884698,Speech Clarity,3.75,0.9101941747572815
15-1211.00,1.0624399189230391,0.3278563788863087,Speech Clarity,3.12,0.7572815533980582
15-1211.01,0.5932930688712627,0.5286785790513788,Speech Clarity,3.75,0.9101941747572815
15-1212.00,0.7849047902456926,0.2927895870945656,Speech Clarity,3.0,0.7281553398058253
15-1221.00,0.6656791399967146,0.3252421931340776,Speech Clarity,3.25,0.7888349514563107
15-1231.00,1.5952290609725357,0.1735630983755189,Speech Clarity,3.0,0.7281553398058253
15-1232.00,1.6549259627879953,0.1729608421352041,Speech Clarity,3.25,0.7888349514563107
15-1241.00,1.148778717047391,0.2806095135901815,Speech Clarity,3.12,0.7572815533980582
15-1241.01,1.392073077653604,0.2310720555567052,Speech Clarity,3.5,0.8495145631067961
15-1242.00,0.978993908775601,0.267286106879706,Speech Clarity,3.0,0.7281553398058253
15-1243.00,0.900861670028227,0.2828475043753718,Speech Clarity,3.0,0.7281553398058253
15-1243.01,1.3207453357806045,0.2753959435332359,Speech Clarity,3.0,0.7281553398058253
15-1244.00,1.2600491113862242,0.1348367566501552,Speech Clarity,3.0,0.7281553398058253
15-1251.00,1.0942230827405524,0.2345508880984761,Speech Clarity,3.12,0.7572815533980582
15-1252.00,1.3096189331900905,0.4522841651421703,Speech Clarity,3.25,0.7888349514563107
15-1253.00,1.373743313939497,0.4887000324965332,Speech Clarity,3.0,0.7281553398058253
15-1254.00,0.8945740051552203,0.2361864737842206,Speech Clarity,3.12,0.7572815533980582
15-1255.01,0.7953925233798143,0.3179126580478176,Speech Clarity,3.12,0.7572815533980582
15-1299.01,0.979182869634768,0.3203575655279054,Speech Clarity,3.12,0.7572815533980582
15-1299.03,0.7148638355269267,0.3196631756962386,Speech Clarity,3.25,0.7888349514563107
15-1299.05,0.9608748277024468,0.4438091764193894,Speech Clarity,3.38,0.8203883495145631
15-1299.08,1.3435059134500569,0.4266259615928253,Speech Clarity,3.12,0.7572815533980582
15-1299.09,0.5248418159755106,0.3776788889762426,Speech Clarity,3.5,0.8495145631067961
15-2011.00,0.5250564590530484,0.3844934296601414,Speech Clarity,4.0,0.970873786407767
15-2021.00,0.8340115308691299,0.3340415507117622,Speech Clarity,3.12,0.7572815533980582
15-2031.00,0.9666404372745164,0.4528181971924016,Speech Clarity,3.25,0.7888349514563107
15-2041.00,1.0032961216298604,0.5002384177130963,Speech Clarity,3.62,0.8786407766990292
15-2041.01,0.777181928896284,0.5931056296116511,Speech Clarity,4.12,1.0
15-2051.01,0.8724967542907949,0.4052281951557355,Speech Clarity,3.5,0.8495145631067961
15-2051.02,0.8680393964519062,0.3388625135930265,Speech Clarity,3.38,0.8203883495145631
15-2099.01,0.9196418756395232,0.3830866243129071,Speech Clarity,3.25,0.7888349514563107
17-1011.00,1.309559028454265,0.3206502370785863,Speech Clarity,3.62,0.8786407766990292
17-1012.00,1.073831199964551,0.329338289309984,Speech Clarity,3.75,0.9101941747572815
17-1021.00,1.591745771588418,0.2606266020887568,Speech Clarity,3.0,0.7281553398058253
17-1022.00,1.530902204895241,0.3079115268669135,Speech Clarity,3.62,0.8786407766990292
17-1022.01,1.4883794821530945,0.3573616435665958,Speech Clarity,3.12,0.7572815533980582
17-2011.00,1.543680835624481,0.5583922972017192,Speech Clarity,3.12,0.7572815533980582
17-2021.00,1.3615620863927318,0.3622191191407283,Speech Clarity,3.12,0.7572815533980582
17-2031.00,1.355877965550785,0.486306583372316,Speech Clarity,3.38,0.8203883495145631
17-2041.00,1.9076145187317664,0.5207624353892425,Speech Clarity,3.12,0.7572815533980582
17-2051.00,1.603568392629865,0.4922005372468627,Speech Clarity,3.75,0.9101941747572815
17-2051.01,1.466007355474115,0.407255757273219,Speech Clarity,3.75,0.9101941747572815
17-2051.02,1.520065549256112,0.5019636963954844,Speech Clarity,3.25,0.7888349514563107
17-2061.00,1.7538794356779408,0.3749060782788515,Speech Clarity,3.12,0.7572815533980582
17-2071.00,1.6555419570798358,0.4334285928462038,Speech Clarity,3.12,0.7572815533980582
17-2072.00,1.6727044415041603,0.4867434423966054,Speech Clarity,3.12,0.7572815533980582
17-2072.01,1.551861873267581,0.341188540958669,Speech Clarity,3.38,0.8203883495145631
17-2081.00,0.9468777187522373,0.4670129303390002,Speech Clarity,3.88,0.9417475728155339
17-2111.02,1.1959521061591536,0.4232436713411513,Speech Clarity,3.75,0.9101941747572815
17-2112.00,1.8208557807666212,0.3371168583688781,Speech Clarity,3.25,0.7888349514563107
17-2112.01,1.325021434467074,0.5008320835587371,Speech Clarity,3.62,0.8786407766990292
17-2112.02,1.5199941088988684,0.5464038106578644,Speech Clarity,3.12,0.7572815533980582
17-2112.03,1.926081709999452,0.4134350486959688,Speech Clarity,3.62,0.8786407766990292
17-2121.00,1.908894209973112,0.4282066432794873,Speech Clarity,3.5,0.8495145631067961
17-2131.00,1.502157561267789,0.4078592186978052,Speech Clarity,3.5,0.8495145631067961
17-2141.00,1.8538228856461605,0.5225422017437193,Speech Clarity,3.25,0.7888349514563107
17-2141.01,1.729756681737979,0.5252109915927448,Speech Clarity,3.12,0.7572815533980582
17-2141.02,1.6010043128324982,0.4694599751992801,Speech Clarity,3.12,0.7572815533980582
17-2151.00,1.690459583321022,0.4294579574674286,Speech Clarity,3.75,0.9101941747572815
17-2161.00,1.468569077475362,0.5105647195448398,Speech Clarity,3.5,0.8495145631067961
17-2171.00,1.72921489554059,0.4053840010703206,Speech Clarity,3.25,0.7888349514563107
17-2199.03,1.3894783924371297,0.4880572811571969,Speech Clarity,3.75,0.9101941747572815
17-2199.05,2.02673820113157,0.4719724885864755,Speech Clarity,3.12,0.7572815533980582
17-2199.06,1.7877968152177122,0.5335974626654616,Speech Clarity,3.62,0.8786407766990292
17-2199.07,1.578234495116222,0.4226298434088682,Speech Clarity,3.62,0.8786407766990292
17-2199.08,2.095835219709578,0.3275828099635695,Speech Clarity,3.0,0.7281553398058253
17-2199.09,1.5127602545208174,0.4169180928488881,Speech Clarity,3.75,0.9101941747572815
17-2199.10,1.97481057691667,0.546158145301211,Speech Clarity,3.38,0.8203883495145631
17-2199.11,1.6505218945272784,0.4942882488056178,Speech Clarity,3.25,0.7888349514563107
17-3012.00,2.236318436354445,0.3300967341372564,Speech Clarity,3.0,0.7281553398058253
17-3013.00,2.396107215667774,0.3362381868765853,Speech Clarity,3.0,0.7281553398058253
17-3021.00,2.17037895459037,0.6663788422262676,Speech Clarity,3.0,0.7281553398058253
17-3022.00,1.5317448389309776,0.3958363981175439,Speech Clarity,3.12,0.7572815533980582
17-3024.00,2.442746548165949,0.5646654453927371,Speech Clarity,3.0,0.7281553398058253
