ability,theta_max_rad,theta_max_deg,resultant_R,I_max_kde,n_used,circ_std_deg,sector,I_min,I_p10,I_p25,I_med,I_p75,I_p90,I_max,I_mean,I_std,I_range,I_iqr,I_contrast,I_peak_over_med
Speech Clarity,0.061331,3.514008,0.744396,1.000000,878,44.023325,E,0.011755,0.013421,0.019777,0.098381,0.377745,0.769901,1.000000,0.245159,0.294460,0.988245,0.357968,0.976762,0.901619
Speech Recognition,0.075870,4.347053,0.692210,1.000000,878,49.145371,E,0.018247,0.026215,0.038995,0.158722,0.426790,0.853392,1.000000,0.283998,0.305180,0.981753,0.387796,0.964161,0.841278
Memorization,0.315526,18.078287,0.522337,1.000000,878,65.299192,E,0.053970,0.066482,0.111930,0.248447,0.522361,0.861684,1.000000,0.360715,0.289881,0.946030,0.410431,0.897588,0.751553
Oral Expression,0.369249,21.156391,0.753134,1.000000,878,43.144321,E,0.000870,0.004135,0.006339,0.086090,0.557274,0.856727,1.000000,0.290283,0.334478,0.999130,0.550934,0.998262,0.913910
Written Expression,0.440787,25.255253,0.720840,1.000000,878,46.359229,NE,0.003861,0.004282,0.010075,0.129557,0.644836,0.837854,1.000000,0.316424,0.339994,0.996139,0.634761,0.992307,0.870443
Oral Comprehension,0.479723,27.486079,0.728975,1.000000,878,45.557593,NE,0.002470,0.008854,0.014822,0.108262,0.658134,0.917685,1.000000,0.327693,0.357115,0.997530,0.643312,0.995073,0.891738
Written Comprehension,0.509125,29.170697,0.703647,1.000000,878,48.038191,NE,0.006941,0.009394,0.019331,0.138055,0.703573,0.880911,1.000000,0.343133,0.355861,0.993059,0.684242,0.986213,0.861945
Fluency of Ideas,0.561789,32.188159,0.678563,1.000000,878,50.457942,NE,0.018837,0.025885,0.043421,0.161241,0.841044,0.914965,1.000000,0.381452,0.377496,0.981163,0.797623,0.963023,0.838759
Originality,0.566617,32.464783,0.645505,1.000000,878,53.608930,NE,0.015778,0.024513,0.054825,0.194089,0.815276,0.878432,1.000000,0.392223,0.369822,0.984222,0.760451,0.968934,0.805911
Problem Sensitivity,0.576386,33.024512,0.626083,1.000000,878,55.448102,NE,0.020413,0.033418,0.065572,0.147399,0.580058,0.777294,1.000000,0.315848,0.298674,0.979587,0.514486,0.959990,0.852601
Inductive Reasoning,0.596357,34.168763,0.703581,1.000000,878,48.044641,NE,0.008741,0.017565,0.031509,0.123943,0.701900,0.861842,1.000000,0.335181,0.347225,0.991259,0.670391,0.982670,0.876057
Deductive Reasoning,0.640707,36.709814,0.697897,1.000000,878,48.595700,NE,0.006663,0.013935,0.030165,0.150295,0.828443,0.904773,1.000000,0.370746,0.375544,0.993337,0.798278,0.986761,0.849705
Speed of Closure,0.748378,42.878881,0.486126,1.000000,878,68.816410,NE,0.066513,0.080539,0.141873,0.293285,0.702439,0.838443,1.000000,0.407998,0.294464,0.933487,0.560565,0.875270,0.706715
Category Flexibility,0.846213,48.484461,0.665209,1.000000,878,51.734886,NE,0.018455,0.026074,0.046767,0.148054,0.805644,0.911273,1.000000,0.377290,0.365451,0.981545,0.758877,0.963759,0.851946
