name,cluster,cluster_rank,typicality_cos
Category Flexibility,0,1,0.8865393627186542
Deductive Reasoning,0,1,0.9832190384838118
Flexibility of Closure,0,1,0.7342139284836047
Fluency of Ideas,0,1,0.9692050039801015
Inductive Reasoning,0,1,0.9734194299423575
Information Ordering,0,1,0.9338038424779085
Mathematical Reasoning,0,1,0.8932401736294424
Memorization,0,1,0.9213885001971792
Near Vision,0,1,0.8533678186768122
Number Facility,0,1,0.8582257081053246
Oral Comprehension,0,1,0.9113384085449451
Oral Expression,0,1,0.8913520495749759
Originality,0,1,0.9560004080745668
Problem Sensitivity,0,1,0.9805845772497862
Speech Clarity,0,1,0.8170706804030776
Speech Recognition,0,1,0.7830657272307541
Speed of Closure,0,1,0.893875784204087
Time Sharing,0,1,0.3022068207954217
Written Comprehension,0,1,0.9784531140675774
Written Expression,0,1,0.9805737048519962
Arm-Hand Steadiness,1,2,0.8673208799875637
Auditory Attention,1,2,0.8849465986250358
Control Precision,1,2,0.9273082949900895
Depth Perception,1,2,0.9028343967897898
Dynamic Flexibility,1,2,0.7142079738313226
Dynamic Strength,1,2,0.9417222891058736
Explosive Strength,1,2,0.8805632858129511
Extent Flexibility,1,2,0.9664726374946627
Far Vision,1,2,0.2665593023453959
Finger Dexterity,1,2,0.8978454405742067
Glare Sensitivity,1,2,0.9374249833730182
Gross Body Coordination,1,2,0.9449702035039597
Gross Body Equilibrium,1,2,0.9719292099144873
Hearing Sensitivity,1,2,0.8766847797487091
Manual Dexterity,1,2,0.9188651775732489
Multilimb Coordination,1,2,0.9754253423911144
Night Vision,1,2,0.9174644648830539
Perceptual Speed,1,2,0.38249923464637026
Peripheral Vision,1,2,0.9219567992433327
Rate Control,1,2,0.9694280446167338
Reaction Time,1,2,0.9685114138614498
Response Orientation,1,2,0.9861990771425426
Selective Attention,1,2,0.3016220529436181
Sound Localization,1,2,0.9154092766692382
Spatial Orientation,1,2,0.9052425026268092
Speed of Limb Movement,1,2,0.9154729278523805
Stamina,1,2,0.9280452863595062
Static Strength,1,2,0.9393197224001668
Trunk Strength,1,2,0.927924435326779
Visual Color Discrimination,1,2,0.6558938318075566
Visualization,1,2,0.5021748820942843
Wrist-Finger Speed,1,2,0.9631906433496018
