job_family,within_family_occupation_spread__mean_dist_to_family_center,within_family_occupation_spread__median_dist_to_family_center,n_occupations_in_family_used,n_occupations_in_family_total,family_directionality__xi_concentration_R
Architecture and Engineering,0.07148214004957254,0.06139811560240712,51,51,0.9365282742667761
"Arts, Design, Entertainment, Sports, and Media",0.07955702738221267,0.07224111993509184,37,37,0.29673626438849493
Building and Grounds Cleaning and Maintenance,0.08635164779413122,0.08273624794936354,8,8,0.7865647397487581
Business and Financial Operations,0.09259272095776541,0.0926254250937029,43,43,0.7161625250972558
Community and Social Service,0.04455922198382323,0.041038941486534,14,14,0.9841247069128387
Computer and Mathematical,0.05660944366785214,0.04938203229684484,30,30,0.9584939528574384
Construction and Extraction,0.07606392951580322,0.06447424297696484,61,61,0.9120844999230471
Educational Instruction and Library,0.041945140303794044,0.03261233377428689,61,61,0.9759465960842395
"Farming, Fishing, and Forestry",0.08252490118481488,0.07606121497911847,12,12,0.8033929018996986
Food Preparation and Serving Related,0.07518497950096362,0.07056603497444315,16,16,0.9261064032761614
Healthcare Practitioners and Technical,0.09122326958875843,0.09046686752295147,82,82,0.6432041642627006
Healthcare Support,0.0797665078022577,0.07067992480496248,19,19,0.6411827805841088
"Installation, Maintenance, and Repair",0.07299920762814262,0.06622914252807105,50,50,0.9486146220348316
Legal,0.04826231363858645,0.04606148733823611,7,7,0.9396698574951275
"Life, Physical, and Social Science",0.0931950333709823,0.09324640323080047,57,57,0.8815715576494316
Management,0.11820231042173299,0.10595702533918185,52,52,0.6913970361446092
Office and Administrative Support,0.08925434814492109,0.08951688010048886,50,50,0.6532191226073583
Personal Care and Service,0.08366063514466685,0.08898139643644341,29,29,0.8388341883438877
Production,0.07140635414680092,0.07043662357278299,106,106,0.9585889517763817
Protective Service,0.07522568220188001,0.07574700702375566,25,25,0.5479362853113628
Sales and Related,0.07645063054371111,0.07906852764028881,21,21,0.7369483868301061
Transportation and Material Moving,0.11271491523745002,0.11421932127395101,47,47,0.66786576537027
