occupation_id_onet,n_tasks_used,within_occupation_task_spread__mean_dist_to_occ_center,within_occupation_task_spread__median_dist_to_occ_center,within_occupation_task_spread__rt_weighted_mean_dist_to_occ_center,occupation_title,job_family,nearest_neighbor_sanity__share_of_10_nearest_occupations_in_same_job_family
11-1011.00,31,0.11198152389679328,0.10511835861634314,0.11029629520502014,Chief Executives,Management,0.2
11-1011.03,18,0.08233383117587362,0.08393422255565589,0.0829519102314544,Chief Sustainability Officers,Management,0.2
11-1021.00,17,0.13785019712094065,0.12399250122147894,0.13760157829298594,General and Operations Managers,Management,0.1
11-2011.00,21,0.08875374328958104,0.07302178731917794,0.08783343745615468,Advertising and Promotions Managers,Management,0.2
11-2021.00,20,0.1131836392556301,0.09934327772890683,0.11142233400360255,Marketing Managers,Management,0.0
11-2022.00,17,0.08672536132620644,0.08902493776932453,0.08416030952956352,Sales Managers,Management,0.1
11-2033.00,16,0.07962652190960201,0.07177792303368613,0.07998475608951537,Fundraising Managers,Management,0.1
11-3012.00,8,0.12690647010771913,0.1120481697807931,0.12848197432374459,Administrative Services Managers,Management,0.1
11-3013.00,11,0.1246122905403866,0.12756609468575758,0.12302574502630292,Facilities Managers,Management,0.2
11-3013.01,28,0.10701165707185521,0.10008059808256833,0.1075357615219791,Security Managers,Management,0.2
11-3021.00,17,0.12781984217763104,0.11219116460764142,0.12548293660801202,Computer and Information Systems Managers,Management,0.1
11-3031.00,17,0.1246994680900127,0.11888320466897663,0.12721518118930822,Financial Managers,Management,0.0
11-3031.01,22,0.09742990108008921,0.09017212136104472,0.09584837805938215,Treasurers and Controllers,Management,0.2
11-3031.03,20,0.11710879850886793,0.10935554876227446,0.11806048359479963,Investment Fund Managers,Management,0.1
11-3051.00,13,0.13982407236753716,0.12976311395574927,0.13768582073473945,Industrial Production Managers,Management,0.1
11-3051.01,27,0.11294839491187345,0.1091724941522381,0.11253763091141522,Quality Control Systems Managers,Management,0.1
11-3051.02,17,0.10989818004142554,0.09874320785469416,0.10704131158167399,Geothermal Production Managers,Management,0.1
11-3051.03,14,0.11907711043493352,0.11656904075100866,0.1203392405778496,Biofuels Production Managers,Management,0.3
11-3051.04,19,0.13580877479503978,0.13348328306895146,0.13289369442784527,Biomass Power Plant Managers,Management,0.2
11-3051.06,18,0.126202872062518,0.11017818149467533,0.12179499501018128,Hydroelectric Production Managers,Management,0.1
11-3061.00,18,0.12405730737815368,0.11822218207957771,0.12358251519454656,Purchasing Managers,Management,0.2
11-3071.04,30,0.09936856144591394,0.09462507962330258,0.09982365123931118,Supply Chain Managers,Management,0.1
11-3111.00,22,0.10683118537854384,0.11441301205094179,0.10295673021790558,Compensation and Benefits Managers,Management,0.2
11-3121.00,26,0.11355303400865877,0.0997742200196754,0.11287323269363504,Human Resources Managers,Management,0.3
11-3131.00,12,0.13065330167009792,0.11533484365843769,0.13133625050093026,Training and Development Managers,Management,0.0
11-9021.00,25,0.13596176785671482,0.14519979602880215,0.13522050442904118,Construction Managers,Management,0.0
11-9031.00,17,0.11218047068423377,0.09555064333977734,0.11053632749105455,"Education and Childcare Administrators, Preschool and Daycare",Management,0.2
11-9032.00,32,0.11523070115702203,0.09580881776294688,0.11390563061553786,"Education Administrators, Kindergarten through Secondary",Management,0.2
11-9033.00,27,0.10402735394472444,0.09416300821071955,0.10830481095699604,"Education Administrators, Postsecondary",Management,0.0
11-9041.00,19,0.11880583499159503,0.08565797152182127,0.11220199455921823,Architectural and Engineering Managers,Management,0.0
11-9041.01,18,0.07014725960232962,0.06569783724581274,0.06766805321086698,Biofuels/Biodiesel Technology and Product Development Managers,Management,0.1
11-9051.00,28,0.13519798700741772,0.12836817062758224,0.1373401268092881,Food Service Managers,Management,0.0
11-9071.00,19,0.09213414504475546,0.07220170820398918,0.09230956203231964,Gambling Managers,Management,0.0
11-9072.00,17,0.14778135139858323,0.11969448408458692,0.13290287533172981,"Entertainment and Recreation Managers, Except Gambling",Management,0.0
11-9081.00,24,0.08983733535903131,0.08809189490175785,0.09182863141321322,Lodging Managers,Management,0.1
11-9111.00,18,0.1252318027828375,0.11878294563846101,0.12247145420565014,Medical and Health Services Managers,Management,0.1
11-9121.00,16,0.11866938592593122,0.11806708190917381,0.12069388082672282,Natural Sciences Managers,Management,0.3
11-9121.01,33,0.11534410786456765,0.10768235385387549,0.11705962068254812,Clinical Research Coordinators,Management,0.2
11-9121.02,21,0.10511261094821325,0.10015243094873881,0.10259024376170861,Water Resource Specialists,Management,0.1
11-9131.00,13,0.07187393785614327,0.06766722418607096,0.06736882271704014,Postmasters and Mail Superintendents,Management,0.1
11-9141.00,27,0.11776057470112737,0.1071772411245222,0.11631314035782905,"Property, Real Estate, and Community Association Managers",Management,0.2
11-9151.00,16,0.11395430270492689,0.10440924390726158,0.11010865291781678,Social and Community Service Managers,Management,0.1
11-9161.00,23,0.09954315340411145,0.09486396806859725,0.09778372275428412,Emergency Management Directors,Management,0.3
11-9171.00,23,0.11271725111207109,0.09289617123931314,0.11244415628064007,Funeral Home Managers,Management,0.1
11-9179.01,24,0.12257793939772393,0.10329993335104054,0.12373938466529394,Fitness and Wellness Coordinators,Management,0.1
11-9179.02,21,0.13362619338218032,0.12271680882922201,0.13578731473222264,Spa Managers,Management,0.1
11-9199.01,27,0.08806311411583613,0.0887097492573471,0.08833910622199172,Regulatory Affairs Managers,Management,0.2
11-9199.02,29,0.09675217175413393,0.07992258920216266,0.09192241614168166,Compliance Managers,Management,0.2
11-9199.08,27,0.09739009024910728,0.08514396252856513,0.097084027543947,Loss Prevention Managers,Management,0.0
