type,label,name,theta_max_deg,resultant_R,cluster_rank
Ability,ability,Oral Expression,21.15639143775264,0.7531338029289183,1
Ability,ability,Speech Clarity,3.5140079477393815,0.7443958152290606,1
Ability,ability,Oral Comprehension,27.48607877472814,0.728974985537511,1
Ability,ability,Written Expression,25.255253145942806,0.7208396613073526,1
Ability,ability,Written Comprehension,29.170696552858274,0.7036473980317983,1
Ability,ability,Inductive Reasoning,34.168763238487585,0.703580982710795,1
Ability,ability,Deductive Reasoning,36.709814390713404,0.697897224852057,1
Ability,ability,Speech Recognition,4.347052960514306,0.6922097451761056,1
Ability,ability,Fluency of Ideas,32.18815854935907,0.6785625757091104,1
Ability,ability,Category Flexibility,48.4844605369877,0.6652089816453636,1
Ability,ability,Originality,32.46478282425704,0.6455047883651714,1
Ability,ability,Problem Sensitivity,33.02451167767372,0.6260832615789395,1
Ability,ability,Mathematical Reasoning,50.829450925698815,0.6222911320413292,1
Ability,ability,Information Ordering,49.20147343314939,0.5951729013681911,1
Ability,ability,Number Facility,49.992909245758,0.5908486197779212,1
Ability,ability,Memorization,18.07828690362497,0.5223371750563861,1
Ability,ability,Flexibility of Closure,61.357128901204625,0.5120419885360599,1
Ability,ability,Speed of Closure,42.87888063228623,0.4861256722450381,1
Ability,ability,Near Vision,49.311672126707855,0.3216748401553528,1
Ability,ability,Time Sharing,334.1178322197985,0.0991660048023611,1
Ability,ability,Depth Perception,184.7663092420012,0.725956497375551,2
Ability,ability,Rate Control,186.5288073800719,0.6939013034599605,2
Ability,ability,Reaction Time,186.55738094567485,0.6881333992245878,2
Ability,ability,Control Precision,184.62984161040777,0.6626104854763456,2
Ability,ability,Extent Flexibility,197.5986886689062,0.650026132788265,2
Ability,ability,Multilimb Coordination,192.22486381430204,0.6336772568805684,2
Ability,ability,Static Strength,202.00282134302785,0.6324796059491541,2
Ability,ability,Trunk Strength,204.70668652142027,0.5949549006412295,2
Ability,ability,Manual Dexterity,192.39958039260736,0.5928093007400497,2
Ability,ability,Wrist-Finger Speed,187.8790848558494,0.5849864607253972,2
Ability,ability,Response Orientation,189.9620984834952,0.5697883192916535,2
Ability,ability,Dynamic Strength,203.06231406038557,0.5588829016065028,2
Ability,ability,Speed of Limb Movement,200.15309218486982,0.555533299003166,2
Ability,ability,Glare Sensitivity,185.67702527161663,0.5475369943098934,2
Ability,ability,Sound Localization,186.4931433812911,0.5375334952490172,2
Ability,ability,Gross Body Equilibrium,198.16597276746904,0.5330299426974977,2
Ability,ability,Finger Dexterity,183.04052965971007,0.5245168917518737,2
Ability,ability,Hearing Sensitivity,174.86413934396697,0.5204118545699897,2
Ability,ability,Dynamic Flexibility,211.24382918538586,0.5192573427898793,2
Ability,ability,Stamina,207.60358919813729,0.5149427168586654,2
Ability,ability,Arm-Hand Steadiness,186.85611844807,0.5052797389247515,2
Ability,ability,Auditory Attention,184.53352719228968,0.5049278470564852,2
Ability,ability,Peripheral Vision,190.06810091585527,0.5045928158220458,2
Ability,ability,Gross Body Coordination,205.43953581507657,0.4929960183243495,2
Ability,ability,Night Vision,187.83264121980542,0.49045152132526504,2
Ability,ability,Spatial Orientation,184.89821617658515,0.46534771015345355,2
Ability,ability,Visualization,143.74134721537126,0.45858394335235825,2
Ability,ability,Visual Color Discrimination,153.62305292086552,0.40518242861588033,2
Ability,ability,Perceptual Speed,131.00267815016127,0.3799876158977686,2
Ability,ability,Explosive Strength,210.85811041401237,0.33866645638837223,2
Ability,ability,Far Vision,109.70873720524101,0.15535968871587874,2
Ability,ability,Selective Attention,111.50525229026252,0.1512488131055551,2
Skill,skill,Social Perceptiveness,1.2174518259320186,0.768735515075444,1
Skill,skill,Learning Strategies,6.482804677554343,0.7666137707550504,1
Skill,skill,Active Listening,14.08240333033476,0.7459225169106216,1
Skill,skill,Speaking,13.201439677295799,0.7323337261857461,1
Skill,skill,Service Orientation,353.83418130153484,0.7296306973694354,1
Skill,skill,Instructing,8.777926058444441,0.7290954621622793,1
Skill,skill,Writing,22.81717466138332,0.7285414894809853,1
Skill,skill,Critical Thinking,30.20753760128416,0.7251592352755212,1
Skill,skill,Judgment and Decision Making,30.202116498687445,0.7238046845839811,1
Skill,skill,Persuasion,11.845886226285236,0.7165373840182793,1
Skill,skill,Active Learning,26.79601167796032,0.7116136200092098,1
Skill,skill,Reading Comprehension,26.82068695570622,0.7101064432532658,1
Skill,skill,Systems Evaluation,41.829232291673016,0.6897840074070821,1
Skill,skill,Complex Problem Solving,36.91555420276773,0.6834388647995927,1
Skill,skill,Systems Analysis,47.0436175338411,0.6763588943871447,1
Skill,skill,Negotiation,9.737877783819169,0.6663595300959717,1
Skill,skill,Programming,67.59936066302879,0.6362528578088982,1
Skill,skill,Time Management,18.09499626495924,0.6202453440509885,1
Skill,skill,Monitoring,23.02265959491243,0.6132343190689261,1
Skill,skill,Mathematics,59.03094345490263,0.6009372720213155,1
Skill,skill,Science,53.98115681834175,0.5723424675627623,1
Skill,skill,Technology Design,87.55568011081637,0.5721981075424962,1
Skill,skill,Operations Analysis,48.69574851466812,0.5594213581213962,1
Skill,skill,Management of Personnel Resources,21.309321452247303,0.5278637965592402,1
Skill,skill,Coordination,14.302667222414005,0.5215209617427985,1
Skill,skill,Management of Financial Resources,28.52621625616268,0.5002193593232772,1
Skill,skill,Management of Material Resources,36.26096565664236,0.39710087718958287,1
Skill,skill,Installation,165.03687311816904,0.773504967274134,2
Skill,skill,Equipment Maintenance,172.82751372598196,0.7136309313626559,2
Skill,skill,Repairing,172.4646224731403,0.7062734187964858,2
Skill,skill,Operation and Control,173.17187219451407,0.7009280261188975,2
Skill,skill,Troubleshooting,161.8313994198868,0.6746955526200946,2
Skill,skill,Equipment Selection,165.00897997940098,0.6530148706443334,2
Skill,skill,Operations Monitoring,158.12289689884054,0.6092856549568085,2
Skill,skill,Quality Control Analysis,143.7186231603711,0.5605815768773742,2
