Job Family,n_tasks_used,rt_sum_used,pc1,pc2,xi,r,chi,sector,zone,sector_zone,xi_concentration_R,n_occ_used
Architecture and Engineering,,,-0.03395100497285703,0.18923745754291602,1.748317275512497,0.19225890376254073,0.4198738698950735,10,Z2,10-Z2,0.9365321840423072,51
"Arts, Design, Entertainment, Sports, and Media",,,0.036129913062336705,-0.018437695045652566,5.811318507264312,0.040562534640829456,0.08858444555282204,33,Z1,33-Z1,0.2967165959112062,37
Building and Grounds Cleaning and Maintenance,,,-0.08288559235295968,-0.07646552291634558,3.886723768076332,0.11276966619872199,0.24627746869977962,22,Z1,22-Z1,0.7865669014734517,8
Business and Financial Operations,,,0.1007593486194414,0.05429101385039452,0.4942181529415492,0.11445505894943157,0.2499581948595811,2,Z1,02-Z1,0.7161558272799375,43
Community and Social Service,,,0.22919138871847106,-0.023809686211497767,6.179671018880243,0.23042481164187004,0.5032243266268212,35,Z2,35-Z2,0.9841234098951797,14
Computer and Mathematical,,,0.08604967691868579,0.12457793592667803,0.966319192367335,0.15140742722060138,0.3306584046504733,5,Z2,05-Z2,0.9584941638775532,30
Construction and Extraction,,,-0.20072698841318334,-0.03668624759882464,3.322364350234407,0.2040519655389492,0.44562871603779375,19,Z2,19-Z2,0.9120939593218763,61
Educational Instruction and Library,,,0.2161223335504057,-0.09216941184676253,5.880071310857022,0.23495545011650815,0.5131187797429761,33,Z2,33-Z2,0.9759498413342657,61
"Farming, Fishing, and Forestry",,,-0.10969847113814477,-0.028780518296438583,3.3981702382807595,0.11341107883914171,0.24767824859741847,19,Z1,19-Z1,0.8035690729298346,12
Food Preparation and Serving Related,,,-0.03166261375006825,-0.16868748758828067,4.52684798829342,0.1716332997361886,0.37482965081347486,25,Z2,25-Z2,0.9261004706059068,16
Healthcare Practitioners and Technical,,,0.09848744159349782,0.019365528125380643,0.1941525229712718,0.10037330238269314,0.21920507233112102,1,Z1,01-Z1,0.6431793739351208,82
Healthcare Support,,,0.037397215014580175,-0.07774734064661855,5.1607291553730095,0.08627398604717465,0.18841360105559196,29,Z1,29-Z1,0.6411795896212403,19
"Installation, Maintenance, and Repair",,,-0.21770678106196872,0.021427470773861045,3.0434851008946504,0.21875872330978863,0.47774677755799533,17,Z2,17-Z2,0.9486216545119104,50
Legal,,,0.13609250224261724,-0.0036527279891317914,6.256351711050805,0.1361415130972892,0.2973192025901222,35,Z1,35-Z1,0.9396607939201098,7
"Life, Physical, and Social Science",,,0.10810747508839633,0.1408471772743245,0.9161565049772332,0.17755324135631326,0.38775820053965376,5,Z2,05-Z2,0.8815778893142812,57
Management,,,0.11293808163183147,0.04569618003029451,0.3844764908371111,0.12183247166514893,0.26606971305791227,2,Z1,02-Z1,0.6913562091292653,52
Office and Administrative Support,,,0.010728600090302,-0.09026481455087372,4.830690925733561,0.09090016284804583,0.19851670014846765,27,Z1,27-Z1,0.6532116130196942,50
Personal Care and Service,,,0.03925754221157224,-0.12275194177575202,5.021921365370503,0.1288766613092184,0.28145350599674684,28,Z1,28-Z1,0.8387981426245433,29
Production,,,-0.23470666630398485,-0.018194565165433416,3.2189583715945176,0.23541083536891266,0.5141132947666153,18,Z2,18-Z2,0.9585955366472458,106
Protective Service,,,0.05444640189498736,-0.012241480680616338,6.062027501729467,0.05580559585350188,0.12187373918323363,34,Z1,34-Z1,0.5478990587613546,25
Sales and Related,,,0.05492341866570851,-0.07954465113571225,5.316692197067056,0.0966640235156331,0.21110438496656547,30,Z1,30-Z1,0.7369473731644344,21
Transportation and Material Moving,,,-0.11592204617625754,-0.05174589128455582,3.5614364859027643,0.12694706792408975,0.27723947051603604,20,Z1,20-Z1,0.6678886313795015,47
