outcome,spec,variable,coef,se,t,p,ci_low,ci_high
ln_wage,geometry_only,cos_xi,0.211873,0.017406,12.172150,0.000000,0.177757,0.245989
ln_wage,geometry_only,sin_xi,0.388593,0.018150,21.410069,0.000000,0.353020,0.424167
ln_wage,geometry_only,chi,-0.045459,0.089819,-0.506110,0.612779,-0.221501,0.130584
ln_wage,geometry_only,_summary_,,,,,785.000000,0.492064
ln_wage,with_education,cos_xi,-0.002481,0.022622,-0.109692,0.912653,-0.046819,0.041856
ln_wage,with_education,sin_xi,0.230336,0.020913,11.014104,0.000000,0.189348,0.271324
ln_wage,with_education,chi,-0.164812,0.072084,-2.286399,0.022231,-0.306093,-0.023531
ln_wage,with_education,rle_mean,0.108038,0.008872,12.176747,0.000000,0.090648,0.125428
ln_wage,with_education,_summary_,,,,,785.000000,0.623295
ln_wage,with_family_FE,cos_xi,0.167858,0.028297,5.931985,0.000000,0.112397,0.223320
ln_wage,with_family_FE,sin_xi,0.236595,0.028474,8.309212,0.000000,0.180787,0.292402
ln_wage,with_family_FE,chi,-0.069277,0.104698,-0.661683,0.508174,-0.274482,0.135928
ln_wage,with_family_FE,_summary_,,,,,785.000000,0.640985
ln_wage,full,cos_xi,0.014759,0.023598,0.625431,0.531688,-0.031492,0.061011
ln_wage,full,sin_xi,0.140124,0.023542,5.952006,0.000000,0.093982,0.186266
ln_wage,full,chi,-0.225825,0.081235,-2.779888,0.005438,-0.385043,-0.066607
ln_wage,full,rle_mean,0.125937,0.008756,14.383231,0.000000,0.108776,0.143098
ln_wage,full,_summary_,,,,,785.000000,0.757038
rle_mean,geometry_only,cos_xi,1.984066,0.085051,23.327902,0.000000,1.817369,2.150763
rle_mean,geometry_only,sin_xi,1.464834,0.079630,18.395596,0.000000,1.308763,1.620905
rle_mean,geometry_only,chi,1.104735,0.450426,2.452643,0.014181,0.221916,1.987554
rle_mean,geometry_only,_summary_,,,,,785.000000,0.607692
rle_mean,with_family_FE,cos_xi,1.215683,0.130478,9.317124,0.000000,0.959950,1.471416
rle_mean,with_family_FE,sin_xi,0.766023,0.130509,5.869484,0.000000,0.510229,1.021817
rle_mean,with_family_FE,chi,1.243063,0.462186,2.689530,0.007155,0.337195,2.148930
rle_mean,with_family_FE,_summary_,,,,,785.000000,0.744676
