onet_code,Title,Job Family,pc1,pc2,xi,r,chi,sector,zone,sector_zone,n_tasks_used,RT_sum_used
11-1011.00,Chief Executives,Management,0.19613946146013833,0.008498853911091472,0.043303580183119285,0.19632350562190753,0.42875054649561684,0,Z2,00-Z2,31,2253.62
11-1011.03,Chief Sustainability Officers,Management,0.1937774044232725,0.17414762169576162,0.732096029429244,0.260532294749251,0.5689760041705043,4,Z2,04-Z2,18,1737.05
11-1021.00,General and Operations Managers,Management,0.09872065002452211,-0.02791461475611079,6.007615683350592,0.10259138588715067,0.2240491408582009,34,Z1,34-Z1,17,1179.65
11-2011.00,Advertising and Promotions Managers,Management,0.1610950967573709,-0.01568889556700457,6.186102434004539,0.16185725699942857,0.3534797688792016,35,Z2,35-Z2,21,1528.67
11-2021.00,Marketing Managers,Management,0.13077004829405678,0.07539124166821082,0.5229740902854406,0.15094583416280327,0.32965033241193725,2,Z1,02-Z1,20,1460.42
11-2022.00,Sales Managers,Management,0.11538187357387075,-0.044681406991554866,5.913720083281847,0.12373117990289134,0.27021629852147655,33,Z1,33-Z1,17,1480.95
11-2033.00,Fundraising Managers,Management,0.19892131016831202,-0.012136979887798957,6.222246875649881,0.19929122890853634,0.43523175197816544,35,Z2,35-Z2,16,1312.07
11-3012.00,Administrative Services Managers,Management,0.13484574777159292,-0.050550203714880296,5.92452485453443,0.14400937048572898,0.3145018020162946,33,Z1,33-Z1,8,599.98
11-3013.00,Facilities Managers,Management,0.07066665641478267,-0.021688078702705407,5.985404088814467,0.07391988289127419,0.1614334976656468,34,Z1,34-Z1,11,902.26
11-3013.01,Security Managers,Management,0.1618790025506216,0.09781336815893679,0.5435295046867468,0.18913557692137103,0.41305284209305926,3,Z2,03-Z2,28,2745.0
11-3021.00,Computer and Information Systems Managers,Management,0.13861580707654167,0.053298426977267215,0.36707739441455556,0.14850947542070206,0.3243295729907653,2,Z1,02-Z1,17,1528.4
11-3031.00,Financial Managers,Management,0.129072600773348,0.006655190345031678,0.05151598300357674,0.12924406303163283,0.2822558739494258,0,Z1,00-Z1,17,979.29
11-3031.01,Treasurers and Controllers,Management,0.16312795172303665,-0.022160286948584126,6.148165771531114,0.16462626446286438,0.35952699923726655,35,Z2,35-Z2,22,1739.83
11-3031.03,Investment Fund Managers,Management,0.15730515378417784,0.09303648913126521,0.5341012725388751,0.18275858315530866,0.3991261370174889,3,Z2,03-Z2,20,1569.01
11-3051.00,Industrial Production Managers,Management,0.023182936027350526,0.08809908733499752,1.3134835919246792,0.09109828599983508,0.19894938093895162,7,Z1,07-Z1,13,1093.75
11-3051.01,Quality Control Systems Managers,Management,0.01948007905809129,0.22416900059107864,1.484115002856005,0.2250138091453778,0.4914072481261543,8,Z2,08-Z2,27,2321.39
11-3051.02,Geothermal Production Managers,Management,-0.0560015103246213,0.16672439395811747,1.8948485586556503,0.17587834630601978,0.38410040028867865,10,Z2,10-Z2,17,1352.27
11-3051.03,Biofuels Production Managers,Management,-0.07939576481726114,0.14384724546341326,2.075131576919265,0.16430373549718616,0.35882262881632715,11,Z2,11-Z2,14,1272.71
11-3051.04,Biomass Power Plant Managers,Management,-0.09550077574910541,0.13678249100124973,2.180309482899524,0.16682280423607523,0.3643240184489,12,Z2,12-Z2,19,1574.84
11-3051.06,Hydroelectric Production Managers,Management,-0.053515583641407224,0.15686027273566502,1.8995807348472131,0.16573793426728736,0.3619547728992088,10,Z2,10-Z2,18,1531.04
11-3061.00,Purchasing Managers,Management,0.07154909929540884,-0.00712657484982905,6.1839087718956725,0.0719031409541648,0.15702913862093038,35,Z1,35-Z1,18,1684.21
11-3071.04,Supply Chain Managers,Management,0.01829353805141426,0.10139884030538322,1.3923046291267773,0.10303581100624748,0.22501972006666365,7,Z1,07-Z1,30,2580.94
11-3111.00,Compensation and Benefits Managers,Management,0.17716906125888046,0.013690248833435888,0.07711898337254874,0.17769721207850822,0.38807261793773823,0,Z2,00-Z2,22,1642.86
11-3121.00,Human Resources Managers,Management,0.16813222660758279,-0.012975616822524254,6.2061629072293165,0.16863218036883867,0.3682755116910413,35,Z2,35-Z2,26,2408.85
11-3131.00,Training and Development Managers,Management,0.18456553743872692,0.05387360695917195,0.28400377642687796,0.1922675301158192,0.419892708972293,1,Z2,01-Z2,12,1109.66
11-9021.00,Construction Managers,Management,0.04286287782299053,0.12079456501399564,1.2298152392625172,0.12817391790917929,0.27991878596483566,7,Z1,07-Z1,25,2244.21
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Management,0.24823594248123312,-0.022137894719712548,6.194239750969961,0.24922112575415262,0.5442735627955397,35,Z2,35-Z2,17,1447.94
11-9032.00,"Education Administrators, Kindergarten through Secondary",Management,0.24803436882940047,-0.04211461846265523,6.114995876800583,0.2515843580369298,0.54943462147533,35,Z2,35-Z2,32,2475.88
11-9033.00,"Education Administrators, Postsecondary",Management,0.2592787878799288,-0.074566859190301,6.003149249424346,0.26978826203893913,0.5891900942827812,34,Z2,34-Z2,27,1791.44
11-9041.00,Architectural and Engineering Managers,Management,0.12070554984250412,0.1642963652894351,0.9371711606702171,0.20387036422712532,0.44523211726353,5,Z2,05-Z2,19,1531.61
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Management,0.02078780430811059,0.2510251712476177,1.4881732198162256,0.25188443661299936,0.5500899625312768,8,Z2,08-Z2,18,1181.24
11-9051.00,Food Service Managers,Management,0.0587207301226042,-0.06719142151941991,5.430613747222995,0.08923458562649396,0.19487924908671697,31,Z1,31-Z1,28,2054.41
11-9071.00,Gambling Managers,Management,0.055817159617587396,-0.10035911304168736,5.21996017604575,0.11483687072665039,0.2507920329047121,29,Z1,29-Z1,19,1333.42
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Management,0.08252353294627746,-0.10087790494544874,5.398041680397013,0.13033221089246638,0.2846322780815878,30,Z1,30-Z1,17,1372.49
11-9081.00,Lodging Managers,Management,0.11175448382132204,-0.14467017035749466,5.370121315804535,0.18280733805139404,0.39923261274628524,30,Z2,30-Z2,24,2037.48
11-9111.00,Medical and Health Services Managers,Management,0.19631087760126462,0.021457038563772807,0.10886914999149257,0.19748003739240563,0.43127629412359353,0,Z2,00-Z2,18,1575.01
11-9121.00,Natural Sciences Managers,Management,0.17931744707370043,0.1606737259878034,0.730617130439629,0.24077124630618393,0.5258198864532079,4,Z2,04-Z2,16,1333.0
11-9121.01,Clinical Research Coordinators,Management,0.20069208039555972,0.0798899362903903,0.378843369393196,0.21600859486136292,0.47174077704643924,2,Z2,02-Z2,33,2480.37
11-9121.02,Water Resource Specialists,Management,0.09699089458193651,0.21741641731689212,1.1511848840830197,0.23806959518325163,0.5199197554845376,6,Z2,06-Z2,21,1954.51
11-9131.00,Postmasters and Mail Superintendents,Management,0.09248480596235638,-0.12862220185263454,5.335781027988919,0.15842067460819176,0.34597462285171754,30,Z2,30-Z2,13,916.33
11-9141.00,"Property, Real Estate, and Community Association Managers",Management,0.08564168436664395,-0.02340046575558449,6.016459002194258,0.08878107849499323,0.1938888356879003,34,Z1,34-Z1,27,2085.0
11-9151.00,Social and Community Service Managers,Management,0.24778523631225438,0.0027833224567896182,0.01123232943331428,0.24780086807398036,0.5411718646335724,0,Z2,00-Z2,16,1246.43
11-9161.00,Emergency Management Directors,Management,0.19484396621530933,0.09877848805937313,0.4692016898808171,0.21845219356602563,0.47707734780866795,2,Z2,02-Z2,23,2177.26
11-9171.00,Funeral Home Managers,Management,0.11201555977062722,-0.07395488963738137,5.69965921411014,0.13422671616337864,0.2931374810522878,32,Z1,32-Z1,23,2089.28
11-9179.01,Fitness and Wellness Coordinators,Management,0.16662146242672055,0.007202394137882479,0.04319919641138431,0.16677705544389626,0.36422410774495184,0,Z2,00-Z2,24,2192.29
11-9179.02,Spa Managers,Management,0.10140017280717761,-0.07226382122778102,5.664013305189718,0.12451527980037702,0.27192869286004134,32,Z1,32-Z1,21,1905.82
11-9199.01,Regulatory Affairs Managers,Management,0.16072284048022834,0.14287762181561164,0.7266870872780097,0.21504847422783047,0.4696439713428902,4,Z2,04-Z2,27,2504.33
11-9199.02,Compliance Managers,Management,0.17144682828748234,0.12514156658502423,0.6305221329559496,0.21226028035690406,0.4635548398244378,3,Z2,03-Z2,29,2102.27
11-9199.08,Loss Prevention Managers,Management,0.08991806799547854,0.05764614297497461,0.5700905603507949,0.10680981580328054,0.23326176227184542,3,Z1,03-Z1,27,2454.5099999999998
11-9199.09,Wind Energy Operations Managers,Management,-0.017295400141535536,0.045729895153300455,1.9323762892295038,0.04889124846828602,0.106773508517115,11,Z1,11-Z1,16,1537.22
11-9199.10,Wind Energy Development Managers,Management,0.03771803141295372,0.150726702798627,1.325590662089233,0.15537435061880128,0.33932176143751036,7,Z2,07-Z2,15,1386.99
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Management,0.0791668436344162,0.20055764776484025,1.1948381722451287,0.21561715889047847,0.47088592074228397,6,Z2,06-Z2,23,2011.66
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Business and Financial Operations,0.1777527110672442,-0.054659146677478676,5.984861094357954,0.18596679436734215,0.40613254364248974,34,Z2,34-Z2,14,1080.63
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Business and Financial Operations,-0.01093408553479272,-0.031236331089334185,4.375675098643665,0.03309475194656501,0.07227556852287202,25,Z1,25-Z1,12,825.91
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Business and Financial Operations,0.053030148977686216,0.02311927013908301,0.4111210249663552,0.057850646948495656,0.1263399225463133,2,Z1,02-Z1,20,1397.38
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Business and Financial Operations,0.06985202355580351,0.04301594407112206,0.5519672994589703,0.08203460635104205,0.17915522745554127,3,Z1,03-Z1,19,1805.0
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Business and Financial Operations,0.10265745188082002,0.061502227584756174,0.5397585348714181,0.11967069994175693,0.26134862372697854,3,Z1,03-Z1,27,2182.39
13-1032.00,"Insurance Appraisers, Auto Damage",Business and Financial Operations,-0.07885164202040279,0.08297193938750855,2.330738328078347,0.11446363691163296,0.24997692825561543,13,Z1,13-Z1,7,649.87
13-1041.01,Environmental Compliance Inspectors,Business and Financial Operations,0.07024400221846107,0.14436594587651433,1.1179510882679415,0.16054826743533493,0.3506210689533605,6,Z2,06-Z2,26,1820.0
13-1041.03,Equal Opportunity Representatives and Officers,Business and Financial Operations,0.1929441109242212,0.06109658832181543,0.30666510774673106,0.2023863212890228,0.4419911185928981,1,Z2,01-Z2,18,1277.5
13-1041.04,Government Property Inspectors and Investigators,Business and Financial Operations,0.07707208239416823,0.15184859914858267,1.1011200333773397,0.17028829363159523,0.37189229443040916,6,Z2,06-Z2,13,704.07
13-1041.06,Coroners,Business and Financial Operations,0.10939083838277039,-0.013968780601263473,6.156176603417534,0.11027911113883547,0.2408383500388677,35,Z1,35-Z1,20,1888.42
13-1041.07,Regulatory Affairs Specialists,Business and Financial Operations,0.13755783849638678,0.1397049422630918,0.7931419393303871,0.19606027089783346,0.42817566866096396,4,Z2,04-Z2,30,2525.0
13-1041.08,Customs Brokers,Business and Financial Operations,0.013262145013716007,-0.06412883576097216,4.916318882647535,0.06548581576511492,0.14301435382412614,28,Z1,28-Z1,23,2185.0
13-1051.00,Cost Estimators,Business and Financial Operations,0.02997878511460044,0.11899263514903369,1.3239943500668319,0.12271093992247976,0.26798819828573317,7,Z1,07-Z1,14,1286.35
13-1071.00,Human Resources Specialists,Business and Financial Operations,0.1544763032680421,-0.01703540521515344,6.173350680948285,0.1554127835868227,0.3394056951264002,35,Z2,35-Z2,26,1974.25
13-1074.00,Farm Labor Contractors,Business and Financial Operations,0.005374813926520938,-0.13014952942068314,4.753662748813396,0.13026046458219773,0.2844755914452154,27,Z1,27-Z1,7,617.06
13-1075.00,Labor Relations Specialists,Business and Financial Operations,0.14607150887225764,0.02793846563606769,0.18898323784334053,0.14871934496330927,0.32478790670277086,1,Z1,01-Z1,28,2151.18
13-1081.00,Logisticians,Business and Financial Operations,0.095093925013536,0.054923883750957726,0.5237673862473098,0.109815698243779,0.23982630346105635,3,Z1,03-Z1,22,2049.97
13-1081.01,Logistics Engineers,Business and Financial Operations,0.018980101126158312,0.1441411371972286,1.4398723529504172,0.14538539015757213,0.3175068888724129,8,Z1,08-Z1,30,2686.34
13-1081.02,Logistics Analysts,Business and Financial Operations,0.013318261976330546,0.06045489208640249,1.3539591125701709,0.06190452389970173,0.13519317703945047,7,Z1,07-Z1,31,2445.44
13-1111.00,Management Analysts,Business and Financial Operations,0.10601708325019775,0.14676823801125,0.9452315849779698,0.18105396330875026,0.3954034208380686,5,Z2,05-Z2,11,1023.11
13-1121.00,"Meeting, Convention, and Event Planners",Business and Financial Operations,0.16125158402345446,-0.02968594331474451,6.101126736643305,0.16396136307240014,0.3580749223011698,34,Z2,34-Z2,21,1615.28
13-1131.00,Fundraisers,Business and Financial Operations,0.17947301877967198,-0.04669615669032819,6.028644130775312,0.185448363485732,0.4050003433840111,34,Z2,34-Z2,28,2405.48
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations,0.174162936025188,0.05211941612283192,0.2907746790411946,0.1817942843488173,0.39702020660962184,1,Z2,01-Z2,22,1242.87
13-1151.00,Training and Development Specialists,Business and Financial Operations,0.17201531142003457,0.014224783189703473,0.08250713471546976,0.1726024675945438,0.3769462147348427,0,Z2,00-Z2,20,1803.54
13-1161.00,Market Research Analysts and Marketing Specialists,Business and Financial Operations,0.1518593324124988,0.12357006743336385,0.6830473873748182,0.19578257942487093,0.427569218758734,3,Z2,03-Z2,13,1237.93
13-1161.01,Search Marketing Strategists,Business and Financial Operations,0.12021384170595158,0.07033952776147673,0.5294064979725018,0.13928035361604715,0.30417411068437683,3,Z1,03-Z1,36,3182.6
13-1199.04,Business Continuity Planners,Business and Financial Operations,0.13562833870942537,0.14276812717362364,0.811038660390926,0.1969207566452622,0.43005488191814917,4,Z2,04-Z2,21,1938.91
13-1199.05,Sustainability Specialists,Business and Financial Operations,0.1614613811530105,0.18078236955049773,0.841792186444849,0.24238820669358166,0.5293511632993624,4,Z2,04-Z2,14,1382.6
13-1199.06,Online Merchants,Business and Financial Operations,0.025684719706770404,-0.06067630943035075,5.11282495246621,0.06588868910900438,0.14389418818636385,29,Z1,29-Z1,34,2487.66
13-1199.07,Security Management Specialists,Business and Financial Operations,0.06318190089703753,0.16564300882113037,1.2063967212711741,0.1772838373125992,0.3871698495390712,6,Z2,06-Z2,23,2080.0
13-2022.00,Appraisers of Personal and Business Property,Business and Financial Operations,-0.00014351271736026957,0.06879844707548549,1.572882311512627,0.06879859675820738,0.150249130203599,9,Z1,09-Z1,14,1300.0
13-2023.00,Appraisers and Assessors of Real Estate,Business and Financial Operations,0.04906331059996856,0.10108211427733838,1.1189123833351924,0.11236014539776051,0.24538311696814488,6,Z1,06-Z1,28,2334.78
13-2031.00,Budget Analysts,Business and Financial Operations,0.14955057200635166,0.06798643355957348,0.42667681790908524,0.16427881401926808,0.35876820284607464,2,Z2,02-Z2,13,1133.43
