sector,center_deg,n_pairs,rho_dchi_w,rho_dchi_E,rho_dchi_w_given_dxi,rho_dchi_E_given_dxi,sample,p_perm_w,p_perm_E,n_occupations,beta_chi_w,se_chi_w,p_chi_w,beta_chi_E,se_chi_E,p_chi_E
E,0,7750,-0.022305838242917393,0.06965025689528276,-0.02700776215007846,0.0630828847914662,same_sector,0.32667332667332666,0.012987012987012988,125,-0.15130965097874166,0.3062980823866038,0.6213098725869625,5.470750915564966,1.5784629559065397,0.0005285143883148967
NE,45,5050,0.06145108083304609,0.28730092253049727,0.061752378635346265,0.2876274810246925,same_sector,0.13286713286713286,0.000999000999000999,101,0.8115048950982471,0.2450068533694867,0.000925745355261953,8.450729529115995,1.0655323711307256,2.174008811539683e-15
N,90,4186,0.14429415963688852,0.10237417055940366,0.1440841438347518,0.1026723603990765,same_sector,0.001998001998001998,0.015984015984015984,92,0.9298175840518077,0.22402611124021587,3.317678250006188e-05,3.5457089479520585,1.0630880279822483,0.0008520988646933912
NW,135,946,0.03224475229397988,-0.006301580100256658,0.03224802266148171,-0.005633172311548293,same_sector,0.5214785214785215,0.9400599400599401,44,0.2752224808918935,0.29948541350827274,0.3581036308543575,0.5190853843277796,1.0656530559526463,0.6261836223809955
W,180,19900,0.046192914796116896,0.20883749635101448,0.03355223538444052,0.1972327894762033,same_sector,0.2077922077922078,0.000999000999000999,200,-0.28029131208980684,0.1129210236015108,0.01305780304637607,-2.481349957108707,0.428946249548052,7.261708626377498e-09
SW,225,2211,0.111650194036438,0.3027599825037543,0.09906576448199256,0.2951803138179687,same_sector,0.02097902097902098,0.000999000999000999,67,-0.8026941170740943,0.3824934853081973,0.03585372440337036,-4.926180095108997,1.8504167211957891,0.007763164925541319
S,270,3003,0.1731947394550134,0.15252784760448237,0.1731572874154901,0.1526243636407521,same_sector,0.000999000999000999,0.001998001998001998,78,-1.0443209036484382,0.174202822835256,2.0366535807865977e-09,-3.807526501867822,1.042653996711779,0.00026044500707227917
SE,315,3003,0.11392338822116918,0.12784511992671593,0.11401124310656416,0.12965841272832765,same_sector,0.013986013986013986,0.012987012987012988,78,-1.1771842706423117,0.37345021512473553,0.001620534102338022,-0.3711301227102617,1.9458851838889994,0.8487405795450981
E,0,10336,-0.028648047559915266,0.07511597668925726,-0.03049638737276324,0.07248436197456158,dxi30,0.2217782217782218,0.001998001998001998,125,-0.15130965097874166,0.3062980823866038,0.6213098725869625,5.470750915564966,1.5784629559065397,0.0005285143883148967
NE,45,6858,0.08989548483746866,0.28369480737556685,0.08970084837919212,0.28351513166228864,dxi30,0.008991008991008992,0.000999000999000999,101,0.8115048950982471,0.2450068533694867,0.000925745355261953,8.450729529115995,1.0655323711307256,2.174008811539683e-15
N,90,5525,0.1286045578374945,0.10177484001527966,0.1284026937327592,0.10207226624089806,dxi30,0.000999000999000999,0.008991008991008992,92,0.9298175840518077,0.22402611124021587,3.317678250006188e-05,3.5457089479520585,1.0630880279822483,0.0008520988646933912
NW,135,1365,0.04763664369182829,0.041412227330269356,0.04524125505455376,0.04318828423512813,dxi30,0.3726273726273726,0.4095904095904096,44,0.2752224808918935,0.29948541350827274,0.3581036308543575,0.5190853843277796,1.0656530559526463,0.6261836223809955
W,180,23925,0.04427700126252601,0.1878187198008732,0.038007701796536036,0.1824175043331151,dxi30,0.1108891108891109,0.000999000999000999,200,-0.28029131208980684,0.1129210236015108,0.01305780304637607,-2.481349957108707,0.428946249548052,7.261708626377498e-09
SW,225,4064,0.11265305211405367,0.3294279554812964,0.10717766782775749,0.31118600219459014,dxi30,0.001998001998001998,0.000999000999000999,67,-0.8026941170740943,0.3824934853081973,0.03585372440337036,-4.926180095108997,1.8504167211957891,0.007763164925541319
S,270,3612,0.20551113709114133,0.16996165109336905,0.20528917005269462,0.16962605576831302,dxi30,0.000999000999000999,0.000999000999000999,78,-1.0443209036484382,0.174202822835256,2.0366535807865977e-09,-3.807526501867822,1.042653996711779,0.00026044500707227917
SE,315,3866,0.10366063096669507,0.1341210055417388,0.10375797452428506,0.1346905340344682,dxi30,0.02097902097902098,0.005994005994005994,78,-1.1771842706423117,0.37345021512473553,0.001620534102338022,-0.3711301227102617,1.9458851838889994,0.8487405795450981
