statistic,rho,rho_weighted,p_permutation
d_w,0.27715439519873136,0.33544313328799275,0.000999000999000999
d_E,0.46358006068083735,0.4494725321756768,0.000999000999000999
dxi_w,0.30115493852055375,0.36020449892007783,0.000999000999000999
dxi_E,0.4418945792038069,0.4210758122928515,0.000999000999000999
dchi_w,-0.03256248445900071,-0.039687106256832194,0.001998001998001998
dchi_E,0.015006249343560374,0.014615956548040654,0.15084915084915085
dxi_given_dchi_w,0.3058222047092617,,0.000999000999000999
dxi_given_dchi_E,0.4425329719733076,,0.000999000999000999
dchi_given_dxi_w,-0.06459483094993909,,0.000999000999000999
dchi_given_dxi_E,-0.030440879101349964,,0.003996003996003996
dxi_fit_w,0.6839210541685322,,
dxi_res_w,0.04273221347742407,,
dxi_fit_E,0.7704988798136465,,
dxi_res_E,0.08186113726625685,,
