descriptor,spearman_rho_chi,p_value,n
Depth Perception,0.16644233559584334,7.068550094092604e-07,878
Dynamic Flexibility,0.16550076410074496,8.180120704404722e-07,878
Reaction Time,0.1649026598429496,8.971538160683658e-07,878
Trunk Strength,0.16214422332154266,1.3676972408131379e-06,878
Rate Control,0.1589423508052376,2.211817715083645e-06,878
Sound Localization,0.15287869549638883,5.357501127638313e-06,878
Static Strength,0.15193732229997461,6.127877937233338e-06,878
Extent Flexibility,0.14939114269539513,8.777735995631882e-06,878
Peripheral Vision,0.1391145242718467,3.528466138081775e-05,878
Multilimb Coordination,0.13868239815124012,3.7333145843959186e-05,878
Glare Sensitivity,0.12999918661012766,0.00011203508836879077,878
Night Vision,0.12768039170711398,0.00014856718616004688,878
Speed of Limb Movement,0.12668293167329026,0.00016750132152999937,878
Stamina,0.12582288616282877,0.00018562368275632218,878
Hearing Sensitivity,0.12571511608947744,0.00018802006949487546,878
Auditory Attention,0.11907820704090477,0.00040627231417636684,878
Gross Body Coordination,0.11872653642176635,0.00042275083112016385,878
Gross Body Equilibrium,0.11810926039572793,0.0004531905561144478,878
Explosive Strength,0.11546310616962155,0.0006082885484153736,878
Control Precision,0.11496295545848176,0.0006426527171417828,878
Response Orientation,0.11350820020780074,0.0007531218699290871,878
Visualization,0.10663420123516751,0.0015550488150878874,878
Spatial Orientation,0.10623506989791306,0.0016199077536494379,878
Dynamic Strength,0.09221460063750128,0.0062503169645509535,878
Wrist-Finger Speed,0.08346722753281742,0.013360311611320563,878
Manual Dexterity,0.08337836369574665,0.013459482012908879,878
Finger Dexterity,0.05592814951965626,0.09769223231650453,878
Arm-Hand Steadiness,0.04562479993198262,0.1767951294725368,878
Visual Color Discrimination,-0.03700020665533877,0.2734427629588856,878
Selective Attention,-0.03882828055804446,0.25042502126504573,878
Perceptual Speed,-0.042609878371188646,0.20718268203221968,878
Mathematical Reasoning,-0.06485554199469576,0.054728712068034945,878
Far Vision,-0.06862140563690358,0.042070185537314786,878
Information Ordering,-0.06957864259301981,0.03927913562618852,878
Memorization,-0.08104128228793135,0.016311498598198065,878
Inductive Reasoning,-0.08338955105150267,0.013446961504381323,878
Written Expression,-0.08775157741447139,0.0092820240669027,878
Category Flexibility,-0.08850648367504838,0.008691498196512593,878
Originality,-0.08928194983410434,0.008120016748214479,878
Written Comprehension,-0.08997857965873492,0.007635518184378998,878
Fluency of Ideas,-0.10042953889079792,0.0028906847755612486,878
Deductive Reasoning,-0.10475655413557067,0.0018824232399664634,878
Number Facility,-0.11977443100194897,0.00037540078377915824,878
Oral Comprehension,-0.12452707320994659,0.00021643351399595968,878
Time Sharing,-0.13048833960376033,0.000105496061235796,878
Oral Expression,-0.1324649944099286,8.255890113504957e-05,878
Problem Sensitivity,-0.14241647462331417,2.2799573470533528e-05,878
Speech Clarity,-0.14291346370351873,2.1331163761002415e-05,878
Flexibility of Closure,-0.15194866091641723,6.117998884353727e-06,878
Near Vision,-0.16817935102793946,5.387443280033626e-07,878
Speed of Closure,-0.21308965938450244,1.7885948985146338e-10,878
Speech Recognition,-0.2440475840951132,2.2634849699277376e-13,878
