descriptor,spearman_rho_chi,p_value,n
Installation,0.2695011262616467,4.472586642878768e-16,878
Repairing,0.22111360313449527,3.4804059838567816e-11,878
Equipment Maintenance,0.21736381845917177,7.538659589163183e-11,878
Troubleshooting,0.17331342918921983,2.3750263484701985e-07,878
Equipment Selection,0.1640813414522621,1.0179093016468494e-06,878
Operations Monitoring,0.1514359658999255,6.580256212328474e-06,878
Operation and Control,0.15076017409648879,7.240717392704061e-06,878
Quality Control Analysis,0.13431814200545647,6.54012484996153e-05,878
Science,0.11238775903391854,0.0008499344863093017,878
Operations Analysis,0.021630589221183983,0.5221081181838891,878
Technology Design,0.0004690165135666626,0.9889275841050988,878
Mathematics,-0.031300103933188134,0.3542583491646521,878
Systems Evaluation,-0.03900586945257501,0.2482631642898364,878
Complex Problem Solving,-0.04110521720436528,0.2236915650158886,878
Systems Analysis,-0.043070733475383365,0.2023073900789689,878
Learning Strategies,-0.051201045055936055,0.1295257923184025,878
Instructing,-0.06444347357246008,0.056288831142706365,878
Judgment and Decision Making,-0.08345515375258097,0.013373747767966961,878
Programming,-0.08585787809906881,0.010923486925183459,878
Monitoring,-0.09095258344246059,0.007001482760842948,878
Active Learning,-0.09452568192171043,0.0050600624924885835,878
Writing,-0.10204492611422544,0.002467506162184606,878
Critical Thinking,-0.11488036967404343,0.0006484974558184524,878
Reading Comprehension,-0.11646113906938879,0.0005447598569997851,878
Speaking,-0.14228590592499185,2.320099509924352e-05,878
Time Management,-0.15093365166276446,7.065380945893311e-06,878
Management of Material Resources,-0.15228694953077718,5.830158048669986e-06,878
Management of Personnel Resources,-0.15635267572834696,3.2405409879288172e-06,878
Active Listening,-0.16180727865616065,1.4392973187031516e-06,878
Coordination,-0.18468615097165217,3.545062070457726e-08,878
Management of Financial Resources,-0.1877377341095676,2.0843225604904935e-08,878
Persuasion,-0.2426775734910038,3.1043034969870004e-13,878
Social Perceptiveness,-0.25079185328430437,4.6463276276962565e-14,878
Negotiation,-0.2584545878546384,7.256146933228817e-15,878
Service Orientation,-0.33869395755524684,5.24470838366344e-25,878
