descriptor,n,var_total,R2_xi,R2_chi_given_xi,R2_chi_of_total,R2_residual
Arm-Hand Steadiness,878,1.4405397714831285,0.41415515813917303,0.06780674463114439,0.03821797856268703,0.5476268632981399
Visual Color Discrimination,878,0.4935205235807203,0.29936953110308845,0.051345795177422326,0.03430384255498441,0.6663266263419272
Manual Dexterity,878,1.4297943747697446,0.48352036877625426,0.06838123947410504,0.03409670556565398,0.48238292565809177
Selective Attention,878,0.11122553185693308,0.09601438979477267,0.03665284968395903,0.03214918049965905,0.8718364297055682
Finger Dexterity,878,0.9156275263204321,0.4051755207296885,0.052854813145564984,0.03032257780173136,0.5645019014685801
Control Precision,878,1.620372111108805,0.5364656242568356,0.058190168192897095,0.026179249131426014,0.43735512661173837
Perceptual Speed,878,0.23062094491518828,0.2437470211082244,0.03627460218392722,0.02545373627253577,0.7307992426192398
Flexibility of Closure,878,0.28436596582624624,0.33008996104666477,0.03782575161666366,0.023494332416733793,0.6464157065366014
Wrist-Finger Speed,878,0.5883248779323478,0.43887243274715737,0.03886077743781134,0.021392911916050455,0.5397346553367922
Near Vision,878,0.17153439116650496,0.2178126013161153,0.02685084377777243,0.020204304383043145,0.7619830943008417
Speech Clarity,878,0.40333372491840547,0.5726530547526697,0.04442335383196426,0.018515169576675216,0.4088317756706551
Far Vision,878,0.19737596058550963,0.060170516166739074,0.018052728377991486,0.016681718300074626,0.9231477655331863
Speed of Closure,878,0.2883248462803742,0.3156369920023497,0.022580495485330785,0.014758147062327462,0.6696048609353229
Time Sharing,878,0.16779785142771156,0.031055134705710797,0.015604912153645931,0.014710132475782615,0.9542347328185067
Rate Control,878,1.2340607619304589,0.6057616831339063,0.033223503957139994,0.01287062639076241,0.38136769047533126
Response Orientation,878,1.272279016298172,0.45721244934903965,0.024078232635673588,0.012805577303999791,0.5299819733469605
Multilimb Coordination,878,1.66571521474048,0.49509253871702935,0.025542010667541096,0.012618426851262512,0.4922890344317082
Originality,878,0.5901336382646416,0.5169677265728435,0.025547023205779264,0.011941344574825706,0.4710909288523308
Fluency of Ideas,878,0.5640672190627902,0.561825158142537,0.02638824809680073,0.01109301907645305,0.42708182278101
Depth Perception,878,0.9077231676880049,0.4862936169409435,0.02125933150745655,0.010729734045844664,0.5029766490132118
Oral Expression,878,0.47564786816174676,0.6390302570370648,0.029054146142895556,0.010286662428023209,0.35068308053491193
Reaction Time,878,1.6713932048142133,0.5739126407469485,0.02325565520822282,0.009711692648132037,0.4163756666049195
Visualization,878,0.4747645047763347,0.34651812797119974,0.01520712923095748,0.00947697135076965,0.6440049006780306
Oral Comprehension,878,0.42662018474893765,0.5865694734695927,0.023548225126415592,0.009332713250470217,0.40409781327993716
Written Comprehension,878,0.6536687072244333,0.6553195162307667,0.025802800576435327,0.00845096596643975,0.3362295178027936
Dynamic Strength,878,0.9584031553385465,0.456721099951413,0.015785261277992103,0.008398379004551738,0.5348805210440352
Spatial Orientation,878,0.8435743572314383,0.2708641913515534,0.01029933192009718,0.007378397087149965,0.7217574115612967
Night Vision,878,0.4887703504029141,0.277738681505425,0.009414418910680565,0.006688478508636645,0.7155728399859383
Mathematical Reasoning,878,0.8312559587434686,0.4562795729698579,0.012758388452670402,0.006564961774789704,0.5371554652553524
Auditory Attention,878,0.4221939473383804,0.3090926395400614,0.009321205728513032,0.0062239624393212655,0.6846833980206174
Written Expression,878,0.8501714505684383,0.6940739450545484,0.021094203969144083,0.006094656471626213,0.29983139847382534
Speech Recognition,878,0.2649641953912651,0.569320639252127,0.013182308917752033,0.005601444422270288,0.42507791632560277
Inductive Reasoning,878,0.5348506048899704,0.5847210295269718,0.014614132656062474,0.0055579252322979986,0.4097210452407302
Glare Sensitivity,878,0.7902597028865563,0.35560804214690606,0.008101365378966415,0.005113438220791207,0.6392785196323026
Peripheral Vision,878,0.6156912765085278,0.30106860744997993,0.006209523206314236,0.004273252758038089,0.6946581397919819
Explosive Strength,878,0.4532463758490253,0.1942214174594823,0.0053367122375706675,0.004244029805861242,0.8015345527346565
Memorization,878,0.26732167550500463,0.4072579408585985,0.007303959511959914,0.004194969623067767,0.5885470895183337
Sound Localization,878,0.573194390855174,0.3480175313940037,0.0059058644249124536,0.0037597205439386075,0.6482227480620577
Deductive Reasoning,878,0.48103932381525627,0.6169482623701202,0.010313045770976198,0.0036536282483217806,0.379398109381558
Problem Sensitivity,878,0.43344615130162256,0.48402027447872625,0.007661403934657653,0.003652250051406794,0.5123274754698669
Category Flexibility,878,0.2619939331987692,0.46870511205200127,0.0072248157871990055,0.003603659364939846,0.5276912285830588
Hearing Sensitivity,878,0.4592811070148038,0.29071259916316755,0.005209264994862191,0.0035401924261440933,0.7057472084106883
Static Strength,878,1.6597844750961235,0.48594287017023435,0.006910468442099267,0.0034729418132452734,0.5105841880165203
Extent Flexibility,878,1.7062876968519258,0.49569190529525475,0.006556487299047467,0.003230567593186252,0.501077527111559
Speed of Limb Movement,878,0.7089326457677161,0.4102326309432062,0.0053877009848784865,0.0031355228318210872,0.5866318462249727
Gross Body Coordination,878,1.0886926568718511,0.3769000504056757,0.0043822199503728825,0.002684489176647344,0.620415460417677
Number Facility,878,0.6304016500537046,0.3895632282604259,0.003995410286721993,0.0023406252700864908,0.6080961464694876
Stamina,878,1.132977422932633,0.38491036660553346,0.0038750897942251817,0.0023395051148646932,0.6127501282796018
Dynamic Flexibility,878,0.13960839192407679,0.14043373585643706,0.002623986479041621,0.002211494504574428,0.8573547696389885
Gross Body Equilibrium,878,0.9322441115654235,0.3743977602111083,0.0035959439249718572,0.0022025440062368347,0.6233996957826548
Information Ordering,878,0.2516585136025654,0.4983525530880753,0.0020509944968431955,0.0009507191051699313,0.5006967278067548
Trunk Strength,878,0.7512377602855942,0.4337813154115648,0.0012393013561872348,0.000685317575104012,0.5655333670133311
