descriptor,n,var_total,R2_xi,R2_chi_given_xi,R2_chi_of_total,R2_residual
Science,878,1.9675250695305646,0.38856418149023103,0.06585530824311102,0.037772556234418254,0.5736632622753508
Learning Strategies,878,0.6100294727870861,0.5412658784751229,0.05171280257514022,0.022553609676748097,0.43618051184812906
Service Orientation,878,0.399705026956066,0.5537054200975569,0.041849224676048236,0.01781631679233198,0.42847826311011117
Coordination,878,0.25752810137452586,0.3063060151702369,0.02209593568501718,0.014992619889559794,0.6787013649402033
Instructing,878,0.5605467962754448,0.47850710606026176,0.026561978063045673,0.013244373000124928,0.5082485209396134
Management of Material Resources,878,0.654086273940048,0.14529721336188678,0.014888809792527777,0.012569667186658542,0.8421331194514546
Operation and Control,878,1.5184784508434475,0.5566405537787891,0.025043725666632974,0.010610549538972206,0.4327488966822387
Time Management,878,0.24690209370021945,0.40687857637609204,0.01834052927058339,0.010556694761766568,0.5825647288621414
Complex Problem Solving,878,0.4631278751407475,0.5591093139247344,0.024347790696650284,0.009937414568452804,0.4309532715068128
Installation,878,0.6097495664717391,0.2777220686283868,0.015070094913791946,0.009920880927198486,0.7123570504444148
Operations Analysis,878,1.1799475330918787,0.3557338733730634,0.01427961657570219,0.008857124287863574,0.635409002339073
Negotiation,878,0.4451882027646183,0.4984714532542935,0.01752332762879708,0.008662053597384055,0.4928664931483224
Mathematics,878,0.8096288096522952,0.3989244246860376,0.01518081122044189,0.008643321278643137,0.5924322540353193
Persuasion,878,0.4777343766377302,0.5460656580331831,0.019530566843602448,0.00861358648977498,0.4453207554770419
Management of Personnel Resources,878,0.47494061843286417,0.3225616079768441,0.012693765901660752,0.008441693136181958,0.668996698886974
Management of Financial Resources,878,0.830515511153429,0.18563199744955766,0.009294507975135303,0.007464563651491131,0.8069034388989511
Writing,878,0.7345332876282294,0.6772755732094522,0.023086162342827638,0.007101050631523853,0.31562337615902397
Active Learning,878,0.6162500620067352,0.6142716614611924,0.018110517122419567,0.006601957829981537,0.3791263807088261
Social Perceptiveness,878,0.457974452835965,0.6123835362097275,0.017290823377456657,0.006279141089863444,0.38133732270040904
Systems Evaluation,878,0.7469907162426513,0.5650662464178309,0.013792979270634855,0.005556237038361101,0.429377516543808
Operations Monitoring,878,1.0014477036752611,0.513816221934792,0.012095373155002254,0.005522826068927472,0.4806609519962805
Quality Control Analysis,878,0.9944539382060077,0.48622844718199537,0.011152762450197912,0.005340332120406228,0.5084312206975985
Judgment and Decision Making,878,0.45728640262348164,0.6001743986735961,0.012927058452356229,0.004762685461869634,0.39506291586453424
Monitoring,878,0.3271544410053912,0.4834178223834997,0.009040227521710206,0.004437193820645388,0.5121449837958549
Equipment Maintenance,878,1.5182345614904444,0.6129222253780137,0.012465426234742272,0.004370496948432075,0.3827072776735543
Systems Analysis,878,0.6724445742809555,0.5587585040645041,0.010655242587866418,0.004335384527772545,0.43690611140772334
Speaking,878,0.5195217393278366,0.7027629688073848,0.01449042041582794,0.004168926273917295,0.29306810491869795
Reading Comprehension,878,0.71908457822448,0.6553731518859751,0.012537869490624578,0.004106329414722468,0.34052051869930244
Equipment Selection,878,1.062405622635831,0.5588364638142678,0.01006299485730667,0.004098367445497619,0.4370651687402346
Programming,878,0.6714531292645846,0.39136494008664746,0.006393342380878037,0.003605668426515606,0.605029391486837
Critical Thinking,878,0.4182402530082347,0.6192600479738907,0.008864316142813439,0.0031698944779166554,0.3775700575481927
Troubleshooting,878,1.3122128699000108,0.5822967398620437,0.007025929640655954,0.002638577283516011,0.4150646828544403
Repairing,878,1.532983825452338,0.6000280958970908,0.007255523085220521,0.0026149256837331054,0.39735697841917605
Active Listening,878,0.41665861647147956,0.6788731751649466,0.008114782926208743,0.002502008903706125,0.3186248159313473
Technology Design,878,0.5298589646431889,0.2861126517674629,0.0034893322767104175,0.002389680383021742,0.7114976678495153
