chi_quartile,rank,descriptor,mean_value,n_occ_in_quartile
Q1_inner,1,Oral Comprehension,3.985181818181818,220
Q1_inner,2,Oral Expression,3.9309999999999996,220
Q1_inner,3,Near Vision,3.6983181818181823,220
Q1_inner,4,Written Comprehension,3.6789545454545456,220
Q1_inner,5,Problem Sensitivity,3.6174090909090912,220
Q1_inner,6,Deductive Reasoning,3.581318181818182,220
Q1_inner,7,Written Expression,3.4539999999999993,220
Q1_inner,8,Inductive Reasoning,3.426545454545454,220
Q1_inner,9,Speech Recognition,3.4018636363636365,220
Q1_inner,10,Information Ordering,3.3659545454545454,220
Q2,1,Oral Comprehension,4.045753424657534,219
Q2,2,Oral Expression,4.008995433789955,219
Q2,3,Written Comprehension,3.7918264840182645,219
Q2,4,Near Vision,3.691735159817352,219
Q2,5,Deductive Reasoning,3.6574429223744294,219
Q2,6,Problem Sensitivity,3.65593607305936,219
Q2,7,Inductive Reasoning,3.5643835616438357,219
Q2,8,Written Expression,3.5412328767123284,219
Q2,9,Information Ordering,3.4170319634703192,219
Q2,10,Speech Recognition,3.388904109589041,219
Q3,1,Oral Comprehension,3.9990867579908675,219
Q3,2,Oral Expression,3.9181278538812783,219
Q3,3,Written Comprehension,3.741598173515982,219
Q3,4,Problem Sensitivity,3.6985388127853884,219
Q3,5,Deductive Reasoning,3.6757534246575343,219
Q3,6,Near Vision,3.6562557077625573,219
Q3,7,Inductive Reasoning,3.576575342465753,219
Q3,8,Information Ordering,3.463698630136986,219
Q3,9,Written Expression,3.46310502283105,219
Q3,10,Category Flexibility,3.322465753424657,219
Q4_outer,1,Oral Comprehension,3.837136363636364,220
Q4_outer,2,Oral Expression,3.749545454545455,220
Q4_outer,3,Near Vision,3.5399090909090907,220
Q4_outer,4,Written Comprehension,3.538818181818182,220
Q4_outer,5,Deductive Reasoning,3.429590909090909,220
Q4_outer,6,Problem Sensitivity,3.368227272727273,220
Q4_outer,7,Inductive Reasoning,3.343,220
Q4_outer,8,Information Ordering,3.2843181818181817,220
Q4_outer,9,Speech Clarity,3.274636363636364,220
Q4_outer,10,Written Expression,3.241818181818182,220
