chi_quartile,rank,descriptor,mean_value,n_occ_in_quartile
Q1_inner,1,Reading Comprehension,3.707818181818182,220
Q1_inner,2,Active Listening,3.6540000000000004,220
Q1_inner,3,Critical Thinking,3.609272727272727,220
Q1_inner,4,Speaking,3.5690000000000004,220
Q1_inner,5,Monitoring,3.4110000000000005,220
Q1_inner,6,Writing,3.3225000000000002,220
Q1_inner,7,Social Perceptiveness,3.2320909090909087,220
Q1_inner,8,Active Learning,3.221863636363637,220
Q1_inner,9,Coordination,3.2186363636363637,220
Q1_inner,10,Judgment and Decision Making,3.1641363636363637,220
Q2,1,Reading Comprehension,3.759041095890411,219
Q2,2,Critical Thinking,3.7015068493150687,219
Q2,3,Active Listening,3.687899543378996,219
Q2,4,Speaking,3.58392694063927,219
Q2,5,Writing,3.434611872146119,219
Q2,6,Monitoring,3.41337899543379,219
Q2,7,Judgment and Decision Making,3.2804109589041093,219
Q2,8,Active Learning,3.263150684931506,219
Q2,9,Social Perceptiveness,3.2442922374429224,219
Q2,10,Coordination,3.2078538812785387,219
Q3,1,Reading Comprehension,3.668538812785388,219
Q3,2,Critical Thinking,3.6133789954337896,219
Q3,3,Active Listening,3.514155251141552,219
Q3,4,Speaking,3.4300456621004565,219
Q3,5,Monitoring,3.393607305936073,219
Q3,6,Writing,3.334931506849315,219
Q3,7,Judgment and Decision Making,3.2851598173515986,219
Q3,8,Complex Problem Solving,3.2803652968036525,219
Q3,9,Active Learning,3.266027397260274,219
Q3,10,Coordination,3.174611872146119,219
Q4_outer,1,Reading Comprehension,3.4736363636363636,220
Q4_outer,2,Critical Thinking,3.393090909090909,220
Q4_outer,3,Active Listening,3.366636363636364,220
Q4_outer,4,Speaking,3.3027727272727274,220
Q4_outer,5,Monitoring,3.2947272727272723,220
Q4_outer,6,Writing,3.146409090909091,220
Q4_outer,7,Judgment and Decision Making,3.078590909090909,220
Q4_outer,8,Complex Problem Solving,3.0621818181818186,220
Q4_outer,9,Active Learning,3.0486363636363634,220
Q4_outer,10,Coordination,2.9805,220
