onet_code,title,xi,chi,zone
29-2034.00,Radiologic Technologists and Technicians,2.8487977532501456,0.0161313381140021,inner
25-4013.00,Museum Technicians and Conservators,4.681588557670623,0.0164916091771367,inner
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",4.641959170332977,0.0174099897018997,inner
27-1027.00,Set and Exhibit Designers,1.717758568143788,0.0234126026997699,inner
27-1014.00,Special Effects Artists and Animators,2.3133167979615816,0.0248290137984288,inner
43-9081.00,Proofreaders and Copy Markers,2.061807224220217,0.0306810994759648,inner
33-2022.00,Forest Fire Inspectors and Prevention Specialists,1.6904834231146215,0.0335528811591149,inner
27-1024.00,Graphic Designers,0.4260058717633774,0.0346426435413996,inner
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",4.164388764920808,0.0411553157415515,inner
27-1022.00,Fashion Designers,1.399768483212126,0.0450264078337424,inner
53-2012.00,Commercial Pilots,2.6512360768611902,0.050530180662582,inner
29-2057.00,Ophthalmic Medical Technicians,2.214630870223624,0.050942921688681,inner
29-1021.00,"Dentists, General",5.561410096790552,0.052422296366377,inner
29-1124.00,Radiation Therapists,5.816872187271012,0.0525431329059883,inner
31-9097.00,Phlebotomists,1.333731703511098,0.0546348237898542,inner
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",3.654688047987863,0.0554824731946279,inner
29-2091.00,Orthotists and Prosthetists,1.630399058334691,0.0579178231976529,inner
29-2032.00,Diagnostic Medical Sonographers,0.4174583311862248,0.0596825898812579,inner
43-5061.00,"Production, Planning, and Expediting Clerks",2.7156415103540947,0.0605765214059183,inner
53-1042.01,Recycling Coordinators,6.154726482163401,0.0640906329304567,inner
49-9044.00,Millwrights,3.2271172542110507,0.752169330528033,outer
51-2041.00,Structural Metal Fabricators and Fitters,3.314632207138791,0.7177397047514719,outer
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",3.3318064582933213,0.7119278519598381,outer
49-9043.00,"Maintenance Workers, Machinery",3.2310237981827234,0.7060798996489985,outer
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3.2959435823257466,0.6993911195419809,outer
51-4071.00,Foundry Mold and Coremakers,3.504140443488171,0.6956128792178615,outer
51-4194.00,"Tool Grinders, Filers, and Sharpeners",3.230145564285253,0.6942227256682668,outer
53-7041.00,Hoist and Winch Operators,3.5018252965143244,0.6940210599337947,outer
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",3.348996694141618,0.691636407936056,outer
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",3.3725303798504207,0.6893285794413259,outer
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",3.2894647335417133,0.6805522759602638,outer
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",3.28094603003309,0.6770247333543462,outer
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3.2750406101199525,0.6758361513575136,outer
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3.25832519138028,0.6742349698044067,outer
51-9022.00,"Grinding and Polishing Workers, Hand",3.321039562883123,0.6725827090348668,outer
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3.3069311701640043,0.6685115797183953,outer
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",3.2707950474617444,0.6663808357651406,outer
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,2.17037895459037,0.6663788422262676,outer
51-2031.00,Engine and Other Machine Assemblers,3.096599106283386,0.6644706632947412,outer
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",3.205242240272683,0.6642009354016665,outer
