n_sectors,sector,metric,group,rho,p,n,sector_center_deg
4,0,norm_v,(i) intensification,0.09642861650130981,0.13884596358522364,237,45.0
4,1,norm_v,(i) intensification,0.28918596991902445,0.00022851807985724336,158,135.0
4,2,norm_v,(i) intensification,0.11030230883694137,0.08175242847340806,250,225.0
4,3,norm_v,(i) intensification,-0.017507010773253187,0.790380849521646,233,315.0
4,0,norm_v_minus_global,(i) intensification,0.34450446129964535,5.236884367752837e-08,237,45.0
4,1,norm_v_minus_global,(i) intensification,0.44261507030405,5.779126768309815e-09,158,135.0
4,2,norm_v_minus_global,(i) intensification,0.3515042480679691,1.1082380050476439e-08,250,225.0
4,3,norm_v_minus_global,(i) intensification,0.23160312382600384,0.00036406777610092694,233,315.0
4,0,gini_v,(ii) focusing (raw),0.36178264483223027,9.717471981413382e-09,237,45.0
4,1,gini_v,(ii) focusing (raw),-0.2751631908896052,0.0004668696221698232,158,135.0
4,2,gini_v,(ii) focusing (raw),-0.2961405462487399,1.8766873211596094e-06,250,225.0
4,3,gini_v,(ii) focusing (raw),0.4656642873677061,6.090117794609571e-14,233,315.0
4,0,gini_resid_abs,(ii) focusing (resid),0.02840033245651833,0.663566994718544,237,45.0
4,1,gini_resid_abs,(ii) focusing (resid),0.036991963295550837,0.6444774722755808,158,135.0
4,2,gini_resid_abs,(ii) focusing (resid),0.14377842845485528,0.022979805063974155,250,225.0
4,3,gini_resid_abs,(ii) focusing (resid),-0.17610701912167062,0.007043227166302845,233,315.0
4,0,participation_v,(ii) focusing (raw),-0.35775494493012827,1.4521519675217522e-08,237,45.0
4,1,participation_v,(ii) focusing (raw),0.26867054379722494,0.0006418123725972054,158,135.0
4,2,participation_v,(ii) focusing (raw),0.30071559544952714,1.2758725799086064e-06,250,225.0
4,3,participation_v,(ii) focusing (raw),-0.46107265779457585,1.1496831369945402e-13,233,315.0
4,0,participation_resid_abs,(ii) focusing (resid),-0.05628052551207138,0.3883955652443706,237,45.0
4,1,participation_resid_abs,(ii) focusing (resid),-0.0574039451806395,0.4737332544501101,158,135.0
4,2,participation_resid_abs,(ii) focusing (resid),-0.14529218067489078,0.021563767632151107,250,225.0
4,3,participation_resid_abs,(ii) focusing (resid),0.16850331849591876,0.009974577158578843,233,315.0
4,0,dist_to_xi_centroid,(iii) rare blend,-0.2953228920832439,3.7280430395325018e-06,237,45.0
4,1,dist_to_xi_centroid,(iii) rare blend,-0.25063169440138494,0.0014920308473691567,158,135.0
4,2,dist_to_xi_centroid,(iii) rare blend,-0.4677751644026304,5.368118440566794e-15,250,225.0
4,3,dist_to_xi_centroid,(iii) rare blend,-0.3901120585299955,6.875077512997099e-10,233,315.0
4,0,cos_dist_to_xi_centroid,(iii) rare blend,-0.3223944802121664,3.914618685705227e-07,237,45.0
4,1,cos_dist_to_xi_centroid,(iii) rare blend,-0.3688076074108668,1.8587090089267535e-06,158,135.0
4,2,cos_dist_to_xi_centroid,(iii) rare blend,-0.47923851581625304,9.247744911314768e-16,250,225.0
4,3,cos_dist_to_xi_centroid,(iii) rare blend,-0.3307282476292392,2.3744288110627535e-07,233,315.0
4,0,mean_level,baseline,-0.1479828480162732,0.022685956518777747,237,45.0
4,1,mean_level,baseline,0.27568366424112933,0.00045495466563761554,158,135.0
4,2,mean_level,baseline,0.19121293425853805,0.002395368144296369,250,225.0
4,3,mean_level,baseline,-0.2744453398969943,2.151505521067493e-05,233,315.0
6,0,norm_v,(i) intensification,0.014018553095640318,0.85946590691135,162,29.999999999999996
6,1,norm_v,(i) intensification,0.34862542182227224,6.319136829543262e-05,126,90.0
6,2,norm_v,(i) intensification,0.2557456063010639,0.007843113874881322,107,149.99999999999997
6,3,norm_v,(i) intensification,-0.06288519312449697,0.3812320551081938,196,210.0
6,4,norm_v,(i) intensification,-0.4510263321584076,1.3756738201971888e-06,105,270.0
6,5,norm_v,(i) intensification,-0.009342799216904823,0.9003845599836888,182,330.0
6,0,norm_v_minus_global,(i) intensification,0.3718423678413008,1.1048729053623923e-06,162,29.999999999999996
6,1,norm_v_minus_global,(i) intensification,0.3789996250468692,1.2072873164961334e-05,126,90.0
6,2,norm_v_minus_global,(i) intensification,0.4037304806128647,1.6163288469759047e-05,107,149.99999999999997
6,3,norm_v_minus_global,(i) intensification,0.15550207587916073,0.029528329991551906,196,210.0
6,4,norm_v_minus_global,(i) intensification,0.051513580758863774,0.6017503102590243,105,270.0
6,5,norm_v_minus_global,(i) intensification,0.3063297539341376,2.602796230766651e-05,182,330.0
6,0,gini_v,(ii) focusing (raw),0.4093183226285387,6.363719124200857e-08,162,29.999999999999996
6,1,gini_v,(ii) focusing (raw),0.22898237720284964,0.009906773164797074,126,90.0
6,2,gini_v,(ii) focusing (raw),-0.3153079018005839,0.0009394140221702684,107,149.99999999999997
6,3,gini_v,(ii) focusing (raw),-0.10633441974993825,0.1379765130522498,196,210.0
6,4,gini_v,(ii) focusing (raw),-0.058210657267261046,0.5552965405499671,105,270.0
6,5,gini_v,(ii) focusing (raw),0.5354020130761368,6.858345520284465e-15,182,330.0
6,0,gini_resid_abs,(ii) focusing (resid),0.06025874977595437,0.44622586240364254,162,29.999999999999996
6,1,gini_resid_abs,(ii) focusing (resid),-0.039088113985751786,0.6638844995410984,126,90.0
6,2,gini_resid_abs,(ii) focusing (resid),0.03892121710848567,0.690610810866137,107,149.99999999999997
6,3,gini_resid_abs,(ii) focusing (resid),0.05990485221812271,0.40425118315109737,196,210.0
6,4,gini_resid_abs,(ii) focusing (resid),-0.006531204644412192,0.9472787002582692,105,270.0
6,5,gini_resid_abs,(ii) focusing (resid),-0.20729030954554004,0.0049882006098263066,182,330.0
6,0,participation_v,(ii) focusing (raw),-0.4060384356463311,8.287301689359543e-08,162,29.999999999999996
6,1,participation_v,(ii) focusing (raw),-0.22621072365954256,0.010865081635782257,126,90.0
6,2,participation_v,(ii) focusing (raw),0.3052959501557633,0.0013856857539366464,107,149.99999999999997
6,3,participation_v,(ii) focusing (raw),0.10908207093848864,0.12802765430083327,196,210.0
6,4,participation_v,(ii) focusing (raw),0.06608957080655194,0.5029579700441857,105,270.0
6,5,participation_v,(ii) focusing (raw),-0.5316557367096267,1.1417809959841532e-14,182,330.0
6,0,participation_resid_abs,(ii) focusing (resid),-0.07644084277853283,0.3336367498556674,162,29.999999999999996
