n_sectors,sector,metric,group,rho,p,n,sector_center_deg
4,0,norm_v,(i) intensification,0.43238999096742325,3.239763538848616e-12,237,45.0
4,1,norm_v,(i) intensification,0.012162304007399306,0.879447617352591,158,135.0
4,2,norm_v,(i) intensification,-0.15889444631114097,0.01187780288775137,250,225.0
4,3,norm_v,(i) intensification,0.31730342323060984,7.584028318712372e-07,233,315.0
4,0,norm_v_minus_global,(i) intensification,0.49623191907099684,3.8841216268747485e-16,237,45.0
4,1,norm_v_minus_global,(i) intensification,0.543041169284972,1.6879647517728924e-13,158,135.0
4,2,norm_v_minus_global,(i) intensification,0.578730667690683,9.419635797843362e-24,250,225.0
4,3,norm_v_minus_global,(i) intensification,0.38772896483418906,8.899304493001734e-10,233,315.0
4,0,gini_v,(ii) focusing (raw),0.14384063000870806,0.026813808907204167,237,45.0
4,1,gini_v,(ii) focusing (raw),-0.27047169050701364,0.0005880405646229045,158,135.0
4,2,gini_v,(ii) focusing (raw),-0.22109652954447268,0.0004282869113314422,250,225.0
4,3,gini_v,(ii) focusing (raw),0.2871172535224629,8.459817004859548e-06,233,315.0
4,0,gini_resid_abs,(ii) focusing (resid),0.05084114744374471,0.4359471183552362,237,45.0
4,1,gini_resid_abs,(ii) focusing (resid),0.12919728793551163,0.10568892219250714,158,135.0
4,2,gini_resid_abs,(ii) focusing (resid),0.04616022656362501,0.4674790128384722,250,225.0
4,3,gini_resid_abs,(ii) focusing (resid),0.15082174990418293,0.021278725209268358,233,315.0
4,0,participation_v,(ii) focusing (raw),-0.1461077887494839,0.024481105004342116,237,45.0
4,1,participation_v,(ii) focusing (raw),0.30519852926635216,9.648198867285013e-05,158,135.0
4,2,participation_v,(ii) focusing (raw),0.23362741803868858,0.00019364048142783919,250,225.0
4,3,participation_v,(ii) focusing (raw),-0.28213192017395067,1.2280317996864293e-05,233,315.0
4,0,participation_resid_abs,(ii) focusing (resid),-0.04949617693033016,0.44819942816209724,237,45.0
4,1,participation_resid_abs,(ii) focusing (resid),-0.10988059796853775,0.16932497255477433,158,135.0
4,2,participation_resid_abs,(ii) focusing (resid),-0.03487198195171123,0.58315770031069,250,225.0
4,3,participation_resid_abs,(ii) focusing (resid),-0.18188450343992743,0.005358052467881107,233,315.0
4,0,dist_to_xi_centroid,(iii) rare blend,-0.2687137502501537,2.761550362935497e-05,237,45.0
