descriptor,n,R2_xi,R2_chi_of_total,R2_residual
Written Expression,878,0.6940638043264667,0.00482225759097547,0.30111393808255776
Written Comprehension,878,0.6553119876350219,0.007138110581328227,0.3375499017836499
Oral Expression,878,0.6390257416660637,0.007507135109110736,0.35346712322482554
Deductive Reasoning,878,0.6169314713601484,0.00256928643760263,0.380499242202249
Rate Control,878,0.6057607671504682,0.014595523458490942,0.3796437093910408
Oral Comprehension,878,0.5865612169286374,0.006987026308234429,0.40645175676312817
Inductive Reasoning,878,0.5847020471142693,0.005854183646887029,0.4094437692388436
Reaction Time,878,0.573911375513617,0.01109881932329783,0.41498980516308515
Speech Clarity,878,0.5726506697535368,0.01282975152276813,0.41451957872369505
Speech Recognition,878,0.5693205318494694,0.005037152955377049,0.42564231519515355
Fluency of Ideas,878,0.5618004086101119,0.010523580279813398,0.4276760111100747
Control Precision,878,0.536461738565256,0.024056954533922724,0.43948130690082127
Originality,878,0.5169339946696963,0.010551642653308348,0.4725143626769954
Information Ordering,878,0.4983318629500969,0.0035352555563176627,0.4981328814935854
Extent Flexibility,878,0.4956841156852958,0.004271404349814265,0.50004447996489
Multilimb Coordination,878,0.49508598181069097,0.016406159440875798,0.4885078587484332
Depth Perception,878,0.4862802925825579,0.01467187161773853,0.4990478357997036
Static Strength,878,0.4859357617538422,0.005016613572673138,0.5090476246734846
Problem Sensitivity,878,0.4840208502475495,0.007252726523324064,0.5087264232291264
Manual Dexterity,878,0.4835191549219706,0.030558532007500305,0.4859223130705291
Category Flexibility,878,0.4686721110138585,0.0024277310713106534,0.5289001579148308
Response Orientation,878,0.4572043259090436,0.013558081593223116,0.5292375924977333
Dynamic Strength,878,0.4567212252010208,0.006411191269315679,0.5368675835296635
Mathematical Reasoning,878,0.4562726597586116,0.0037788631045304385,0.539948477136858
Wrist-Finger Speed,878,0.43887220674470334,0.01610451849411168,0.5450232747611851
Trunk Strength,878,0.43377398739417855,0.001336780785511672,0.5648892318203097
Arm-Hand Steadiness,878,0.4141523490671106,0.03688836889196296,0.5489592820409264
Speed of Limb Movement,878,0.41022945657926724,0.005574579181100757,0.584195964239632
Memorization,878,0.40724904652792154,0.008928422575868787,0.5838225308962097
Finger Dexterity,878,0.40517437503335124,0.02573139151339524,0.5690942334532536
Number Facility,878,0.3895582269786401,0.001804538854977502,0.6086372341663823
Stamina,878,0.3849045312814067,0.002058508871364581,0.6130369598472286
Gross Body Coordination,878,0.3768894370131961,0.002321954548168476,0.6207886084386354
Gross Body Equilibrium,878,0.37438502162278997,0.005542969092807469,0.6200720092844025
Glare Sensitivity,878,0.35559049058723113,0.0069620997339067785,0.637447409678862
Sound Localization,878,0.3480109629480054,0.009500026141491504,0.6424890109105031
Visualization,878,0.3464954196195095,0.010003579702383074,0.6435010006781073
Flexibility of Closure,878,0.3300821889887336,0.01974618638733233,0.6501716246239342
Speed of Closure,878,0.31562627394500076,0.01706594649213732,0.6673077795628619
Auditory Attention,878,0.30909662753643113,0.004755852188787461,0.6861475202747814
Peripheral Vision,878,0.3010544365908511,0.01286592944083888,0.68607963396831
Visual Color Discrimination,878,0.29936320150125423,0.0394673263035334,0.6611694721952124
Hearing Sensitivity,878,0.29071422831823823,0.003916389267031168,0.7053693824147306
Night Vision,878,0.277730299988641,0.01905783760344614,0.7032118624079128
Spatial Orientation,878,0.2708537667775848,0.010111775727967714,0.7190344574944475
Perceptual Speed,878,0.2437521247470438,0.021325522255494597,0.7349223529974617
Near Vision,878,0.21780051321874347,0.022898714601911875,0.7593007721793447
Explosive Strength,878,0.19421471202088136,0.01883254595536309,0.7869527420237555
Dynamic Flexibility,878,0.14042109499310212,0.028554619373164416,0.8310242856337334
Selective Attention,878,0.09601721036534393,0.012327321992024583,0.8916554676426315
Far Vision,878,0.06016771803761455,0.008461598037752966,0.9313706839246325
Time Sharing,878,0.031059264244554824,0.012552621441691765,0.9563881143137534
