descriptor,n,R2_xi,R2_chi_of_total,R2_residual
Speaking,878,0.7027644112452516,0.0018574178662371693,0.29537817088851126
Active Listening,878,0.6788701576959653,0.00155678509712495,0.3195730572069098
Writing,878,0.6772679081237375,0.00570284473160542,0.3170292471446571
Reading Comprehension,878,0.6553617395015875,0.0024610843440799387,0.3421771761543326
Critical Thinking,878,0.6192503159160299,0.0019029828840424075,0.37884670119992775
Active Learning,878,0.6142620461080235,0.005401122746250852,0.38033683114572564
Equipment Maintenance,878,0.6129181221079465,0.006847672862004815,0.3802342050300487
Social Perceptiveness,878,0.612386840514554,0.006692850610635016,0.38092030887481093
Judgment and Decision Making,878,0.6001635012065418,0.0044079481971997896,0.39542855059625837
Repairing,878,0.600033324849628,0.005067296522034812,0.3948993786283372
Troubleshooting,878,0.5822979185292446,0.002450860219768775,0.4152512212509866
Systems Evaluation,878,0.5650563050822166,0.005639047807023059,0.42930464711076033
Complex Problem Solving,878,0.5590881482982812,0.009256054000441187,0.4316557977012776
Equipment Selection,878,0.5588306954388297,0.006629055008146689,0.4345402495530236
Systems Analysis,878,0.5587484411942218,0.005575055800853576,0.43567650300492455
Operation and Control,878,0.5566383015451856,0.01108890737215779,0.43227279108265665
Service Orientation,878,0.5537057110002095,0.02566882324974305,0.42062546575004744
Persuasion,878,0.5460537517704992,0.01397505321494454,0.4399711950145563
Learning Strategies,878,0.5412579301995296,0.015143385853495828,0.44359868394697455
Operations Monitoring,878,0.5138160972612247,0.006797335832227031,0.4793865669065483
Negotiation,878,0.498461342034704,0.014341578589360644,0.4871970793759354
Quality Control Analysis,878,0.4862257198228826,0.007535159884567736,0.5062391202925497
Monitoring,878,0.4834109671216154,0.0034056015284791336,0.5131834313499055
Instructing,878,0.4784970617020998,0.007392715481754882,0.5141102228161453
Time Management,878,0.4068714247276302,0.00970721726615715,0.5834213580062126
Mathematics,878,0.39891725770506864,0.004327432967738969,0.5967553093271925
Programming,878,0.39134851970883,0.008674697001951203,0.5999767832892188
Science,878,0.3885601904547702,0.03431013283304917,0.5771296767121806
Operations Analysis,878,0.3557055100301472,0.006916703450359026,0.6373777865194938
Management of Personnel Resources,878,0.32255587048337364,0.011218394310838129,0.6662257352057882
Coordination,878,0.30630330607442363,0.016775070518230944,0.6769216234073455
Technology Design,878,0.28607290917992434,0.007317937827790454,0.7066091529922852
Installation,878,0.2777421874478001,0.008532842767761957,0.7137249697844379
Management of Financial Resources,878,0.18562268224937115,0.015419550056959797,0.798957767693669
Management of Material Resources,878,0.14528203774620657,0.0195977798988531,0.8351201823549403
