metric,sector,sector_center_deg,rho,p,n
norm_v_minus_global,0,22.5,0.5874050899887514,3.896166007086999e-13,127
norm_v_minus_global,1,67.5,0.3962626513085229,1.8245117393351715e-05,110
norm_v_minus_global,2,112.5,0.5164650537634409,1.4710163026165311e-05,63
norm_v_minus_global,3,157.5,0.5615201567749161,3.22374775873878e-09,95
norm_v_minus_global,4,202.5,0.5037199011476703,4.218870025895642e-13,182
norm_v_minus_global,5,247.49999999999997,0.5321219987021414,3.0105796517903347e-06,68
norm_v_minus_global,6,292.5,0.24635320251758602,0.03435679051455968,74
norm_v_minus_global,7,337.5,0.4649152137568665,6.667725545024868e-10,159
gini_resid_abs,0,22.5,-0.015449240719910011,0.8631286143885781,127
gini_resid_abs,1,67.5,0.13017604760724028,0.17526569173744946,110
gini_resid_abs,2,112.5,-0.051651305683563756,0.6876630888945087,63
gini_resid_abs,3,157.5,0.1301511758118701,0.20871086904680605,95
gini_resid_abs,4,202.5,-0.02037858889593334,0.7848098927509257,182
gini_resid_abs,5,247.49999999999997,-0.17601252051761648,0.15106976635674607,68
gini_resid_abs,6,292.5,-0.010322102924842648,0.9304452194726555,74
gini_resid_abs,7,337.5,0.05176737520898018,0.5169551669530018,159
participation_resid_abs,0,22.5,-0.003737814023247094,0.9667325276586582,127
participation_resid_abs,1,67.5,-0.09998872934652751,0.2986567909210854,110
participation_resid_abs,2,112.5,0.07397273425499233,0.5644981085704929,63
participation_resid_abs,3,157.5,-0.09553471444568869,0.35708226671147986,95
participation_resid_abs,4,202.5,0.051071381295092914,0.49353924328648624,182
participation_resid_abs,5,247.49999999999997,0.18307439783181276,0.13508612723983696,68
participation_resid_abs,6,292.5,0.027649018881895585,0.8151082012611157,74
participation_resid_abs,7,337.5,-0.1067948411750657,0.18029686694668928,159
