Job Family,rle_mean_family,rle_std_family,n_occupations
Legal,8.8458,2.6509,7.0000
"Life, Physical, and Social Science",7.4404,2.0347,57.0000
Healthcare Practitioners and Technical,7.1026,2.1185,82.0000
Educational Instruction and Library,6.6314,1.5399,61.0000
Community and Social Service,6.4902,0.8529,14.0000
Architecture and Engineering,6.2407,1.0612,51.0000
Computer and Mathematical,5.6875,0.7547,30.0000
Business and Financial Operations,5.6633,0.8834,43.0000
Management,5.4264,1.3584,52.0000
"Arts, Design, Entertainment, Sports, and Media",5.1752,1.0025,37.0000
Healthcare Support,3.4460,0.6473,19.0000
Office and Administrative Support,3.3763,0.6108,50.0000
Protective Service,3.0668,0.7825,25.0000
Personal Care and Service,3.0341,0.9953,29.0000
Sales and Related,2.8646,1.0542,21.0000
"Installation, Maintenance, and Repair",2.8258,0.3245,50.0000
"Farming, Fishing, and Forestry",2.7936,0.6325,12.0000
Building and Grounds Cleaning and Maintenance,2.7824,0.3880,8.0000
Construction and Extraction,2.5040,0.5031,61.0000
Production,2.3250,0.5263,106.0000
Transportation and Material Moving,2.3184,0.5566,47.0000
Food Preparation and Serving Related,1.9615,0.3855,16.0000
