skill,theta_max_rad,theta_max_deg,resultant_R,n_used
Social Perceptiveness,0.021232863892053748,1.2165534879903985,0.7687486118982932,878
Learning Strategies,0.11312650732430427,6.481671420738429,0.7666234177285352,878
Instructing,0.15318569466140783,8.776893785878375,0.7291045883981723,878
Negotiation,0.16994499059728196,9.737130710614716,0.6663759562445248,878
Persuasion,0.2067349961028563,11.845042754347189,0.7165486054167022,878
Speaking,0.2303925390018593,13.20052011610975,0.7323400731585759,878
Active Listening,0.2457708244558123,14.081630968768682,0.7459258465586103,878
Coordination,0.2496065677025832,14.301402868104462,0.5215410432208396,878
Time Management,0.3157986246256417,18.093928367085415,0.6202657574272105,878
Management of Personnel Resources,0.3719009888152014,21.308357055853072,0.5278906930942124,878
Writing,0.39821557932276064,22.816072031551236,0.7285434050086027,878
Monitoring,0.40180315971369907,23.021625246615905,0.6132485099992476,878
Active Learning,0.46765515961306126,26.794666913345278,0.7116138688198762,878
Reading Comprehension,0.46809104996743733,26.81964159098149,0.7101012506878952,878
Management of Financial Resources,0.4978445296371459,28.52439040188409,0.5002372722365548,878
Judgment and Decision Making,0.5271051622909877,30.200901158831904,0.7238062717802571,878
Critical Thinking,0.5272025985126639,30.206483843105655,0.7251586013318397,878
Management of Material Resources,0.6328319080231699,36.25859747093874,0.39712273606722076,878
Complex Problem Solving,0.6442802085610437,36.91453677435626,0.6834382967341283,878
Systems Evaluation,0.730043827755676,41.82843018997586,0.689788954608535,878
Systems Analysis,0.8210495913713637,47.04267635651999,0.6763602367281059,878
Operations Analysis,0.8498748952205388,48.694244610259936,0.5594142334813398,878
Science,0.9421247886330457,53.97977416332827,0.5723412748228041,878
Mathematics,1.0302607835467799,59.02959469507173,0.6009327798044539,878
Programming,1.179810991146086,67.59819041581726,0.6362434348718345,878
Technology Design,1.5281258149641201,87.55515976243346,0.5721779648980109,878
Quality Control Analysis,2.5083565483158177,143.7182437324993,0.5605712699682313,878
Operations Monitoring,2.759757506482799,158.12245760101231,0.6092741514621162,878
Troubleshooting,2.8244720330992883,161.83032684932417,0.674683891130567,878
Equipment Selection,2.8799341017665845,165.008069307025,0.6529927020011911,878
Installation,2.8804149645657637,165.03562071594283,0.7735020394666934,878
Repairing,3.010060399783928,172.46375698708036,0.7062576328605588,878
Equipment Maintenance,3.0163935000355133,172.82661690272946,0.7136102266916863,878
Operation and Control,3.0224226570238955,173.17206215218556,0.7009122487469189,878
Service Orientation,6.175561930979455,353.8336347667838,0.7296414609226108,878
