skill,p5,p95,n_used
__GLOBAL__,0.0,8501.811900712899,30730
Social Perceptiveness,797.2055411532087,10057.198711873283,878
Learning Strategies,661.0680957671633,9351.01642601386,878
Instructing,701.5690651724422,9720.45513622677,878
Negotiation,634.4560731110964,8117.883627452825,878
Persuasion,707.3706927707357,8811.30021427819,878
Speaking,893.1820739246881,11002.805453525547,878
Active Listening,929.0830001345996,11107.766765475804,878
Coordination,823.1306154892009,9666.360409853554,878
Time Management,802.0722184528656,9298.120212302592,878
Management of Personnel Resources,622.0171603392162,8225.030185198682,878
Writing,842.5612293067006,10373.722678189604,878
Monitoring,884.6031062170043,10862.639374259792,878
Active Learning,801.4058853749751,10208.554658471252,878
Reading Comprehension,933.569638384695,11288.769326228605,878
Management of Financial Resources,126.49628548262727,5141.475129813419,878
Judgment and Decision Making,826.1314813310686,10057.198711873283,878
Critical Thinking,932.988693654031,11029.160231142387,878
Management of Material Resources,187.58159585155974,4975.072951833496,878
Complex Problem Solving,828.5386770824483,10022.830208811105,878
Systems Evaluation,608.163508639189,8644.508693627302,878
Systems Analysis,618.2875170175457,8365.289372312145,878
Operations Analysis,107.77629232761316,6392.907720382055,878
Science,0.0,5867.962951467151,878
Mathematics,562.5849616981814,7874.6925343536805,878
Programming,0.0,3225.492427131576,878
Technology Design,0.0,3679.2319548628484,878
Quality Control Analysis,208.69839737844717,7725.9662848523685,878
Operations Monitoring,377.0784263154441,8422.700500937142,878
Troubleshooting,0.0,6236.826380254072,878
Equipment Selection,0.0,5131.51827382198,878
Installation,0.0,2443.3176734018043,878
Repairing,0.0,5849.562321420044,878
Equipment Maintenance,0.0,5755.8626189696015,878
Operation and Control,0.0,7520.064974718772,878
Service Orientation,707.7426382763986,9253.594618422896,878
