skill,p5,p95,n_used
__GLOBAL__,0.0,4.12,30730
Social Perceptiveness,2.12,4.139499999999997,878
Learning Strategies,1.75,4.12,878
Instructing,1.88,4.12,878
Negotiation,1.5,3.75,878
Persuasion,1.62,3.88,878
Speaking,2.25,4.75,878
Active Listening,2.5,4.5,878
Coordination,2.25,4.0,878
Time Management,2.12,3.88,878
Management of Personnel Resources,1.62,3.88,878
Writing,2.0,4.75,878
Monitoring,2.38,4.25,878
Active Learning,2.0,4.38,878
Reading Comprehension,2.25,5.0,878
Management of Financial Resources,0.25,3.25,878
Judgment and Decision Making,2.12,4.25,878
Critical Thinking,2.5,4.62,878
Management of Material Resources,0.38,3.0,878
Complex Problem Solving,2.12,4.25,878
Systems Evaluation,1.12,4.0,878
Systems Analysis,1.25,3.88,878
Operations Analysis,0.12,3.62,878
Science,0.0,4.12,878
Mathematics,1.12,4.12,878
Programming,0.0,2.6394999999999973,878
Technology Design,0.0,2.62,878
Quality Control Analysis,0.25,3.62,878
Operations Monitoring,0.5,3.88,878
Troubleshooting,0.0,3.38,878
Equipment Selection,0.0,2.88,878
Installation,0.0,2.38,878
Repairing,0.0,3.25,878
Equipment Maintenance,0.0,3.25,878
Operation and Control,0.0,3.62,878
Service Orientation,1.75,4.0,878
