skill,theta_max_rad,theta_max_deg,resultant_R,I_max_kde,n_used,circ_std_deg,sector,I_min,I_p10,I_p25,I_med,I_p75,I_p90,I_max,I_mean,I_std,I_range,I_iqr,I_contrast,I_peak_over_med
Social Perceptiveness,0.021249,1.217452,0.768736,1.000000,878,41.554911,E,0.011290,0.012680,0.021176,0.095309,0.295019,0.823659,1.000000,0.232820,0.301731,0.988710,0.273843,0.977671,0.904691
Learning Strategies,0.113146,6.482805,0.766614,1.000000,878,41.772684,E,0.004559,0.006479,0.012339,0.079488,0.331141,0.745657,1.000000,0.226660,0.291756,0.995441,0.318802,0.990923,0.920512
Instructing,0.153204,8.777926,0.729095,1.000000,878,45.545684,E,0.007352,0.010914,0.021498,0.088192,0.346547,0.733543,1.000000,0.235066,0.286556,0.992648,0.325049,0.985403,0.911808
Negotiation,0.169958,9.737878,0.666360,1.000000,878,51.625114,E,0.012661,0.019261,0.039209,0.185785,0.426826,0.836606,1.000000,0.295044,0.300102,0.987339,0.387616,0.974996,0.814215
Persuasion,0.206750,11.845886,0.716537,1.000000,878,46.781213,E,0.010620,0.014879,0.023862,0.139815,0.410378,0.824942,1.000000,0.273103,0.303273,0.989380,0.386516,0.978983,0.860185
Speaking,0.230409,13.201440,0.732334,1.000000,878,45.225135,E,0.003498,0.006932,0.016972,0.105242,0.456789,0.779226,1.000000,0.265891,0.303878,0.996502,0.439817,0.993029,0.894758
Active Listening,0.245784,14.082403,0.745923,1.000000,878,43.870279,E,0.005940,0.010214,0.016466,0.098936,0.422454,0.856623,1.000000,0.269215,0.316728,0.994060,0.405988,0.988191,0.901064
Coordination,0.249629,14.302667,0.521521,1.000000,878,65.377764,E,0.054065,0.067912,0.107194,0.201526,0.455110,0.844524,1.000000,0.331556,0.282516,0.945935,0.347916,0.897417,0.798474
Time Management,0.315817,18.094996,0.620245,1.000000,878,56.000003,E,0.032109,0.040401,0.053869,0.191850,0.481695,0.822802,1.000000,0.312736,0.299468,0.967891,0.427826,0.937779,0.808150
Management of Personnel Resources,0.371918,21.309321,0.527864,1.000000,878,64.767905,E,0.067588,0.076029,0.112882,0.250294,0.527110,0.848930,1.000000,0.364259,0.292679,0.932412,0.414228,0.873383,0.749706
