name,cluster,cluster_rank,typicality_cos
Active Learning,0,1,0.9781951089146522
Active Listening,0,1,0.9375774041187968
Complex Problem Solving,0,1,0.9662080139595969
Coordination,0,1,0.8779743199898912
Critical Thinking,0,1,0.9753837846323763
Instructing,0,1,0.9001008340112487
Judgment and Decision Making,0,1,0.9705788143860755
Learning Strategies,0,1,0.8981372778894003
Management of Financial Resources,0,1,0.8263496004669376
Management of Material Resources,0,1,0.8131295966120584
Management of Personnel Resources,0,1,0.9418118264899623
Mathematics,0,1,0.7784058077148334
Monitoring,0,1,0.9474783115843467
Negotiation,0,1,0.881438646542252
Operations Analysis,0,1,0.8797708557403723
Persuasion,0,1,0.8839315141255223
Programming,0,1,0.5907031555239883
Reading Comprehension,0,1,0.9563900539809675
Science,0,1,0.819002794864773
Service Orientation,0,1,0.5133630834330508
Social Perceptiveness,0,1,0.7523180136144441
Speaking,0,1,0.948787089203773
Systems Analysis,0,1,0.9506400207612751
Systems Evaluation,0,1,0.9727472681558158
Technology Design,0,1,0.6418104274597769
Time Management,0,1,0.9385143769601275
Writing,0,1,0.9768325898239757
Equipment Maintenance,1,2,0.9674822222933883
Equipment Selection,1,2,0.9802524227938335
Installation,1,2,0.7627802471516278
Operation and Control,1,2,0.9726141084471744
Operations Monitoring,1,2,0.9514014320035915
Quality Control Analysis,1,2,0.8872969389208154
Repairing,1,2,0.9604712042987322
Troubleshooting,1,2,0.9874367554999841
