job_family,wage_mean_weighted,wage_std_weighted,wage_median,wage_p25,wage_p75,n_occupations,tot_emp,wage_rel_to_base
Management,61.0228,13.9677,56.2400,48.1900,65.5700,51.0000,16423620.0000,1.8813
Legal,55.2431,19.6857,34.3900,28.4750,61.7450,7.0000,1196870.0000,1.7031
Computer and Mathematical,51.3942,9.9699,50.4400,48.1550,57.2625,30.0000,7881560.0000,1.5845
Architecture and Engineering,47.8919,7.0415,47.7800,35.3400,53.8300,51.0000,5860010.0000,1.4765
Healthcare Practitioners and Technical,47.4143,22.1384,41.7300,30.5975,62.7300,64.0000,23104620.0000,1.4618
"Life, Physical, and Social Science",38.8702,9.1660,39.3300,32.3700,46.2000,57.0000,1957780.0000,1.1984
Business and Financial Operations,37.3226,4.0461,36.3800,35.8300,38.2400,38.0000,13438330.0000,1.1506
"Arts, Design, Entertainment, Sports, and Media",32.3396,8.1545,30.0700,25.6125,37.7550,34.0000,2222210.0000,0.9970
Construction and Extraction,28.5069,5.4699,24.9200,22.8100,29.6000,59.0000,7507010.0000,0.8789
Protective Service,28.2159,9.5080,26.2400,22.5200,34.7500,25.0000,4272160.0000,0.8699
"Installation, Maintenance, and Repair",26.7768,5.6294,25.5350,22.4675,29.7450,50.0000,5979150.0000,0.8255
Community and Social Service,25.8829,3.9482,27.5150,23.8750,29.6800,12.0000,1819050.0000,0.7980
Production,22.6178,5.7535,21.4000,18.7050,23.4450,103.0000,6826740.0000,0.6973
Educational Instruction and Library,22.5582,6.3389,28.7300,19.0300,29.6900,13.0000,1915390.0000,0.6955
Sales and Related,21.7702,9.6602,22.8000,17.7200,31.5600,21.0000,12436130.0000,0.6712
Office and Administrative Support,21.7081,4.1124,22.0450,19.0900,23.4975,50.0000,18254690.0000,0.6693
Healthcare Support,20.1972,3.0107,20.1000,17.7700,21.7700,17.0000,3476420.0000,0.6227
Transportation and Material Moving,19.8495,4.2833,24.2500,18.1000,29.7500,41.0000,15777820.0000,0.6120
"Farming, Fishing, and Forestry",18.2001,3.2496,21.9300,16.7250,23.1350,11.0000,422740.0000,0.5611
Building and Grounds Cleaning and Maintenance,17.6212,2.1886,21.0450,17.6800,22.7200,8.0000,4403350.0000,0.5433
Personal Care and Service,16.5044,2.9390,16.8100,15.2500,21.5600,27.0000,3318950.0000,0.5088
Food Preparation and Serving Related,15.3182,1.8702,15.4750,14.7925,17.0350,16.0000,16819450.0000,0.4723
