job_family,within_family_occupation_spread__mean_dist_to_family_center,within_family_occupation_spread__median_dist_to_family_center,n_occupations_in_family_used,n_occupations_in_family_total,family_directionality__xi_concentration_R
Architecture and Engineering,0.06056320879966096,0.06248478890208325,51,51,0.9286637550611683
"Arts, Design, Entertainment, Sports, and Media",0.08023779545738605,0.07858913161783646,37,37,0.289745497800105
Building and Grounds Cleaning and Maintenance,0.08868986872469713,0.07591430488213136,8,8,0.6236365491596861
Business and Financial Operations,0.07888362164397807,0.07600538541640363,43,43,0.776806310512886
Community and Social Service,0.03990097256372965,0.030299272360863334,14,14,0.9734234639576048
Computer and Mathematical,0.046056270552038495,0.04477149602386862,30,30,0.939679989665576
Construction and Extraction,0.07781408704274555,0.06606449072754075,61,61,0.8979758134301333
Educational Instruction and Library,0.03676009156124353,0.026542827809965825,61,61,0.9615293391113466
"Farming, Fishing, and Forestry",0.08063696940216127,0.07918943275491933,12,12,0.7439028941811321
Food Preparation and Serving Related,0.07556329177615609,0.07202011907206152,16,16,0.8484463921174741
Healthcare Practitioners and Technical,0.08206844685514933,0.0756434398632489,82,82,0.6184191284082783
Healthcare Support,0.07348371846363498,0.07724103057148106,19,19,0.6263854861778544
"Installation, Maintenance, and Repair",0.07507012971160663,0.06186390263086215,50,50,0.9265578743963243
Legal,0.03855158609257597,0.031992130189623935,7,7,0.9461511832114664
"Life, Physical, and Social Science",0.07858256245415281,0.0781428777812879,57,57,0.8230443009884372
Management,0.08807458610144933,0.08131489354624463,52,52,0.7544642268395093
Office and Administrative Support,0.08150914930845232,0.07228144471275826,50,50,0.5274463019871726
Personal Care and Service,0.07645425102587963,0.07827449680476184,29,29,0.8842516527648829
Production,0.06601543724686695,0.05787839227909882,106,106,0.933238640604525
Protective Service,0.05776301048080473,0.04774284943166352,25,25,0.711189299851518
Sales and Related,0.06799296998528973,0.06687402444555816,21,21,0.7777324594542103
Transportation and Material Moving,0.10275391378558552,0.099924676498847,47,47,0.5661588639869559
