occupation_id_onet,n_tasks_used,within_occupation_task_spread__mean_dist_to_occ_center,within_occupation_task_spread__median_dist_to_occ_center,within_occupation_task_spread__rt_weighted_mean_dist_to_occ_center,occupation_title,job_family,nearest_neighbor_sanity__share_of_10_nearest_occupations_in_same_job_family
11-1011.00,31,0.1185853637378164,0.11933855819589655,0.11545393790855384,Chief Executives,Management,0.3
11-1011.03,18,0.08527021878600759,0.09002318967078994,0.08477852194408465,Chief Sustainability Officers,Management,0.4
11-1021.00,17,0.1199012738431039,0.0888173207888475,0.11712784252007269,General and Operations Managers,Management,0.1
11-2011.00,21,0.11650936445572564,0.09989387150244203,0.11668674988578895,Advertising and Promotions Managers,Management,0.0
11-2021.00,20,0.10980011959102867,0.10856470635773016,0.10892012865523432,Marketing Managers,Management,0.0
11-2022.00,17,0.10673179873248044,0.11079758459833718,0.10781354894602667,Sales Managers,Management,0.0
11-2033.00,16,0.09610139077832525,0.08401137875929607,0.09641105161585138,Fundraising Managers,Management,0.0
11-3012.00,8,0.1772541430998673,0.1617679672860109,0.18286446008568316,Administrative Services Managers,Management,0.0
11-3013.00,11,0.16034840963787086,0.20294891956004246,0.15742104596833476,Facilities Managers,Management,0.0
11-3013.01,28,0.12779305124532409,0.10977858616340778,0.12723125482213546,Security Managers,Management,0.2
11-3021.00,17,0.11699816904447843,0.08366684302152423,0.11809022423984247,Computer and Information Systems Managers,Management,0.1
11-3031.00,17,0.1275642872123284,0.10809434366408531,0.13606908274367935,Financial Managers,Management,0.1
11-3031.01,22,0.13001879463382454,0.11141327913181495,0.12092048725089427,Treasurers and Controllers,Management,0.4
11-3031.03,20,0.12448016992814785,0.11577022340963171,0.1257158761509425,Investment Fund Managers,Management,0.0
11-3051.00,13,0.12999119613317964,0.1103080527361138,0.11685911148794097,Industrial Production Managers,Management,0.0
11-3051.01,27,0.1031781281823308,0.09361693791215801,0.10214988162924987,Quality Control Systems Managers,Management,0.0
11-3051.02,17,0.12597187492094697,0.10412383649029058,0.12437241357305656,Geothermal Production Managers,Management,0.0
11-3051.03,14,0.1002002133692758,0.11447287334574428,0.1002528067658277,Biofuels Production Managers,Management,0.0
11-3051.04,19,0.1277589179042283,0.1078120201930473,0.12481383647472317,Biomass Power Plant Managers,Management,0.0
11-3051.06,18,0.12438535354136174,0.10455136058649106,0.12027566332128685,Hydroelectric Production Managers,Management,0.0
11-3061.00,18,0.12356666348813741,0.12276123938943172,0.12295643502350885,Purchasing Managers,Management,0.0
11-3071.04,30,0.10217220180331502,0.08712059783457132,0.1019258285885522,Supply Chain Managers,Management,0.0
11-3111.00,22,0.10767524300930392,0.09517337586312222,0.09617508096082011,Compensation and Benefits Managers,Management,0.0
