Job Family,n_tasks_used,rt_sum_used,pc1,pc2,xi,r,chi,sector,zone,sector_zone,xi_concentration_R,n_occ_used
Architecture and Engineering,,,-0.024864213495119712,0.1322726865666726,1.7566049689829473,0.1345893484800937,0.29380236614592004,10,Z1,10-Z1,0.9286637550611683,51
"Arts, Design, Entertainment, Sports, and Media",,,0.04119155398951187,-0.01673394946954373,5.897305124536865,0.04446087251640608,0.09705604264935005,33,Z1,33-Z1,0.289745497800105,37
Building and Grounds Cleaning and Maintenance,,,-0.116526681385734,-0.0632537369286707,3.6389114783198226,0.13258771704126232,0.2894328966483564,20,Z1,20-Z1,0.6236365491596861,8
Business and Financial Operations,,,0.10077137943952438,0.03220021051044998,0.30928313162429505,0.1057909470184566,0.2309367784437808,1,Z1,01-Z1,0.776806310512886,43
Community and Social Service,,,0.19758748910715263,-0.010041161193544295,6.232410176276373,0.19784246452615753,0.4318810133071004,35,Z2,35-Z2,0.9734234639576048,14
Computer and Mathematical,,,0.07542162794459085,0.09290532154984649,0.8888945051787828,0.11966545338606568,0.26122418859877605,5,Z1,05-Z1,0.939679989665576,30
Construction and Extraction,,,-0.20258013654725313,-0.053311637478074644,3.398921332464699,0.20947754632441487,0.45727986248226327,19,Z2,19-Z2,0.8979758134301333,61
Educational Instruction and Library,,,0.17686271718905408,-0.05649475015710293,5.974002106123191,0.18566657622417884,0.4053016083731441,34,Z2,34-Z2,0.9615293391113466,61
"Farming, Fishing, and Forestry",,,-0.10351207566951928,-0.004594322644742271,3.185947954882934,0.10361398366039343,0.22618456741939558,18,Z1,18-Z1,0.7439028941811321,12
Food Preparation and Serving Related,,,-0.04695048845591404,-0.12584002691842375,4.355288071889638,0.13431329324038827,0.2931997502366496,24,Z1,24-Z1,0.8484463921174741,16
Healthcare Practitioners and Technical,,,0.08390355162344741,0.01285698952348318,0.15205258576863412,0.0848829084953824,0.18529549063817266,0,Z1,00-Z1,0.6184191284082783,82
Healthcare Support,,,0.04337891619059208,-0.04385699559709839,5.492306893611948,0.06168603109841254,0.13465777269547408,31,Z1,31-Z1,0.6263854861778544,19
"Installation, Maintenance, and Repair",,,-0.1867161062566564,0.004048730394625863,3.1199121671223367,0.18675999719815636,0.40768849613934566,17,Z2,17-Z2,0.9265578743963243,50
Legal,,,0.13797632666646342,-0.0083507875922153,6.222735709575481,0.13822880442867516,0.3017471313242374,35,Z1,35-Z1,0.9461511832114664,7
"Life, Physical, and Social Science",,,0.07440018974310726,0.08332833222363682,0.8419423140657494,0.11170944089459563,0.2438565787434826,4,Z1,04-Z1,0.8230443009884372,57
Management,,,0.09700146574600742,0.050499144973878404,0.4799929436064818,0.10935926115316727,0.23872624430990755,2,Z1,02-Z1,0.7544642268395093,52
Office and Administrative Support,,,0.04784655132188689,-0.03218418495209755,5.691048917446078,0.05766380350296691,0.12587743459246198,32,Z1,32-Z1,0.5274463019871726,50
Personal Care and Service,,,0.026393057053872213,-0.12839760688138901,4.915122280261463,0.13108218381426467,0.2861463867618134,28,Z1,28-Z1,0.8842516527648829,29
Production,,,-0.18578651575189037,0.017958465177641086,3.0452301975357767,0.18665244682769083,0.40745371862032587,17,Z2,17-Z2,0.933238640604525,106
Protective Service,,,0.044332614841828814,-0.03550543014669808,5.607903535782495,0.05679803085157088,0.12398749265874201,32,Z1,32-Z1,0.711189299851518,25
Sales and Related,,,0.061335490045975556,-0.06382077416599284,5.477932304325154,0.08851628976819254,0.1932269950782865,31,Z1,31-Z1,0.7777324594542103,21
Transportation and Material Moving,,,-0.08705640356574862,-0.017780024398451427,3.3430576522297875,0.08885351242023028,0.1939631366393057,19,Z1,19-Z1,0.5661588639869559,47
