onet_code,Title,Job Family,pc1,pc2,xi,r,chi,sector,zone,sector_zone,n_tasks_used,RT_sum_used
11-1011.00,Chief Executives,Management,0.14197945472298681,0.08671625371196284,0.5482982461990248,0.16636668603201235,0.3631708345128812,3,Z2,03-Z2,31,2253.62
11-1011.03,Chief Sustainability Officers,Management,0.13833449320290994,0.12676264163767653,0.741774492645656,0.18763048612810218,0.4095887334925247,4,Z2,04-Z2,18,1737.05
11-1021.00,General and Operations Managers,Management,0.07232432899533367,0.09008151664362778,0.8943039062740472,0.11552267398844891,0.25218069144847666,5,Z1,05-Z1,17,1179.65
11-2011.00,Advertising and Promotions Managers,Management,0.13777704995782142,-0.007809013428066499,6.226567260507837,0.13799817457415783,0.3012436769444794,35,Z1,35-Z1,21,1528.67
11-2021.00,Marketing Managers,Management,0.10422307538695398,0.09116364052302318,0.7186585216932301,0.13846753697717631,0.30226827351281155,4,Z1,04-Z1,20,1460.42
11-2022.00,Sales Managers,Management,0.11571486619839874,-0.003385556317977969,6.253935903925233,0.11576438247965358,0.25270832998328985,35,Z1,35-Z1,17,1480.95
11-2033.00,Fundraising Managers,Management,0.16612552971499997,-0.04235560594588703,6.0335425227650745,0.1714400448498909,0.37424574379680897,34,Z2,34-Z2,16,1312.07
11-3012.00,Administrative Services Managers,Management,0.09266417309679198,-0.000886165682505771,6.273622402340593,0.09266841028812935,0.2022908834695799,35,Z1,35-Z1,8,599.98
11-3013.00,Facilities Managers,Management,0.024856254568419726,0.014545295859306525,0.5294485519170851,0.028799288581575173,0.06286752424421924,3,Z1,03-Z1,11,902.26
11-3013.01,Security Managers,Management,0.12162130542960366,0.09565068625751194,0.6664321464638381,0.15472813485573308,0.33776441184484235,3,Z2,03-Z2,28,2745.0
11-3021.00,Computer and Information Systems Managers,Management,0.10882527613429852,0.050286853241435156,0.4328607077336758,0.11988206010338644,0.2616970311141059,2,Z1,02-Z1,17,1528.4
11-3031.00,Financial Managers,Management,0.12872046459848083,0.033220622370207516,0.2525720330439981,0.13293821029753894,0.2901980073289203,1,Z1,01-Z1,17,979.29
11-3031.01,Treasurers and Controllers,Management,0.15878772626397802,0.08983165449273257,0.5148429395168909,0.18243702519221722,0.3982516468011876,2,Z2,02-Z2,22,1739.83
11-3031.03,Investment Fund Managers,Management,0.12367457998921173,0.060602201264955274,0.45562645763145004,0.13772446599521118,0.3006461836878651,2,Z1,02-Z1,20,1569.01
11-3051.00,Industrial Production Managers,Management,0.05848906331787531,0.16865790881076467,1.236983062521175,0.17851179437847417,0.38968304821764405,7,Z2,07-Z2,13,1093.75
11-3051.01,Quality Control Systems Managers,Management,0.061202448265357604,0.13568945837461985,1.1470712895126098,0.14885351452912177,0.32494038548868087,6,Z1,06-Z1,27,2321.39
11-3051.02,Geothermal Production Managers,Management,-0.04856704320021913,0.03764413113999978,2.48222247997004,0.06144785020240702,0.13413783473896093,14,Z1,14-Z1,17,1352.27
11-3051.03,Biofuels Production Managers,Management,-0.013196798782946686,0.13537575411743719,1.6679720216730762,0.13601746322065558,0.29691987503234574,9,Z1,09-Z1,14,1272.71
11-3051.04,Biomass Power Plant Managers,Management,-0.047910172597677735,0.09396859280084868,2.042295261157604,0.10547739602071612,0.23025231101687155,11,Z1,11-Z1,19,1574.84
11-3051.06,Hydroelectric Production Managers,Management,-0.03187970505440782,0.1262233902429603,1.8181883505372494,0.13018701870302846,0.2841922824382356,10,Z1,10-Z1,18,1531.04
11-3061.00,Purchasing Managers,Management,0.07064330860086625,-0.024235454558579932,5.952699337812537,0.07468490013207633,0.16303370676782164,34,Z1,34-Z1,18,1684.21
11-3071.04,Supply Chain Managers,Management,0.024679322390694286,0.16660482636092405,1.4237348520006652,0.16842279275803937,0.3676592210603844,8,Z2,08-Z2,30,2580.94
11-3111.00,Compensation and Benefits Managers,Management,0.17368202551313017,0.06810788872665692,0.37371329883054216,0.1865586516169815,0.4072489679832899,2,Z2,02-Z2,22,1642.86
11-3121.00,Human Resources Managers,Management,0.1687882149189295,0.04004169778727961,0.23292459181201733,0.17347276171551132,0.3786830713533231,1,Z2,01-Z2,26,2408.85
11-3131.00,Training and Development Managers,Management,0.15352595128485705,0.038790840760992464,0.247486584330487,0.15835070901282688,0.34567232484771,1,Z2,01-Z2,12,1109.66
11-9021.00,Construction Managers,Management,0.024103472970288597,0.08878218014777475,1.3056962660569558,0.0919959396985615,0.20082291105861458,7,Z1,07-Z1,25,2244.21
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Management,0.19478850137496648,0.08779748404506846,0.42346280368540407,0.2136608491805398,0.4664118204812744,2,Z2,02-Z2,17,1447.94
11-9032.00,"Education Administrators, Kindergarten through Secondary",Management,0.2011538658385771,0.02732451870653309,0.13501251518055307,0.20300124892312352,0.4431424027066444,0,Z2,00-Z2,32,2475.88
11-9033.00,"Education Administrators, Postsecondary",Management,0.22519411328325614,-0.0017014546519765242,6.275629948595458,0.22520054086383703,0.49160243741667453,35,Z2,35-Z2,27,1791.44
11-9041.00,Architectural and Engineering Managers,Management,0.0851219084847008,0.11157954658969478,0.9191022618293025,0.1403414925146503,0.3063590323817687,5,Z1,05-Z1,19,1531.61
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Management,0.014525945486919526,0.11188155388024405,1.4416853073591267,0.11282058850647302,0.2462821629460486,8,Z1,08-Z1,18,1181.24
11-9051.00,Food Service Managers,Management,0.06306321642531501,0.0008260063862355657,0.013097320459108136,0.06306862573781216,0.13767591329176618,0,Z1,00-Z1,28,2054.41
11-9071.00,Gambling Managers,Management,0.067872364133159,-0.08555545064827198,5.383039972464278,0.10920802602672128,0.23839610497498998,30,Z1,30-Z1,19,1333.42
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Management,0.05292182214104167,-0.10940693322958848,5.162924271500392,0.12153434204961033,0.2653038867146631,29,Z1,29-Z1,17,1372.49
11-9081.00,Lodging Managers,Management,0.10847715015358178,-0.09864455599805912,5.545224073142222,0.1466221011085878,0.32006931247877174,31,Z1,31-Z1,24,2037.48
11-9111.00,Medical and Health Services Managers,Management,0.15077300508370417,0.13043918474487218,0.7132160390928555,0.19936619567739555,0.43520724842644337,4,Z2,04-Z2,18,1575.01
11-9121.00,Natural Sciences Managers,Management,0.12600171799610557,0.1176834791448004,0.7512762291477858,0.17241181572500994,0.37636707498449873,4,Z2,04-Z2,16,1333.0
11-9121.01,Clinical Research Coordinators,Management,0.1871666445753902,0.04612506598482778,0.24162385856629437,0.19276637298480034,0.4208001386133306,1,Z2,01-Z2,33,2480.37
11-9121.02,Water Resource Specialists,Management,0.04330863311054022,0.11250473234981005,1.2033315232246249,0.12055269595909408,0.26316099838532236,6,Z1,06-Z1,21,1954.51
11-9131.00,Postmasters and Mail Superintendents,Management,0.11001095419852025,-0.09195302691097108,5.586961637688544,0.14337980751053717,0.31299153447029926,32,Z1,32-Z1,13,916.33
11-9141.00,"Property, Real Estate, and Community Association Managers",Management,0.07248627355246165,0.00047013581462916745,0.006485768952539338,0.07248779815394105,0.15823753406077046,0,Z1,00-Z1,27,2085.0
11-9151.00,Social and Community Service Managers,Management,0.19360067181699583,0.05829936676568698,0.29249504660520076,0.20218812104886927,0.44136738190349045,1,Z2,01-Z2,16,1246.43
11-9161.00,Emergency Management Directors,Management,0.13854948588588284,0.09933646991122841,0.6220277376529626,0.1704807739707526,0.3721516995262299,3,Z2,03-Z2,23,2177.26
11-9171.00,Funeral Home Managers,Management,0.09316819674454112,-0.04724572265563475,5.813872733611351,0.1044627742015436,0.22803743818642422,33,Z1,33-Z1,23,2089.28
11-9179.01,Fitness and Wellness Coordinators,Management,0.1412642481439667,0.03223096216362519,0.2243208816585854,0.1448945227593964,0.31629808828884287,1,Z1,01-Z1,24,2192.29
11-9179.02,Spa Managers,Management,0.07788710008660024,-0.0923609207697539,5.412974996914718,0.12081779688993191,0.26373970154145776,31,Z1,31-Z1,21,1905.82
