job_family,within_family_occupation_spread__mean_dist_to_family_center,within_family_occupation_spread__median_dist_to_family_center,n_occupations_in_family_used,n_occupations_in_family_total,family_directionality__xi_concentration_R
Architecture and Engineering,0.06929659499523241,0.061076074587469,51,51,0.8887950650155065
"Arts, Design, Entertainment, Sports, and Media",0.09671356325841472,0.09740835320170967,37,37,0.36307266407327526
Building and Grounds Cleaning and Maintenance,0.08714244841339128,0.07642968094716199,8,8,0.6492210534732039
Business and Financial Operations,0.08913872108514022,0.08484919970604445,43,43,0.8510404202170893
Community and Social Service,0.04047760242363153,0.03479000153490516,14,14,0.9908987662766845
Computer and Mathematical,0.06474420090931475,0.054459398927262884,30,30,0.9363164688363002
Construction and Extraction,0.05885121552913442,0.0419393946178519,61,61,0.9319822391803664
Educational Instruction and Library,0.0533082817919447,0.03790876213266257,61,61,0.9454756763814783
"Farming, Fishing, and Forestry",0.08502804043408446,0.07886222001913262,12,12,0.7636378329266048
Food Preparation and Serving Related,0.06576329782589502,0.05642593868181174,16,16,0.8385201268262643
Healthcare Practitioners and Technical,0.09688458838747101,0.0946415748948147,82,82,0.4600312446911606
Healthcare Support,0.09499375471321247,0.09657098360575218,19,19,0.7245759805541011
"Installation, Maintenance, and Repair",0.06016381324457622,0.056918927288772556,50,50,0.9676185161880706
Legal,0.04346812528232328,0.03466316328602243,7,7,0.9659546867648405
"Life, Physical, and Social Science",0.09697492548639984,0.0899383767382514,57,57,0.8184619297171692
Management,0.09630749869175469,0.08592539203541025,52,52,0.7344136517153611
Office and Administrative Support,0.09794942792876225,0.09591838946245101,50,50,0.3825490518881238
Personal Care and Service,0.0823953893848221,0.07767100460603026,29,29,0.8120405060540018
Production,0.05906255822683876,0.053600939772386724,106,106,0.9595073045363871
Protective Service,0.08151629611399307,0.0750558646554746,25,25,0.42211881879910246
Sales and Related,0.07289398972967948,0.07069704242389634,21,21,0.6986744668096312
Transportation and Material Moving,0.10062974643006516,0.09930474076955004,47,47,0.7267709650037745
