occupation_id_onet,n_tasks_used,within_occupation_task_spread__mean_dist_to_occ_center,within_occupation_task_spread__median_dist_to_occ_center,within_occupation_task_spread__rt_weighted_mean_dist_to_occ_center,occupation_title,job_family,nearest_neighbor_sanity__share_of_10_nearest_occupations_in_same_job_family
11-1011.00,31,0.12600850133791697,0.1284439422479358,0.13011291751758494,Chief Executives,Management,0.1
11-1011.03,18,0.1255430566032294,0.11643581934105535,0.1256708305349496,Chief Sustainability Officers,Management,0.2
11-1021.00,17,0.11791794773106984,0.09092454382939781,0.12075695882414476,General and Operations Managers,Management,0.0
11-2011.00,21,0.12603565806324124,0.13127100200520073,0.1260493223684884,Advertising and Promotions Managers,Management,0.2
11-2021.00,20,0.1246910553102406,0.11337757312237444,0.1307164998576696,Marketing Managers,Management,0.4
11-2022.00,17,0.12342673890174813,0.13212464203042756,0.12532558738200075,Sales Managers,Management,0.2
11-2033.00,16,0.1065416632112632,0.10200462749575477,0.10560554723807164,Fundraising Managers,Management,0.2
11-3012.00,8,0.17493513785902762,0.1877922435347192,0.17398186814354968,Administrative Services Managers,Management,0.1
11-3013.00,11,0.14657171202446131,0.11285457675147896,0.15075776754425566,Facilities Managers,Management,0.2
11-3013.01,28,0.1427768228380941,0.134686685574457,0.1431885617329748,Security Managers,Management,0.0
11-3021.00,17,0.14479107015561757,0.14796760678484586,0.14247526272973182,Computer and Information Systems Managers,Management,0.0
11-3031.00,17,0.185889620047614,0.18120677240199248,0.1886990857465436,Financial Managers,Management,0.1
11-3031.01,22,0.12298358722121704,0.11889024235978705,0.1276447879683943,Treasurers and Controllers,Management,0.2
11-3031.03,20,0.10979025869081882,0.10729430196064059,0.10787076551317173,Investment Fund Managers,Management,0.2
11-3051.00,13,0.1287474977532412,0.12383557833517779,0.13165709242382773,Industrial Production Managers,Management,0.2
11-3051.01,27,0.12714885099175335,0.12597235044044436,0.1258228278151736,Quality Control Systems Managers,Management,0.0
11-3051.02,17,0.13714470456785594,0.13293005993536733,0.13854605315223825,Geothermal Production Managers,Management,0.3
11-3051.03,14,0.15905001841418168,0.13615728438374045,0.16029058133463314,Biofuels Production Managers,Management,0.2
11-3051.04,19,0.1583135425833447,0.15878538871613676,0.1555992174020925,Biomass Power Plant Managers,Management,0.3
11-3051.06,18,0.13795037752663172,0.10955908065222228,0.1372665827409938,Hydroelectric Production Managers,Management,0.0
11-3061.00,18,0.1307823244403336,0.11521973191503636,0.1302278865163646,Purchasing Managers,Management,0.0
11-3071.04,30,0.1062913635377465,0.10108466811214628,0.10663644849000438,Supply Chain Managers,Management,0.1
11-3111.00,22,0.11368852168112897,0.10050437889649058,0.10895496509209812,Compensation and Benefits Managers,Management,0.2
11-3121.00,26,0.12782205802117202,0.12840578113290846,0.1280939073459492,Human Resources Managers,Management,0.2
11-3131.00,12,0.13520466275317508,0.11876705711461483,0.1369457987014102,Training and Development Managers,Management,0.1
