Job Family,n_tasks_used,rt_sum_used,pc1,pc2,xi,r,chi,sector,zone,sector_zone,xi_concentration_R,n_occ_used
Architecture and Engineering,,,-0.023500231122057798,0.13871693857832487,1.7386143635880726,0.14069346079805162,0.29526951057653905,9,Z1,09-Z1,0.8887950650155065,51
"Arts, Design, Entertainment, Sports, and Media",,,0.05688779154571662,0.008091032570463444,0.14128036722127066,0.05746029616182993,0.12059034889787477,0,Z1,00-Z1,0.36307266407327526,37
Building and Grounds Cleaning and Maintenance,,,-0.09876910607411324,-0.08541233575918164,3.854597914964801,0.13057795914517353,0.27404038446549206,22,Z1,22-Z1,0.6492210534732039,8
Business and Financial Operations,,,0.11717530300369698,0.090214988211621,0.6561251653980512,0.14788101883619517,0.31035384166147395,3,Z1,03-Z1,0.8510404202170893,43
Community and Social Service,,,0.22640228457279424,-0.07906016811742576,5.947221429957009,0.2398093089155134,0.5032812248240772,34,Z2,34-Z2,0.9908987662766845,14
Computer and Mathematical,,,0.08613967753745894,0.13875568750797537,1.0152221755026967,0.16331927278208264,0.3427536821437662,5,Z2,05-Z2,0.9363164688363002,30
Construction and Extraction,,,-0.2042489456282716,-0.04965324058855748,3.3800682183752677,0.21019770715021088,0.44113616768330255,19,Z2,19-Z2,0.9319822391803664,61
Educational Instruction and Library,,,0.21373553677130805,-0.0636437872053492,5.99377668466098,0.22300989065231827,0.4680247460907537,34,Z2,34-Z2,0.9454756763814783,61
"Farming, Fishing, and Forestry",,,-0.10698199913820307,-0.03640862991766679,3.469622295909693,0.11300768324361005,0.23716612793130884,19,Z1,19-Z1,0.7636378329266048,12
Food Preparation and Serving Related,,,-0.035901688097307684,-0.11072786035222365,4.398850458262613,0.11640270729848987,0.24429117187715954,25,Z1,25-Z1,0.8385201268262643,16
Healthcare Practitioners and Technical,,,0.06810545047104129,-0.030365179043687813,5.863783420949918,0.07456806610217724,0.15649395684588774,33,Z1,33-Z1,0.4600312446911606,82
Healthcare Support,,,0.023442838768087615,-0.10366257107282857,4.934793594124571,0.10628026783432466,0.22304748557168985,28,Z1,28-Z1,0.7245759805541011,19
"Installation, Maintenance, and Repair",,,-0.23808161883439144,-0.009213988062726716,3.180274312883832,0.2382598472315982,0.5000294120498969,18,Z2,18-Z2,0.9676185161880706,50
Legal,,,0.14847833823606238,0.06810911605465728,0.4300769475966084,0.1633544263712781,0.3428274580180526,2,Z2,02-Z2,0.9659546867648405,7
"Life, Physical, and Social Science",,,0.10650149721919262,0.09917745900370409,0.7498041237336002,0.14552916300302526,0.3054180662752715,4,Z1,04-Z1,0.8184619297171692,57
Management,,,0.11033224494682341,0.039811505837333325,0.3462927409047756,0.11729518435145522,0.24616418901054377,1,Z1,01-Z1,0.7344136517153611,52
Office and Administrative Support,,,0.04999376911017183,0.012493482640569336,0.2448852914396714,0.05153119500197311,0.1081471067763194,1,Z1,01-Z1,0.3825490518881238,50
Personal Care and Service,,,0.021722471355955553,-0.11833863664221841,4.893929931999654,0.12031582890106068,0.2525035329482689,28,Z1,28-Z1,0.8120405060540018,29
Production,,,-0.20841168836286558,3.7859969449804475e-05,3.141410994061334,0.20841169180167768,0.43738790621576684,17,Z2,17-Z2,0.9595073045363871,106
Protective Service,,,0.021618607724167422,-0.03761061227407146,5.234073497271017,0.043381129025902104,0.09104278665887501,29,Z1,29-Z1,0.42211881879910246,25
Sales and Related,,,0.08816176758479263,-0.014556662596702769,6.119548589562724,0.08935543458362921,0.18752780184100445,35,Z1,35-Z1,0.6986744668096312,21
Transportation and Material Moving,,,-0.11760000052839865,-0.05647950048973501,3.5893303068660387,0.1304595496690424,0.2737918817428599,20,Z1,20-Z1,0.7267709650037745,47
