onet_code,Title,Job Family,pc1,pc2,xi,r,chi,sector,zone,sector_zone,n_tasks_used,RT_sum_used
11-1011.00,Chief Executives,Management,0.17531543541008274,0.023648302488024776,0.13408071432284965,0.17690320546443472,0.3712619094065808,0,Z2,00-Z2,31,2253.62
11-1011.03,Chief Sustainability Officers,Management,0.20157861564969984,0.13201413236063958,0.5798131824317094,0.240959891745871,0.5056959214792764,3,Z2,03-Z2,18,1737.05
11-1021.00,General and Operations Managers,Management,0.1059708049430357,0.002237945037182462,0.021115366879238186,0.10599443333621049,0.22244761254358086,0,Z1,00-Z1,17,1179.65
11-2011.00,Advertising and Promotions Managers,Management,0.1865470325272351,-0.0035648782795482813,6.264077823239295,0.18658109149071161,0.3915726235946128,35,Z2,35-Z2,21,1528.67
11-2021.00,Marketing Managers,Management,0.15902253442678052,0.08215101975000959,0.476839139302427,0.17898870495504196,0.37563869003594574,2,Z2,02-Z2,20,1460.42
11-2022.00,Sales Managers,Management,0.14963317087059846,0.006780186467005428,0.04528108183492945,0.14978670419405415,0.31435325129811353,0,Z1,00-Z1,17,1480.95
11-2033.00,Fundraising Managers,Management,0.20370090377781222,-0.003487297272087759,6.2660672847406245,0.20373075232316162,0.42756414680989274,35,Z2,35-Z2,16,1312.07
11-3012.00,Administrative Services Managers,Management,0.11180751860124338,0.019764712196686098,0.17496686485235907,0.11354102810872031,0.23828544418379383,1,Z1,01-Z1,8,599.98
11-3013.00,Facilities Managers,Management,0.021702775066000678,-0.005631699200832329,6.029293024837113,0.022421562868231916,0.04705551954519568,34,Z1,34-Z1,11,902.26
11-3013.01,Security Managers,Management,0.09150597006776874,0.0466953136444599,0.4718520296402978,0.10273166441948593,0.21560012883182228,2,Z1,02-Z1,28,2745.0
11-3021.00,Computer and Information Systems Managers,Management,0.10450389827674979,0.1056560253520469,0.7908802530063419,0.14860774020295728,0.3118789918786355,4,Z1,04-Z1,17,1528.4
11-3031.00,Financial Managers,Management,0.14813337145122024,0.05795877221484123,0.3729499021008768,0.1590682715507937,0.3338322223552077,2,Z2,02-Z2,17,979.29
11-3031.01,Treasurers and Controllers,Management,0.14787120344049628,0.07916752820761727,0.49155067638240735,0.16773011157643852,0.35201058864570306,2,Z2,02-Z2,22,1739.83
11-3031.03,Investment Fund Managers,Management,0.14687707970831393,0.11022112938830897,0.6437769596171982,0.18363434838634288,0.38538837459479147,3,Z2,03-Z2,20,1569.01
11-3051.00,Industrial Production Managers,Management,0.04519278811940874,0.11787086422850206,1.2046735596269162,0.12623758842745586,0.26493136738487033,6,Z1,06-Z1,13,1093.75
11-3051.01,Quality Control Systems Managers,Management,0.04140554227252045,0.21212433649727153,1.3780255064108013,0.21612763142478836,0.45358113725316535,7,Z2,07-Z2,27,2321.39
11-3051.02,Geothermal Production Managers,Management,-0.08353770893705086,0.05091835578428687,2.5941986031390862,0.09783265186136296,0.20531870542990877,14,Z1,14-Z1,17,1352.27
11-3051.03,Biofuels Production Managers,Management,-0.05588299434503645,0.05360182254619584,2.377026984139973,0.07743425880862581,0.16250915693301812,13,Z1,13-Z1,14,1272.71
11-3051.04,Biomass Power Plant Managers,Management,-0.0916523768763074,0.046907990190895435,2.668547042680837,0.10295881570232744,0.21607684500420868,15,Z1,15-Z1,19,1574.84
11-3051.06,Hydroelectric Production Managers,Management,-0.08555064311419956,0.014093290472644193,2.9783228242385924,0.08670371026432182,0.18196270068061957,17,Z1,17-Z1,18,1531.04
11-3061.00,Purchasing Managers,Management,0.0655901441890874,0.11761144019181816,1.0620720235858796,0.13466446405321225,0.28261662032834556,6,Z1,06-Z1,18,1684.21
11-3071.04,Supply Chain Managers,Management,0.04418600200315663,0.12409463351335845,1.2287268785472092,0.13172653810010232,0.2764508756422436,7,Z1,07-Z1,30,2580.94
11-3111.00,Compensation and Benefits Managers,Management,0.18710492311337212,0.03903185884086192,0.2056600246877066,0.19113277651369445,0.40112512021678215,1,Z2,01-Z2,22,1642.86
11-3121.00,Human Resources Managers,Management,0.16994862072599556,-0.0046142936770786165,6.2560408661163835,0.17001125078301912,0.3567979529856194,35,Z2,35-Z2,26,2408.85
11-3131.00,Training and Development Managers,Management,0.22463455491396897,0.03250972742475729,0.14372485662067103,0.2269748127846545,0.47634581951412647,0,Z2,00-Z2,12,1109.66
11-9021.00,Construction Managers,Management,0.0715103794929146,0.0875555671859097,0.8859294074691606,0.11304738705722928,0.23724945323689783,5,Z1,05-Z1,25,2244.21
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Management,0.24546935694325137,-0.01599287562644706,6.2181250309682605,0.24598979098518775,0.5162520331721585,35,Z2,35-Z2,17,1447.94
11-9032.00,"Education Administrators, Kindergarten through Secondary",Management,0.24463508158804742,-0.03513690149028998,6.140531075954663,0.24714555425887993,0.5186776018818179,35,Z2,35-Z2,32,2475.88
11-9033.00,"Education Administrators, Postsecondary",Management,0.24563274016410971,-0.029877389170475138,6.16214550249176,0.2474431276559789,0.5193021110155304,35,Z2,35-Z2,27,1791.44
11-9041.00,Architectural and Engineering Managers,Management,0.13723366767481707,0.1147599405247372,0.6964497702670402,0.17889360942393484,0.375439115650834,3,Z2,03-Z2,19,1531.61
