job_family,within_family_occupation_spread__mean_dist_to_family_center,within_family_occupation_spread__median_dist_to_family_center,n_occupations_in_family_used,n_occupations_in_family_total,family_directionality__xi_concentration_R
Architecture and Engineering,0.08589675271737239,0.08304242322926447,51,51,0.9089535680682581
"Arts, Design, Entertainment, Sports, and Media",0.12336102564405378,0.1142708086712156,37,37,0.08606871849579201
Building and Grounds Cleaning and Maintenance,0.11042161965732517,0.09288317119207926,8,8,0.767701932309101
Business and Financial Operations,0.11386002019752563,0.10890036535075547,43,43,0.7830308464980013
Community and Social Service,0.050450715501732524,0.04902202055418804,14,14,0.9838548186064863
Computer and Mathematical,0.07897841689500583,0.09066117460298509,30,30,0.925821714075434
Construction and Extraction,0.0882285082790898,0.07289262158797961,61,61,0.9069437320110676
Educational Instruction and Library,0.051826723438766875,0.037435151952513415,61,61,0.940246957140245
"Farming, Fishing, and Forestry",0.12515899448757253,0.1096551602295239,12,12,0.6617716413906748
Food Preparation and Serving Related,0.07845351585346298,0.07086834909909517,16,16,0.8272623856913071
Healthcare Practitioners and Technical,0.11170656092328672,0.10237492882019861,82,82,0.6885386510435877
Healthcare Support,0.1099004867536013,0.10471306346247534,19,19,0.6884246284580692
"Installation, Maintenance, and Repair",0.08910801287638848,0.08410914346217649,50,50,0.9365386897551927
Legal,0.06032151263955187,0.055982952628934525,7,7,0.9527611577893006
"Life, Physical, and Social Science",0.11081420361090608,0.10599076082388473,57,57,0.7492500350392142
Management,0.11597049573409429,0.09876561702902276,52,52,0.648275043714548
Office and Administrative Support,0.11264057484596524,0.1049936057766904,50,50,0.6066042767837455
Personal Care and Service,0.09522621362819184,0.09282464070674203,29,29,0.7954314078571565
Production,0.08536560908146876,0.07664794812022045,106,106,0.9415765381316453
Protective Service,0.07787539088450657,0.06963574592502048,25,25,0.6620406551223171
Sales and Related,0.07483952126319322,0.07297137104510275,21,21,0.6990647634870677
Transportation and Material Moving,0.1284418909642985,0.12427522108332713,47,47,0.4687339687382064
