occupation_id_onet,n_tasks_used,within_occupation_task_spread__mean_dist_to_occ_center,within_occupation_task_spread__median_dist_to_occ_center,within_occupation_task_spread__rt_weighted_mean_dist_to_occ_center,occupation_title,job_family,nearest_neighbor_sanity__share_of_10_nearest_occupations_in_same_job_family
11-1011.00,31,0.14981274634823213,0.1397170446900058,0.15464209436663334,Chief Executives,Management,0.2
11-1011.03,18,0.11288804150635645,0.10568606902458545,0.11370281218468896,Chief Sustainability Officers,Management,0.2
11-1021.00,17,0.1505952660991736,0.13494068236848566,0.15676106548793375,General and Operations Managers,Management,0.1
11-2011.00,21,0.12880394806391607,0.11298681078507884,0.12780635404610774,Advertising and Promotions Managers,Management,0.1
11-2021.00,20,0.14949385251343011,0.14187930368812196,0.15590243286445807,Marketing Managers,Management,0.1
11-2022.00,17,0.1273748373334273,0.11356082610550458,0.12949387987103503,Sales Managers,Management,0.3
11-2033.00,16,0.09810548678673107,0.07878922413499898,0.09539581700804942,Fundraising Managers,Management,0.1
11-3012.00,8,0.19749206242371015,0.20141344800663413,0.19649745046625597,Administrative Services Managers,Management,0.2
11-3013.00,11,0.16315867094716902,0.16455588899140938,0.17112806502569117,Facilities Managers,Management,0.0
11-3013.01,28,0.1464622912151343,0.13270123217069008,0.14657041743507124,Security Managers,Management,0.1
11-3021.00,17,0.14916857049916668,0.13000379996153483,0.14936998877495447,Computer and Information Systems Managers,Management,0.3
11-3031.00,17,0.19647697884980692,0.20079278640795403,0.1957576378133757,Financial Managers,Management,0.1
11-3031.01,22,0.12750462656370717,0.12113701202526458,0.12443890181837998,Treasurers and Controllers,Management,0.0
11-3031.03,20,0.15951182065829306,0.15352760955919115,0.16327199863432915,Investment Fund Managers,Management,0.0
11-3051.00,13,0.15455937364066585,0.1482152653894704,0.14938064976140777,Industrial Production Managers,Management,0.0
11-3051.01,27,0.1489021722828383,0.1367783885115385,0.14819657896200278,Quality Control Systems Managers,Management,0.0
11-3051.02,17,0.13669140845983235,0.13579498385186314,0.1362227696915497,Geothermal Production Managers,Management,0.0
11-3051.03,14,0.17339422837967208,0.16915449156425982,0.17687446988271177,Biofuels Production Managers,Management,0.2
11-3051.04,19,0.15338056036209097,0.13920241472673278,0.15065415494505935,Biomass Power Plant Managers,Management,0.2
11-3051.06,18,0.12679072443279485,0.1254633930418754,0.12522497932408397,Hydroelectric Production Managers,Management,0.0
11-3061.00,18,0.165929166638737,0.12672649764599103,0.16611676922876423,Purchasing Managers,Management,0.1
11-3071.04,30,0.1517119776077168,0.1376377734475686,0.15063955713483923,Supply Chain Managers,Management,0.0
11-3111.00,22,0.10851991913761944,0.11078405110266978,0.10177281222835123,Compensation and Benefits Managers,Management,0.1
11-3121.00,26,0.12479268927339963,0.10986241159587914,0.12238303410130547,Human Resources Managers,Management,0.1
11-3131.00,12,0.12512617002399104,0.11905004662796795,0.13027811558434388,Training and Development Managers,Management,0.0
11-9021.00,25,0.14409513502040164,0.13343907361113802,0.1437609257118809,Construction Managers,Management,0.1
11-9031.00,17,0.1524305500640197,0.14668501071634202,0.15226297147681397,"Education and Childcare Administrators, Preschool and Daycare",Management,0.2
11-9032.00,32,0.1369400439050361,0.12713100533000316,0.13285738069158737,"Education Administrators, Kindergarten through Secondary",Management,0.0
11-9033.00,27,0.1659347857561992,0.1789176629367836,0.17047329155219756,"Education Administrators, Postsecondary",Management,0.2
11-9041.00,19,0.12870785641276497,0.1314639059535188,0.12727783075695814,Architectural and Engineering Managers,Management,0.1
11-9041.01,18,0.11102027003337457,0.12268752103334005,0.11109444750725392,Biofuels/Biodiesel Technology and Product Development Managers,Management,0.2
11-9051.00,28,0.18578040083058586,0.1837581337576923,0.18326948874646426,Food Service Managers,Management,0.1
11-9071.00,19,0.13380693319187645,0.12149950860240531,0.12592263929524922,Gambling Managers,Management,0.3
11-9072.00,17,0.1907462221074168,0.18757320510588446,0.17852387203528253,"Entertainment and Recreation Managers, Except Gambling",Management,0.2
11-9081.00,24,0.14334373685822013,0.14368864728574043,0.1431772822460224,Lodging Managers,Management,0.0
11-9111.00,18,0.16872243654691582,0.1668084213983123,0.16404985845638836,Medical and Health Services Managers,Management,0.1
11-9121.00,16,0.13478998300391742,0.13755287246045533,0.14014302067271775,Natural Sciences Managers,Management,0.1
11-9121.01,33,0.17373111443131672,0.16515193420791086,0.17602448258578823,Clinical Research Coordinators,Management,0.0
11-9121.02,21,0.12107329534601398,0.11841613441469928,0.11751810768959317,Water Resource Specialists,Management,0.1
11-9131.00,13,0.1050971534826563,0.1180393133917696,0.10688530820861095,Postmasters and Mail Superintendents,Management,0.2
11-9141.00,27,0.17105353330891757,0.15598578563362744,0.16878738731195925,"Property, Real Estate, and Community Association Managers",Management,0.0
11-9151.00,16,0.14344527462112816,0.14191695778628766,0.1406814544787799,Social and Community Service Managers,Management,0.2
11-9161.00,23,0.1410516879744293,0.13372208863729995,0.1378839467611588,Emergency Management Directors,Management,0.2
11-9171.00,23,0.1704633868432949,0.13401916635529887,0.1719937231760022,Funeral Home Managers,Management,0.2
11-9179.01,24,0.1748720524082231,0.16875957894516652,0.17358671307628273,Fitness and Wellness Coordinators,Management,0.1
11-9179.02,21,0.18901647302584532,0.176497161162668,0.1913497495931174,Spa Managers,Management,0.2
11-9199.01,27,0.12366841383675396,0.11607985721201342,0.12519876562107662,Regulatory Affairs Managers,Management,0.2
11-9199.02,29,0.11009618594416401,0.10765333439872067,0.10336238983103602,Compliance Managers,Management,0.2
11-9199.08,27,0.14269223356700345,0.12249501582515364,0.1439084109198314,Loss Prevention Managers,Management,0.2
11-9199.09,16,0.13792240361191727,0.13998887813074984,0.13971132137106348,Wind Energy Operations Managers,Management,0.0
11-9199.10,15,0.10817706229792237,0.11203103401566092,0.10756174155898496,Wind Energy Development Managers,Management,0.1
11-9199.11,23,0.1299077381966785,0.13054531868369176,0.1277860122090855,Brownfield Redevelopment Specialists and Site Managers,Management,0.1
13-1011.00,14,0.1345810468749879,0.09654900286782686,0.12770634961205668,"Agents and Business Managers of Artists, Performers, and Athletes",Business and Financial Operations,0.0
13-1021.00,12,0.17218817363223624,0.18060833508871732,0.17077123717963544,"Buyers and Purchasing Agents, Farm Products",Business and Financial Operations,0.0
13-1022.00,20,0.16408098685028843,0.13370759852793668,0.17317921897097596,"Wholesale and Retail Buyers, Except Farm Products",Business and Financial Operations,0.0
13-1023.00,19,0.1720880995546878,0.2033971925116523,0.17009012323346084,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Business and Financial Operations,0.0
13-1031.00,27,0.12930990300969067,0.10866887586986347,0.13444316841415044,"Claims Adjusters, Examiners, and Investigators",Business and Financial Operations,0.4
13-1032.00,7,0.07835344656872668,0.08624413210661173,0.07850380870499919,"Insurance Appraisers, Auto Damage",Business and Financial Operations,0.0
13-1041.01,26,0.1587921074307408,0.13741088616732355,0.15370659418692065,Environmental Compliance Inspectors,Business and Financial Operations,0.1
13-1041.03,18,0.12496456629656033,0.11484992825027465,0.11516750705174172,Equal Opportunity Representatives and Officers,Business and Financial Operations,0.3
13-1041.04,13,0.1621454258929288,0.15125083156705832,0.1596354363045732,Government Property Inspectors and Investigators,Business and Financial Operations,0.1
13-1041.06,20,0.11777815976064536,0.09244240857121723,0.12161804458486468,Coroners,Business and Financial Operations,0.0
13-1041.07,30,0.14175759277649191,0.1508082354987091,0.13312093246522266,Regulatory Affairs Specialists,Business and Financial Operations,0.4
13-1041.08,23,0.14487279649611376,0.13791581849804332,0.1451521234973374,Customs Brokers,Business and Financial Operations,0.0
13-1051.00,14,0.13528130752391257,0.13310780205369727,0.13498138681882274,Cost Estimators,Business and Financial Operations,0.1
13-1071.00,26,0.12393170635632325,0.1279149719433867,0.12309522088224786,Human Resources Specialists,Business and Financial Operations,0.1
13-1074.00,7,0.10769009244733892,0.08940082944856077,0.11034289398014532,Farm Labor Contractors,Business and Financial Operations,0.0
13-1075.00,28,0.11093982629439422,0.09804427960479836,0.11395965986242934,Labor Relations Specialists,Business and Financial Operations,0.1
13-1081.00,22,0.17466804578314774,0.17897143489706857,0.17407054177661418,Logisticians,Business and Financial Operations,0.0
13-1081.01,30,0.12580475463447596,0.13010368248581944,0.12523023214180526,Logistics Engineers,Business and Financial Operations,0.2
13-1081.02,31,0.1266057558105371,0.1032795632701584,0.12258756993746714,Logistics Analysts,Business and Financial Operations,0.2
13-1111.00,11,0.11368121780871689,0.10053300211088853,0.10732386511415938,Management Analysts,Business and Financial Operations,0.3
13-1121.00,21,0.1812198476869573,0.17717994274021973,0.17671342377261628,"Meeting, Convention, and Event Planners",Business and Financial Operations,0.1
13-1131.00,28,0.1435394563546861,0.13583250055429857,0.1449144740003995,Fundraisers,Business and Financial Operations,0.0
13-1141.00,22,0.14718312480383589,0.14117444206327392,0.14253333183515915,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations,0.2
13-1151.00,20,0.12834900215873632,0.11747488132997776,0.1261532176620081,Training and Development Specialists,Business and Financial Operations,0.0
13-1161.00,13,0.13628935680347534,0.1355576311470703,0.13470520453458612,Market Research Analysts and Marketing Specialists,Business and Financial Operations,0.4
13-1161.01,36,0.14799415324030413,0.1385916053849724,0.15123957118298884,Search Marketing Strategists,Business and Financial Operations,0.0
13-1199.04,21,0.15354902516642238,0.14109494668747555,0.15603957732564266,Business Continuity Planners,Business and Financial Operations,0.1
13-1199.05,14,0.11953002097301592,0.11704512182978705,0.11896632773127377,Sustainability Specialists,Business and Financial Operations,0.0
13-1199.06,34,0.1288706261301425,0.1322709901031485,0.12968550353978503,Online Merchants,Business and Financial Operations,0.0
