Job Family,n_tasks_used,rt_sum_used,pc1,pc2,xi,r,chi,sector,zone,sector_zone,xi_concentration_R,n_occ_used
Architecture and Engineering,,,-0.07134113844187458,0.15518625032207467,2.001698174143754,0.1707990934496092,0.30312419520092776,11,Z1,11-Z1,0.9089535680682581,51
"Arts, Design, Entertainment, Sports, and Media",,,0.042296504320287615,-0.022608571232769003,5.792300078631348,0.0479597932741927,0.08511622307018628,33,Z1,33-Z1,0.08606871849579201,37
Building and Grounds Cleaning and Maintenance,,,-0.1398502444863468,-0.0925151709346044,3.726030860019189,0.1676816857499651,0.29759160318897665,21,Z1,21-Z1,0.767701932309101,8
Business and Financial Operations,,,0.12138423678147706,0.09790850335131872,0.6787522859700614,0.1559493762973,0.27676978974219413,3,Z1,03-Z1,0.7830308464980013,43
Community and Social Service,,,0.27773078341436896,-0.113046208060771,5.896628844010424,0.29985635429798424,0.5321674385776355,33,Z2,33-Z2,0.9838548186064863,14
Computer and Mathematical,,,0.08524045355155802,0.14975113346834043,1.0533211914229859,0.1723117433511948,0.305808757365622,6,Z1,06-Z1,0.925821714075434,30
Construction and Extraction,,,-0.2363310578368866,-0.0690233103359559,3.425751020078648,0.24620435875109017,0.43694902937762325,19,Z2,19-Z2,0.9069437320110676,61
Educational Instruction and Library,,,0.20752426514966746,-0.1367018900815421,5.700699376775048,0.24850297257331852,0.4410284741268207,32,Z2,32-Z2,0.940246957140245,61
"Farming, Fishing, and Forestry",,,-0.11622235175097434,-0.005682950484477305,3.190450964319339,0.11636120905497772,0.2065110366513935,18,Z1,18-Z1,0.6617716413906748,12
Food Preparation and Serving Related,,,-0.05347660674714996,-0.11699216649368016,4.283650026476614,0.1286348105688126,0.22829350344297353,24,Z1,24-Z1,0.8272623856913071,16
Healthcare Practitioners and Technical,,,0.1356429183119912,-0.03139014556203647,6.055771051446479,0.13922766437242046,0.24709307795621324,34,Z1,34-Z1,0.6885386510435877,82
Healthcare Support,,,0.09192187616994532,-0.08228793804063608,5.55303165107052,0.12337315780015654,0.2189554312745978,31,Z1,31-Z1,0.6884246284580692,19
"Installation, Maintenance, and Repair",,,-0.22817928403422535,0.012095009286131464,3.088635608815959,0.22849961687495954,0.40552769379526776,17,Z2,17-Z2,0.9365386897551927,50
Legal,,,0.2116447164925112,0.07623628138806424,0.3457403791568132,0.22495656607237663,0.3992396954142588,1,Z2,01-Z2,0.9527611577893006,7
"Life, Physical, and Social Science",,,0.08529743227521261,0.07370609801159819,0.7126270378109835,0.11273083356757281,0.20006805955080686,4,Z1,04-Z1,0.7492500350392142,57
Management,,,0.10679834826820427,0.030239081858600147,0.275919756294624,0.11099679844242252,0.19699059589953521,1,Z1,01-Z1,0.648275043714548,52
Office and Administrative Support,,,0.07452480537812926,0.06406167743511165,0.7100422180874947,0.0982743360824602,0.17441151725251972,4,Z1,04-Z1,0.6066042767837455,50
Personal Care and Service,,,0.04129989245320051,-0.12522900533476314,5.030951608626019,0.13186350857526907,0.2340236069522331,28,Z1,28-Z1,0.7954314078571565,29
Production,,,-0.24837212128958913,0.02079278470740437,3.058071149477866,0.24924094874193295,0.44233819086869974,17,Z2,17-Z2,0.9415765381316453,106
Protective Service,,,0.07562986023694525,0.0008232020023949432,0.010884186385421575,0.07563434022318578,0.13423138288769887,0,Z1,00-Z1,0.6620406551223171,25
Sales and Related,,,0.06861965579521537,0.04093659810900272,0.5378954522647561,0.07990282990102315,0.14180684755900083,3,Z1,03-Z1,0.6990647634870677,21
Transportation and Material Moving,,,-0.10903583804894942,-0.0017774435073320337,3.157892671269141,0.10905032454999153,0.193536108406621,18,Z1,18-Z1,0.4687339687382064,47
