onet_code,Title,Job Family,pc1,pc2,xi,r,chi,sector,zone,sector_zone,n_tasks_used,RT_sum_used
11-1011.00,Chief Executives,Management,0.1899180214809419,-0.03225073448302698,6.114975953775592,0.19263687278901256,0.34188060282310906,35,Z2,35-Z2,31,2253.62
11-1011.03,Chief Sustainability Officers,Management,0.15352228275751334,0.02836472957227867,0.18269939995978293,0.1561206238355022,0.27707370981079216,1,Z1,01-Z1,18,1737.05
11-1021.00,General and Operations Managers,Management,0.08134471808065213,0.00012193086843221432,0.001498939082835956,0.0813448094641413,0.14436598815944746,0,Z1,00-Z1,17,1179.65
11-2011.00,Advertising and Promotions Managers,Management,0.1613433327295722,0.005661639329927942,0.035076238510765724,0.16144263741709508,0.28651890680327324,0,Z1,00-Z1,21,1528.67
11-2021.00,Marketing Managers,Management,0.0861220726328095,0.08536013028930811,0.7809549190472139,0.12125742549460042,0.21520055389539489,4,Z1,04-Z1,20,1460.42
11-2022.00,Sales Managers,Management,0.10927654351940926,0.08659114717869155,0.6700919130380276,0.13942521197140484,0.24744367382734228,3,Z1,03-Z1,17,1480.95
11-2033.00,Fundraising Managers,Management,0.19043178178809617,-0.13580000396069833,5.663710604237022,0.2338929340333195,0.4150994361861227,32,Z2,32-Z2,16,1312.07
11-3012.00,Administrative Services Managers,Management,0.11081473947065953,-0.018041448093630463,6.121794026958539,0.11227377402254415,0.19925689712630262,35,Z1,35-Z1,8,599.98
11-3013.00,Facilities Managers,Management,0.034741018507051004,-0.00893485126582612,6.0314562813330665,0.035871575572445864,0.06366276457547435,34,Z1,34-Z1,11,902.26
11-3013.01,Security Managers,Management,0.15865737900279195,0.045247711905997155,0.2778161222206637,0.16498339111790522,0.29280282842302957,1,Z1,01-Z1,28,2745.0
11-3021.00,Computer and Information Systems Managers,Management,0.10295134306356059,0.08398451523648942,0.6842825049782174,0.13286225136621413,0.2357961169732378,3,Z1,03-Z1,17,1528.4
11-3031.00,Financial Managers,Management,0.18559643199940348,0.05221543263429669,0.2742495160710125,0.1928016778352719,0.3421730891355564,1,Z2,01-Z2,17,979.29
11-3031.01,Treasurers and Controllers,Management,0.1906003368497274,0.08283690929567125,0.4099825920583421,0.2078231025388872,0.3688322310671152,2,Z2,02-Z2,22,1739.83
11-3031.03,Investment Fund Managers,Management,0.17588119492036663,0.12124576173952822,0.6035504344630633,0.21362286737710093,0.379125312918026,3,Z2,03-Z2,20,1569.01
11-3051.00,Industrial Production Managers,Management,-0.031119597754507965,0.13339033103766787,1.7999940420327445,0.1369722956613526,0.24309038208929695,10,Z1,10-Z1,13,1093.75
11-3051.01,Quality Control Systems Managers,Management,0.004787044606918247,0.26974927138783095,1.5530519149237145,0.26979174414784135,0.47881053502661985,8,Z2,08-Z2,27,2321.39
11-3051.02,Geothermal Production Managers,Management,-0.06721096967534021,0.044785911352895245,2.553810531662055,0.08076566287977145,0.14333815283113954,14,Z1,14-Z1,17,1352.27
11-3051.03,Biofuels Production Managers,Management,-0.07052158562003533,0.11100671402156365,2.136761832287956,0.13151343884268704,0.23340232376032646,12,Z1,12-Z1,14,1272.71
11-3051.04,Biomass Power Plant Managers,Management,-0.09347002341993779,0.09251457728237596,2.3613316775131072,0.13151270770484666,0.23340102617984773,13,Z1,13-Z1,19,1574.84
11-3051.06,Hydroelectric Production Managers,Management,-0.03764237105313558,0.06521156875969354,2.0943083144646533,0.07529606097666848,0.13363102475767175,11,Z1,11-Z1,18,1531.04
11-3061.00,Purchasing Managers,Management,0.019983709652409375,0.09465531287083313,1.3627308712872908,0.09674180536948392,0.1716916717919307,7,Z1,07-Z1,18,1684.21
11-3071.04,Supply Chain Managers,Management,-0.05641020938049224,0.17202070182973783,1.8876731929361703,0.18103379126656588,0.3212881355136729,10,Z1,10-Z1,30,2580.94
11-3111.00,Compensation and Benefits Managers,Management,0.19600224679958728,0.020578091885109687,0.10460583810805597,0.19707952358405562,0.3497651584118277,0,Z2,00-Z2,22,1642.86
11-3121.00,Human Resources Managers,Management,0.189479941068806,-0.004468794451762485,6.259605153290765,0.18953263094066494,0.33637137679043677,35,Z2,35-Z2,26,2408.85
