job_family,within_family_occupation_spread__mean_dist_to_family_center,within_family_occupation_spread__median_dist_to_family_center,n_occupations_in_family_used,n_occupations_in_family_total,family_directionality__xi_concentration_R
Architecture and Engineering,0.052610452061740885,0.047708390067309606,51,51,0.8903115349412873
"Arts, Design, Entertainment, Sports, and Media",0.06874626832254403,0.07306417753319615,37,37,0.22469674133241854
Building and Grounds Cleaning and Maintenance,0.06591105908924434,0.07103119274078755,8,8,0.8308439204263193
Business and Financial Operations,0.07194914178385009,0.06800980003802883,43,43,0.7408062585734424
Community and Social Service,0.032667577401657974,0.031801739997758635,14,14,0.9874674844811463
Computer and Mathematical,0.04964802506345156,0.0395602702265105,30,30,0.8767223093280773
Construction and Extraction,0.052458659105464336,0.03670815982168464,61,61,0.923823352395813
Educational Instruction and Library,0.029671506509157338,0.021240104986139784,61,61,0.9584365187053254
"Farming, Fishing, and Forestry",0.07391626525615676,0.07182873202306597,12,12,0.7427698762507621
Food Preparation and Serving Related,0.049690199800936544,0.04657358715376888,16,16,0.9568742479251862
Healthcare Practitioners and Technical,0.07399874183499733,0.06737701219735139,82,82,0.6874935509588941
Healthcare Support,0.06903619409089028,0.07275245989812769,19,19,0.7417585898751461
"Installation, Maintenance, and Repair",0.04513990328206244,0.041843150723884406,50,50,0.9799525281898994
Legal,0.05855842595469664,0.04924684388200046,7,7,0.7952026052754366
"Life, Physical, and Social Science",0.07010204721220682,0.07171435263756924,57,57,0.8571144430715233
Management,0.08229163608213669,0.07721381432170821,52,52,0.605815725802825
Office and Administrative Support,0.0749070585628646,0.07893373860733256,50,50,0.25437235484361753
Personal Care and Service,0.06437466538895244,0.052664717587817995,29,29,0.7463878667012243
Production,0.046589237871309946,0.04261554610725335,106,106,0.9678467038728218
Protective Service,0.05425206141904403,0.053236842263379304,25,25,0.6950329252066503
Sales and Related,0.05914496023983589,0.056590382561838876,21,21,0.49310541261870255
Transportation and Material Moving,0.07174412669929987,0.07657961840995409,47,47,0.7936708046914642
