occupation_id_onet,n_tasks_used,within_occupation_task_spread__mean_dist_to_occ_center,within_occupation_task_spread__median_dist_to_occ_center,within_occupation_task_spread__rt_weighted_mean_dist_to_occ_center,occupation_title,job_family,nearest_neighbor_sanity__share_of_10_nearest_occupations_in_same_job_family
11-1011.00,31,0.08664241181474604,0.0759257333410137,0.09052761937914765,Chief Executives,Management,0.3
11-1011.03,18,0.08220870432513636,0.07648700739305057,0.08226313483985827,Chief Sustainability Officers,Management,0.1
11-1021.00,17,0.10850837155863562,0.10213421403570293,0.10998066776972028,General and Operations Managers,Management,0.0
11-2011.00,21,0.09403539535653696,0.07312941783637462,0.09524311908586325,Advertising and Promotions Managers,Management,0.2
11-2021.00,20,0.10961378785186877,0.08791408561305833,0.11359978657280906,Marketing Managers,Management,0.1
11-2022.00,17,0.09210183033785457,0.07902282350691549,0.09379050410644578,Sales Managers,Management,0.0
11-2033.00,16,0.08791977007062327,0.08774486543495791,0.08757586256684778,Fundraising Managers,Management,0.1
11-3012.00,8,0.10429512803354606,0.10274648944241611,0.1036180212932537,Administrative Services Managers,Management,0.0
11-3013.00,11,0.08166756903614768,0.0575108473411707,0.08518148432689171,Facilities Managers,Management,0.0
11-3013.01,28,0.07929961357440729,0.06179533583392458,0.0795036757009651,Security Managers,Management,0.2
11-3021.00,17,0.11914078231804849,0.11157875823816157,0.11758001118443796,Computer and Information Systems Managers,Management,0.0
11-3031.00,17,0.11222613047827903,0.10524170481415704,0.1151605947161667,Financial Managers,Management,0.1
11-3031.01,22,0.08526773075007117,0.06696049215107641,0.08105873408994135,Treasurers and Controllers,Management,0.2
11-3031.03,20,0.08748171501139802,0.07596609416586714,0.08654367613674327,Investment Fund Managers,Management,0.1
11-3051.00,13,0.1030437119976336,0.09344992983111929,0.1025139354735684,Industrial Production Managers,Management,0.0
11-3051.01,27,0.09570523233315312,0.09630883440624947,0.09603571375182472,Quality Control Systems Managers,Management,0.0
11-3051.02,17,0.1005746486473966,0.09319798938093196,0.10358989547150739,Geothermal Production Managers,Management,0.0
11-3051.03,14,0.09644964021398061,0.08348758619430122,0.0969791353555978,Biofuels Production Managers,Management,0.0
