Job Family,n_tasks_used,rt_sum_used,pc1,pc2,xi,r,chi,sector,zone,sector_zone,xi_concentration_R,n_occ_used
Architecture and Engineering,,,-0.028536164556603724,0.09485307129399127,1.8630290627687351,0.09905260128590546,0.27321557869838736,10,Z1,10-Z1,0.8903115349412873,51
"Arts, Design, Entertainment, Sports, and Media",,,0.024672377689565424,0.002042710050278185,0.08260499893842448,0.024756794728035235,0.06828636411893806,0,Z1,00-Z1,0.22469674133241854,37
Building and Grounds Cleaning and Maintenance,,,-0.07340937498081583,-0.05840195186746924,3.8136236583915597,0.09380684578965558,0.25874627546947665,21,Z1,21-Z1,0.8308439204263193,8
Business and Financial Operations,,,0.05955168564853279,0.05630947951466019,0.7574219193663997,0.08195828662675668,0.22606453964015083,4,Z1,04-Z1,0.7408062585734424,43
Community and Social Service,,,0.18247100029704277,-0.0322089054199472,6.108469842433552,0.18529187661026722,0.5110883171059931,34,Z2,34-Z2,0.9874674844811463,14
Computer and Mathematical,,,0.06562297659157401,0.07285004075017827,0.8375419891917187,0.09804847522547663,0.27044591006652247,4,Z1,04-Z1,0.8767223093280773,30
Construction and Extraction,,,-0.14874547187245868,-0.004343599134257537,3.1707859128573967,0.14880887828352016,0.41045770901399903,18,Z2,18-Z2,0.923823352395813,61
Educational Instruction and Library,,,0.1592500163659984,-0.03259887207973784,6.081272255277865,0.16255231211349122,0.44836605446290184,34,Z2,34-Z2,0.9584365187053254,61
"Farming, Fishing, and Forestry",,,-0.08261423760966068,-0.01017685711068594,3.2641604391295616,0.08323869698930175,0.22959627988354353,18,Z1,18-Z1,0.7427698762507621,12
Food Preparation and Serving Related,,,-0.031515420225901994,-0.10787268205427829,4.428145934542551,0.11238210376033457,0.30998218235174285,25,Z1,25-Z1,0.9568742479251862,16
Healthcare Practitioners and Technical,,,0.08890932079555525,4.387402627322137e-05,0.0004934693271679007,0.08890933162079857,0.2452375220348688,0,Z1,00-Z1,0.6874935509588941,82
Healthcare Support,,,0.053270671471951594,-0.07241974036831522,5.346598656751712,0.08990207580521588,0.2479757961773332,30,Z1,30-Z1,0.7417585898751461,19
"Installation, Maintenance, and Repair",,,-0.16167928677195484,-0.025785361008301057,3.299745368228945,0.16372255987925557,0.45159393456289976,18,Z2,18-Z2,0.9799525281898994,50
Legal,,,0.08656506705179524,0.01267970561757054,0.14544173356129686,0.08748877509846653,0.24131921835294476,0,Z1,00-Z1,0.7952026052754366,7
"Life, Physical, and Social Science",,,0.0747194474747191,0.08685046355931231,0.8603396997989821,0.1145687516358398,0.3160135864437096,4,Z1,04-Z1,0.8571144430715233,57
Management,,,0.07454031816520336,0.013208581716882608,0.17537997880805445,0.07570155654371521,0.20880667757286733,1,Z1,01-Z1,0.605815725802825,52
Office and Administrative Support,,,0.010216415956407304,-0.02959398575566855,5.044798519517391,0.03130781288913435,0.08635595739273956,28,Z1,28-Z1,0.25437235484361753,50
Personal Care and Service,,,0.019419091160421686,-0.07552137487889489,4.964070370480646,0.07797806848784691,0.2150859526262751,28,Z1,28-Z1,0.7463878667012243,29
Production,,,-0.1590943698222124,0.0010154658125286224,3.1352099511473637,0.15909761054127525,0.4388369933677893,17,Z2,17-Z2,0.9678467038728218,106
Protective Service,,,0.027333401873478942,-0.04554342404033125,5.25292709606089,0.053116083546271786,0.14650944362782242,30,Z1,30-Z1,0.6950329252066503,25
Sales and Related,,,0.02593571591936714,-0.011085178989486574,5.879275314733165,0.028205363913253605,0.07779851032599515,33,Z1,33-Z1,0.49310541261870255,21
Transportation and Material Moving,,,-0.08704548243306003,-0.061138227057182505,3.7539081560063385,0.10637104314473825,0.293401947371938,21,Z1,21-Z1,0.7936708046914642,47
