onet_code,Title,Job Family,pc1,pc2,xi,r,chi,sector,zone,sector_zone,n_tasks_used,RT_sum_used
11-1011.00,Chief Executives,Management,0.12647829067024022,-0.04255271382256674,5.9586388228487905,0.13344471313817957,0.36807892019970534,34,Z2,34-Z2,31,2253.62
11-1011.03,Chief Sustainability Officers,Management,0.1527960740073264,0.12920946455867285,0.701953562954693,0.20010428771915734,0.551945209509582,4,Z2,04-Z2,18,1737.05
11-1021.00,General and Operations Managers,Management,0.08117364715209378,-0.031960144821929055,5.908099550441544,0.08723882076811505,0.2406297723805161,33,Z1,33-Z1,17,1179.65
11-2011.00,Advertising and Promotions Managers,Management,0.11347455723583783,3.20330860547855e-05,0.00028229310591017324,0.11347456175719753,0.3129954958835609,0,Z1,00-Z1,21,1528.67
11-2021.00,Marketing Managers,Management,0.07621315025206163,0.0693173861330118,0.73804995439865,0.10302108663597166,0.2841618033042897,4,Z1,04-Z1,20,1460.42
11-2022.00,Sales Managers,Management,0.06683984288343581,-0.008110042218010639,6.1624401002515095,0.0673300629842294,0.1857156892723895,35,Z1,35-Z1,17,1480.95
11-2033.00,Fundraising Managers,Management,0.16650164007937476,-0.01299131681764061,6.205317910168904,0.1670076958160251,0.4606552848395741,35,Z2,35-Z2,16,1312.07
11-3012.00,Administrative Services Managers,Management,0.09472839802995066,-0.054152429475032106,5.763864800843923,0.10911441248235307,0.30096894946405267,33,Z1,33-Z1,8,599.98
11-3013.00,Facilities Managers,Management,0.03457756214860863,-0.07072808140100591,5.167101283139299,0.07872781784609688,0.21715397711158618,29,Z1,29-Z1,11,902.26
11-3013.01,Security Managers,Management,0.10025330989795743,0.0026136621337859408,0.026064677871077326,0.10028737395727079,0.27662143705635495,0,Z1,00-Z1,28,2745.0
11-3021.00,Computer and Information Systems Managers,Management,0.07760467307399317,0.014674951770138122,0.18689201789828525,0.07897999425409728,0.21784955221361751,1,Z1,01-Z1,17,1528.4
11-3031.00,Financial Managers,Management,0.09519593075295009,-0.01860612536018663,6.090167734343139,0.0969971810561495,0.2675461382167566,34,Z1,34-Z1,17,979.29
11-3031.01,Treasurers and Controllers,Management,0.10759329127523364,-0.0073754709366663385,6.214742834902063,0.10784578758104034,0.2974697169142391,35,Z1,35-Z1,22,1739.83
11-3031.03,Investment Fund Managers,Management,0.09178430493317215,0.10011465278660295,0.8287809998435928,0.1358208464656571,0.3746329796964111,4,Z2,04-Z2,20,1569.01
11-3051.00,Industrial Production Managers,Management,0.029219362529634717,0.023694261010002327,0.6813578150218945,0.037618999873047364,0.10376402726368078,3,Z1,03-Z1,13,1093.75
11-3051.01,Quality Control Systems Managers,Management,-0.0021494982701659917,0.1361577695623669,1.586581836025349,0.13617473537705901,0.3756091071526153,9,Z2,09-Z2,27,2321.39
11-3051.02,Geothermal Production Managers,Management,-0.035202393995296594,0.042458524967370175,2.2630314671298217,0.055153738634882134,0.15212988273790168,12,Z1,12-Z1,17,1352.27
11-3051.03,Biofuels Production Managers,Management,-0.05572879032587617,0.07378778146639604,2.2176538820963185,0.0924680202281745,0.25505340929728565,12,Z1,12-Z1,14,1272.71
11-3051.04,Biomass Power Plant Managers,Management,-0.05284267280775285,0.023381657825124146,2.7250125910813727,0.05778451342806662,0.15938631667516273,15,Z1,15-Z1,19,1574.84
11-3051.06,Hydroelectric Production Managers,Management,-0.036873267862412754,0.022083971793808676,2.6019709586347806,0.0429806897692787,0.11855311093016482,14,Z1,14-Z1,18,1531.04
11-3061.00,Purchasing Managers,Management,0.013051349342318285,0.020121712901860375,0.9953917039259146,0.023983766379785436,0.06615412948021605,5,Z1,05-Z1,18,1684.21
11-3071.04,Supply Chain Managers,Management,-0.005840207199989267,0.1147781162510798,1.6216350670880062,0.11492660262221795,0.3170006424428639,9,Z1,09-Z1,30,2580.94
11-3111.00,Compensation and Benefits Managers,Management,0.12321016229286579,0.0004063846113909033,0.0032982923662907494,0.12321083248110412,0.33985093234522623,0,Z2,00-Z2,22,1642.86
11-3121.00,Human Resources Managers,Management,0.11711490102552616,-0.039702446888339064,5.9563396577326415,0.12366157176398888,0.34109420099659665,34,Z2,34-Z2,26,2408.85
11-3131.00,Training and Development Managers,Management,0.12728048930137423,0.004705988190677068,0.0369565324968994,0.12736745770269592,0.3513161008577781,0,Z2,00-Z2,12,1109.66
