job_family,within_family_occupation_spread__mean_dist_to_family_center,within_family_occupation_spread__median_dist_to_family_center,n_occupations_in_family_used,n_occupations_in_family_total,family_directionality__xi_concentration_R
Architecture and Engineering,0.040330983312027155,0.0359523125377947,51,51,0.34662132466203316
"Arts, Design, Entertainment, Sports, and Media",0.03468421648097343,0.03344279309885092,37,37,0.4679244253243192
Building and Grounds Cleaning and Maintenance,0.0568365753430882,0.058413377388829305,8,8,0.47598808770020495
Business and Financial Operations,0.03227417235184475,0.03376258014746009,43,43,0.7989990002109043
Community and Social Service,0.025882252209787238,0.027182417426016594,14,14,0.9054378344269244
Computer and Mathematical,0.023796407917589555,0.020856080818850875,30,30,0.8728318341645154
Construction and Extraction,0.05210464233478413,0.04606935604608293,61,61,0.7699118564139026
Educational Instruction and Library,0.014336664023994704,0.010065446843356503,61,61,0.916560586382534
"Farming, Fishing, and Forestry",0.0421444212143817,0.03601774143579839,12,12,0.4488164249546213
Food Preparation and Serving Related,0.046511781970394954,0.041503724785005566,16,16,0.2187819954963807
Healthcare Practitioners and Technical,0.038277669818567145,0.035026634291279723,82,82,0.6078608910256986
Healthcare Support,0.035708784544635844,0.03243063937997766,19,19,0.41495637520222833
"Installation, Maintenance, and Repair",0.04951922343039628,0.04374333388254703,50,50,0.9529202429549282
Legal,0.035287653739341264,0.028847643287819965,7,7,0.842977409210684
"Life, Physical, and Social Science",0.031120813920721774,0.030104301256702173,57,57,0.772346810715367
Management,0.02779901360270661,0.024356828412175693,52,52,0.7951462164537909
Office and Administrative Support,0.03454168259005884,0.03325541849194552,50,50,0.4861562554724127
Personal Care and Service,0.03420243117395047,0.026482970592823986,29,29,0.5383710103295356
Production,0.04868625057007371,0.04449793336555475,106,106,0.8355259622858285
Protective Service,0.02317905407295941,0.019346730046624773,25,25,0.7114833206059679
Sales and Related,0.026733265200384417,0.02448596046419657,21,21,0.7817495285846047
Transportation and Material Moving,0.05134173346724053,0.04349888629844316,47,47,0.24395591631742006
