occupation_id_onet,n_tasks_used,within_occupation_task_spread__mean_dist_to_occ_center,within_occupation_task_spread__median_dist_to_occ_center,within_occupation_task_spread__rt_weighted_mean_dist_to_occ_center,occupation_title,job_family,nearest_neighbor_sanity__share_of_10_nearest_occupations_in_same_job_family
11-1011.00,31,0.0504740244932644,0.04056423535937866,0.04767710375670263,Chief Executives,Management,0.3
11-1011.03,18,0.07562283257770365,0.061293841515523126,0.07553523563861202,Chief Sustainability Officers,Management,0.1
11-1021.00,17,0.13901902517690848,0.09818603670852447,0.13815163767761368,General and Operations Managers,Management,0.0
11-2011.00,21,0.08202222628269536,0.054073018114293755,0.08669322321084626,Advertising and Promotions Managers,Management,0.4
11-2021.00,20,0.06771603497931154,0.04786809499649741,0.06786118322007775,Marketing Managers,Management,0.1
11-2022.00,17,0.03569246184747875,0.026654408047413633,0.03584796571464776,Sales Managers,Management,0.1
11-2033.00,16,0.0800681402160277,0.05691974221262633,0.07931860717566462,Fundraising Managers,Management,0.0
11-3012.00,8,0.0656133693522725,0.053280785199569455,0.0697117886161077,Administrative Services Managers,Management,0.2
11-3013.00,11,0.05120774980598593,0.04319951321906985,0.05336030653354008,Facilities Managers,Management,0.0
11-3013.01,28,0.0713852772240424,0.03997530527672154,0.07182016390155613,Security Managers,Management,0.2
11-3021.00,17,0.04510831605911036,0.03189907905140675,0.04584999278366761,Computer and Information Systems Managers,Management,0.3
11-3031.00,17,0.04109037532107446,0.03084733461257718,0.04169494747402218,Financial Managers,Management,0.1
11-3031.01,22,0.060622583929935206,0.04689367576224718,0.06411171367867481,Treasurers and Controllers,Management,0.5
11-3031.03,20,0.08268054176096677,0.056968910755060484,0.08659477904553826,Investment Fund Managers,Management,0.1
11-3051.00,13,0.03499862115232256,0.03816999440031646,0.035601157409640725,Industrial Production Managers,Management,0.0
11-3051.01,27,0.04464696404972754,0.028723142098019173,0.044479639320710675,Quality Control Systems Managers,Management,0.1
11-3051.02,17,0.04491231732360746,0.039993982258184624,0.04463253652146522,Geothermal Production Managers,Management,0.0
11-3051.03,14,0.06219823064302832,0.04064163217102723,0.06488233567438743,Biofuels Production Managers,Management,0.0
11-3051.04,19,0.11526082159492622,0.06471408566903655,0.11039870670139833,Biomass Power Plant Managers,Management,0.1
11-3051.06,18,0.07577028477760751,0.0562769158301845,0.07881156872372969,Hydroelectric Production Managers,Management,0.1
11-3061.00,18,0.027274053653234927,0.02368909517200219,0.026899248846710393,Purchasing Managers,Management,0.0
11-3071.04,30,0.07386149802873776,0.05471210814859606,0.07494751924711718,Supply Chain Managers,Management,0.0
11-3111.00,22,0.0780959258498984,0.04677727622187494,0.07296033203552225,Compensation and Benefits Managers,Management,0.3
11-3121.00,26,0.07057333592385781,0.04982657147774378,0.06978664262637753,Human Resources Managers,Management,0.0
11-3131.00,12,0.04288015171438008,0.033246320349500466,0.043543434843917525,Training and Development Managers,Management,0.1
11-9021.00,25,0.07719507155709474,0.055612507847239284,0.07699741747022326,Construction Managers,Management,0.0
11-9031.00,17,0.03387218663841173,0.029570780434723228,0.0338799082248446,"Education and Childcare Administrators, Preschool and Daycare",Management,0.1
11-9032.00,32,0.0854612928746318,0.056856485661023644,0.07802122987717725,"Education Administrators, Kindergarten through Secondary",Management,0.2
11-9033.00,27,0.10270665536332686,0.06871480142844627,0.09547003796867513,"Education Administrators, Postsecondary",Management,0.1
11-9041.00,19,0.05625473576416694,0.040142710585118216,0.058074701112521894,Architectural and Engineering Managers,Management,0.2
11-9041.01,18,0.11960129959676645,0.0897946233751892,0.11906871225302551,Biofuels/Biodiesel Technology and Product Development Managers,Management,0.0
11-9051.00,28,0.0848509695311829,0.06444854963336877,0.08573821728887247,Food Service Managers,Management,0.3
11-9071.00,19,0.10563105394340418,0.09167277927869447,0.10827038076286574,Gambling Managers,Management,0.0
11-9072.00,17,0.12181772211085677,0.08978584284136933,0.11971989812682671,"Entertainment and Recreation Managers, Except Gambling",Management,0.0
11-9081.00,24,0.06245927231015235,0.04076268857577269,0.061529501093369965,Lodging Managers,Management,0.1
11-9111.00,18,0.06340559827952237,0.04720966630174035,0.06468154382833047,Medical and Health Services Managers,Management,0.3
11-9121.00,16,0.0339113181923161,0.03152481223592217,0.03362007234085775,Natural Sciences Managers,Management,0.1
