Job Family,n_tasks_used,rt_sum_used,pc1,pc2,xi,r,chi,sector,zone,sector_zone,xi_concentration_R,n_occ_used
Architecture and Engineering,,,0.009981202421634968,-0.004658359323387372,5.8465199033511075,0.011014749809570883,0.01464490628220115,33,Z1,33-Z1,0.34662132466203316,51
"Arts, Design, Entertainment, Sports, and Media",,,0.021934091737946575,0.011128775304167648,0.46952893677005825,0.02459581306115551,0.032701911840264886,2,Z1,02-Z1,0.4679244253243192,37
Building and Grounds Cleaning and Maintenance,,,-0.041959348319142206,-0.009590438577786535,3.3662977155355716,0.04304141521234401,0.05722667359093124,19,Z1,19-Z1,0.47598808770020495,8
Business and Financial Operations,,,0.044672855944197974,0.017003937642180188,0.36369952267525,0.04779956018155624,0.06355297136037233,2,Z1,02-Z1,0.7989990002109043,43
Community and Social Service,,,0.060425555040220465,0.0036167212552904882,0.059782843852925545,0.06053369619110651,0.08048392591393128,0,Z1,00-Z1,0.9054378344269244,14
Computer and Mathematical,,,0.032208307318350976,0.02287923638619361,0.617639897730859,0.03950739826828219,0.05252794254026995,3,Z1,03-Z1,0.8728318341645154,30
Construction and Extraction,,,-0.07458882151276451,0.004343474856463241,3.0834260923498547,0.07471517963902496,0.09933923353579761,17,Z1,17-Z1,0.7699118564139026,61
Educational Instruction and Library,,,0.03186725550402696,0.010912140105460093,0.32991047969592613,0.033683776139858894,0.04478501584940627,1,Z1,01-Z1,0.916560586382534,61
"Farming, Fishing, and Forestry",,,-0.024537652001246916,-0.005967189484355497,3.3801470081182425,0.025252796203123717,0.03357541843001513,19,Z1,19-Z1,0.4488164249546213,12
Food Preparation and Serving Related,,,0.006246400154910524,-0.01696570818778646,5.065165328074592,0.01807906992099955,0.02403743064888689,29,Z1,29-Z1,0.2187819954963807,16
Healthcare Practitioners and Technical,,,0.03162864149505175,-0.014335619068805457,5.857633612221324,0.034725796418633915,0.04617045715226305,33,Z1,33-Z1,0.6078608910256986,82
Healthcare Support,,,0.018252487238717967,-0.017441540785459207,5.520502623441904,0.025246002364144687,0.03356638552987083,31,Z1,31-Z1,0.41495637520222833,19
"Installation, Maintenance, and Repair",,,-0.10485953529654575,-0.01653647286771503,3.298005680122143,0.10615543828514958,0.14114133066201434,18,Z1,18-Z1,0.9529202429549282,50
Legal,,,0.05469034426677852,0.00754323232664467,0.13706144740267745,0.05520809822799995,0.07340315835999123,0,Z1,00-Z1,0.842977409210684,7
"Life, Physical, and Social Science",,,0.04112707566349512,0.00280330318424,0.06805671851131732,0.04122250430740013,0.054808300028289736,0,Z1,00-Z1,0.772346810715367,57
Management,,,0.042368273990897924,0.01590001286882108,0.35901709961197464,0.04525351975478232,0.06016782652409102,2,Z1,02-Z1,0.7951462164537909,52
Office and Administrative Support,,,0.018988405059347947,-0.00817612015682574,5.876593740466633,0.020673859521548533,0.027487391036461997,33,Z1,33-Z1,0.4861562554724127,50
Personal Care and Service,,,0.018500590760380263,-0.0027237669421957384,6.137009470468577,0.01870002045021518,0.024863029274680856,35,Z1,35-Z1,0.5383710103295356,29
Production,,,-0.07430983625704622,-0.005078572921512774,3.20982975747748,0.07448317707689532,0.09903076935473497,18,Z1,18-Z1,0.8355259622858285,106
Protective Service,,,0.02413878674832189,0.007595657465206054,0.3048570202730554,0.02530563253526181,0.033645668153870434,1,Z1,01-Z1,0.7114833206059679,25
Sales and Related,,,0.02836262610388521,0.028792462765727056,0.7929185533923453,0.040415893799649785,0.05373585303707635,4,Z1,04-Z1,0.7817495285846047,21
Transportation and Material Moving,,,-0.02499339399674441,-0.0010580125964156745,3.183899084596282,0.02501577770389467,0.03326028519790656,18,Z1,18-Z1,0.24395591631742006,47
