onet_code,Title,Job Family,pc1,pc2,xi,r,chi,sector,zone,sector_zone,n_tasks_used,RT_sum_used
11-1011.00,Chief Executives,Management,0.034884355048483105,0.026191043760460744,0.644010528837527,0.04362211595522389,0.05799875721557162,3,Z1,03-Z1,31,2253.62
11-1011.03,Chief Sustainability Officers,Management,0.04978446927632023,0.0064096738309536525,0.128044068813668,0.05019539122015172,0.06673840195433209,0,Z1,00-Z1,18,1737.05
11-1021.00,General and Operations Managers,Management,0.05498453818364101,-0.053811958288607395,5.508564462299595,0.07693520841671321,0.10229092231267602,31,Z1,31-Z1,17,1179.65
11-2011.00,Advertising and Promotions Managers,Management,0.06605629151790225,0.01932124775658627,0.2845589037463563,0.06882400935697858,0.09150649669069091,1,Z1,01-Z1,21,1528.67
11-2021.00,Marketing Managers,Management,0.050072294911409874,0.007374987559052209,0.1462353906318506,0.05061250002905782,0.06729297827440453,0,Z1,00-Z1,20,1460.42
11-2022.00,Sales Managers,Management,0.047618884431991075,0.05971820002119056,0.8976469415628116,0.0763794577639711,0.10155201163686492,5,Z1,05-Z1,17,1480.95
11-2033.00,Fundraising Managers,Management,0.04644498318067143,0.01464863578265665,0.3055224840724433,0.04870029766793814,0.06475056697543263,1,Z1,01-Z1,16,1312.07
11-3012.00,Administrative Services Managers,Management,0.042167900584573786,0.019830310456556192,0.43958224273036484,0.04659799408251283,0.0619554023536691,2,Z1,02-Z1,8,599.98
11-3013.00,Facilities Managers,Management,0.03239036623077329,0.06251360962808614,1.0927477466471016,0.07040658501373549,0.09361064545288607,6,Z1,06-Z1,11,902.26
11-3013.01,Security Managers,Management,0.04098098384363621,0.017486144253443057,0.40330056609075365,0.04455565371133714,0.05923996316083018,2,Z1,02-Z1,28,2745.0
11-3021.00,Computer and Information Systems Managers,Management,0.04104046947958756,0.03926939535245724,0.7633487289637271,0.05680145725641683,0.07552164439448912,4,Z1,04-Z1,17,1528.4
11-3031.00,Financial Managers,Management,0.05138797435400268,0.030635533860262056,0.5375923221038245,0.05982691570782251,0.07954421015835514,3,Z1,03-Z1,17,979.29
11-3031.01,Treasurers and Controllers,Management,0.0668430198073735,0.02306515061859477,0.33227115444218913,0.07071061073154007,0.09401486962698018,1,Z1,01-Z1,22,1739.83
